HSCDepartmentName,SailPointDepartmentName,CSCEmail,CreateEmail,Groups,OUPath,HomeDirectoryPath
Charleston AVP Accounting and Budgeting,CMD Accounting and Budgeting L4,mdarnell@hsc.wvu.edu,Yes,$CHSCAVP,"OU=AVP,OU=ADMIN,OU=CHAR_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\Char_Div\ADMIN\AVP
Charleston AVP Compliance,CMD Compliance L4,mdarnell@hsc.wvu.edu,Yes,$CHSCAVP,"OU=AVP,OU=ADMIN,OU=CHAR_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\Char_Div\ADMIN\AVP
Charleston Facilities,CMD Facilities L4,mdarnell@hsc.wvu.edu,Yes,$BLDGSERV,"OU=BLDGSERV,OU=ADMIN,OU=CHAR_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",NoHomeDirectory
Charleston Health Information Management,CMD Health Information Management L4,mdarnell@hsc.wvu.edu,Yes,$COMPPSERV,"OU=COMPSERV,OU=ADMIN,OU=CHAR_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",NoHomeDirectory
Charleston Information Technology,CMD Information Technology L4,mdarnell@hsc.wvu.edu;ekampsnider@hsc.wvu.edu;kmnewcomb@hsc.wvu.edu;rrecco@hsc.wvu.edu;cerogan@hsc.wvu.edu,Yes,$COMPSERV,"OU=COMPSERV,OU=ADMIN,OU=CHAR_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=WVU,DC=edu",NoHomeDirectory
Charleston Patient Financial Services,CMD Patient Financial Services L4,mdarnell@hsc.wvu.edu,Yes,$BUSAFF,"OU=BUSAFF,OU=ADMIN,OU=CHAR_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",NoHomeDirectory
Charleston School of Pharmacy,SOP Charleston L5,mdarnell@hsc.wvu.edu,Yes,$CHSCSOP,"OU=SOP,OU=CHAR_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\Char_Div\SOP
Charleston SOM Behavioral Medicine,CMD Behavioral Medicine L4,mdarnell@hsc.wvu.edu,Yes,$CHSCBEHM,"OU=BEHM,OU=SOM,OU=CHAR_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\Char_Div\SOM\BEHM
Charleston SOM Behavioral Medicine,Behavioral Medicine::8020,mdarnell@hsc.wvu.edu,Yes,$CHSCBEHM,"OU=BEHM,OU=SOM,OU=Char_Div,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\Char_Div\SOM\BEHM
Charleston SOM Family Medicine,CMD Family Medicine L4,mdarnell@hsc.wvu.edu,Yes,$CHSCFAMMED,"OU=FAMMED,OU=SOM,OU=CHAR_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\Char_Div\SOM\FAMMED
Charleston SOM Gastroenterology,Gastroenterology::8082,mdarnell@hsc.wvu.edu,Yes,$CHSCMED,"OU=INTMED,OU=SOM,OU=Char_Div,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\Char_Div\SOM\INTMED
Charleston SOM Internal Medicine,CMD Internal Medicine Electrophysiology L5,mdarnell@hsc.wvu.edu,Yes,$INTMED,"OU=INTMED,OU=SOM,OU=CHAR_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\Char_Div\SOM\INTMED
Charleston SOM Internal Medicine,CMD Internal Medicine L4,mdarnell@hsc.wvu.edu,Yes,$INTMED,"OU=INTMED,OU=SOM,OU=CHAR_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\Char_Div\SOM\INTMED
Charleston SOM OBGYN,CMD Obstetrics and Gyneocology Call L5,mdarnell@hsc.wvu.edu,Yes,$CHSCOBGYN,"OU=OBGYN,OU=SOM,OU=CHAR_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\Char_Div\SOM\OBGYN
Charleston SOM OBGYN,CMD Obstetrics and Gyneocology L4,mdarnell@hsc.wvu.edu,Yes,$CHSCOBGYN,"OU=OBGYN,OU=SOM,OU=CHAR_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\Char_Div\SOM\OBGYN
Charleston SOM Pediatrics,CMD Pediatrics L4,mdarnell@hsc.wvu.edu,Yes,$CHSCPEDS,"OU=PEDS,OU=SOM,OU=CHAR_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\Char_Div\SOM\PEDS
Charleston SOM Pediatrics,Peds IP Based Svcs-CH,mdarnell@hsc.wvu.edu,Yes,$CHSCPEDS,"OU=PEDS,OU=SOM,OU=CHAR_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\Char_Div\SOM\PEDS
Charleston SOM Pediatrics,CMD Poison Control L4,mdarnell@hsc.wvu.edu,Yes,$POISON,"OU=POISON,OU=SOP,OU=CHAR_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\Char_Div\SOP\POISON
Charleston SOM Surgery,CMD Surgery L4,mdarnell@hsc.wvu.edu,Yes,$CHSCSURG,"OU=SURG,OU=SOM,OU=CHAR_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\Char_Div\SOM\SURG
Charleston Student Services,CMD Student Services L5,mdarnell@hsc.wvu.edu,Yes,$CHSCSSERVICES,"OU=SSERVICES,OU=ADMIN,OU=CHAR_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",NoHomeDirectory
Charleston Talent and Culture,CMD Talent and Culture L4,mdarnell@hsc.wvu.edu,Yes,$CHSCHR,"OU=HR,OU=ADMIN,OU=CHAR_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\Char_Div\ADMIN\HR
HSC Alumni Affairs,HSC Alumni Affairs,bjimmie@hsc.wvu.edu,Yes,$ALUMNI;ALUMNI,"OU=ALUMNI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\Admin\alumni
HSC Business Office,HSC Business Office,almurphy@hsc.wvu.edu,Yes,$IEC;IEC,"OU=IEC,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\Admin\iec
HSC CED Paths for Parents,CED Paths for Parents L4,luphold@hsc.wvu.edu,Yes,$UACDD,"OU=CED,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\admin\ced\
HSC CED Specialized Family Care,CED Specialized Family Care,luphold@hsc.wvu.edu,Yes,$UACDD,"OU=CED,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\admin\ced\
HSC CED Traumatic Brain Injury,CED Traumatic Brain Injury L4,luphold@hsc.wvu.edu,Yes,$UACDD,"OU=CED,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\admin\ced\
HSC Clinical & Translational Science,HSC Clinical and Translational Science L3,ashley.mayerich@hsc.wvu.edu;emorgan4@hsc.wvu.edu,Yes,$WVCTSI;WVCTSI,"OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\admin\WVCTSI\
HSC Eastern Division,HSC Eastern Division,michael.webber1@wvumedicine.org,Yes,$East_Div,"OU=EAST_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",NoHomeDirectory
HSC Eastern Division,SOM Eastern Division L4,michael.webber1@wvumedicine.org,Yes,$East_Div,"OU=EAST_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",NoHomeDirectory
HSC Ethics,HSC Ethics L3,lmcmillen@hsc.wvu.edu,Yes,$ETHICS;ETHICS,"OU=ETHICS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\admin\ethics
HSC Excellence in Disabilities,Excellence in Disabilities L3,luphold@hsc.wvu.edu,Yes,$UACDD,"OU=CED,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\admin\ced\
HSC Excellence in Disabilities,CED Modify L4,luphold@hsc.wvu.edu,Yes,$UACDD,"OU=CED,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\admin\ced\
HSC Excellence in Disabilities,Excellence in Disabilities CED L3,luphold@hsc.wvu.edu,Yes,$UACDD,"OU=CED,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\admin\ced\
HSC Facilities,AUX Health Sciences Center L6,cpatterson@hsc.wvu.edu,Yes,$FACIL;FACIL,"OU=FACILTEMP,OU=FACIL,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\admin\facil\
HSC Faculty Development,HSC SOM Faculty Development L3,gmarshall@hsc.wvu.edu,Yes,$FACDEVEL;FACDEVEL,"OU=FACDEVEL,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SOM\facdevel
HSC Global Engagement,HSC Global Engagement L3,almurphy@hsc.wvu.edu,Yes,$VP;VP,"OU=VP,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\Admin\vp
HSC Health Sciences Communications,UR Health Sciences Communications L3,tdscatterday@hsc.wvu.edu,Yes,$PSI;PSI,"OU=PSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\admin\psi\
HSC HSTA,HSC Technology Academy L3,mcottrell@hsc.wvu.edu,Yes,$HSTA;HSTA,"OU=HSTA,OU=ADMIN,OU=CHAR_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\Admin\hsta
HSC Lab Animal Resources,HSC Lab Animal Resources L3,rocook@hsc.wvu.edu,Yes,$ANIMQ;ANIMQ,"OU=ANIMQ,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\admin\animq
HSC MBRCC Admin,Cancer Institute CI L3,mzimmer4@hsc.wvu.edu,Yes,HSC MBRCC,"OU=MGMT,OU=MBRCC,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\MBRCC\MGMT
HSC MBRCC Clinical Sciences,CI Clinical Sciences L4,mzimmer4@hsc.wvu.edu,Yes,$CCC;CCC,"OU=CCC,OU=MBRCC,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\MBRCC\CCC
HSC MBRCC Clinical Trails Research Unity,SOM Clinical Research Trials L4,mzimmer4@hsc.wvu.edu,Yes,$CTRU;CTRU,"OU=CTRU,OU=MBRCC,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\mbrcc\ctru
HSC MBRCC Development,CI Development L4,mzimmer4@hsc.wvu.edu,Yes,$MBRCCMGMT;MBRCC MGMT,"OU=MGMT,OU=MBRCC,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\MBRCC\MGMT
HSC MBRCC Education and Prevention,CI Education and Prevention L4,mzimmer4@hsc.wvu.edu,Yes,$CEI;CEI;CEI ALL,"OU=CEI,OU=MBRCC,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\MBRCC\CEI
HSC MBRCC Radiation Oncology,SOM Radiation Oncology L4,mzimmer4@hsc.wvu.edu,Yes,$RADONC;RADONC,"OU=RADONC,OU=MBRCC,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\MBRCC\RADONC
HSC MBRCC Research Lab,HSC MBRCC Research Lab,mzimmer4@hsc.wvu.edu,Yes,$RESLAB;Reslab,"OU=RESLAB,OU=MBRCC,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\MBRCC\RESLAB
HSC Office of Philanthropy,WVU Foundation,kkent@wvuf.org,Yes,$DEVEL,"OU=DEVEL,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\admin\DEVEL\
HSC Office of Philanthropy,HSC Development L3,kkent@wvuf.org,Yes,$DEVEL,"OU=DEVEL,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\admin\DEVEL\
HSC Office of Philanthropy,HSC Office of Philanthropy,kkent@wvuf.org,Yes,$DEVEL,"OU=DEVEL,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\admin\DEVEL\
HSC Radiation Safety,HSC Radiation Safety L3,lbrownlee@hsc.wvu.edu,Yes,$RADSAF;RADSAF,"OU=RADSAF,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\Admin\radsaf
HSC Research & Graduate Education,HSC Research and Graduate Education L3,jaturpen@hsc.wvu.edu;aberrebi@hsc.wvu.edu,Yes,$RESGRAD;RESGRAD,"OU=RESGRAD,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\admin\resgrad
HSC Risk Management,HSC Risk Management L3,almurphy@hsc.wvu.edu,Yes,$LEGAL;LEGAL,"OU=LEGAL,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\Admin\legal
HSC Rockefeller Neurosciences Institute,HSC Blanchette Rockefeller Neurosciences Institute,justin.roberts1@hsc.wvu.edu;elstewart@hsc.wvu.edu;matthew.scott@hsc.wvu.edu,Yes,$BRNI;$BRNI Group,"OU=BRNI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\Admin\brni
HSC Rockefeller Neurosciences Institute,HSC BRNI Restructure L3,justin.roberts1@hsc.wvu.edu;elstewart@hsc.wvu.edu;matthew.scott@hsc.wvu.edu,Yes,$BRNI;$BRNI Group,"OU=BRNI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\Admin\brni
HSC Rockefeller Neurosciences Institute,SOM Neuroscience RNI L4,justin.roberts1@hsc.wvu.edu;elstewart@hsc.wvu.edu;matthew.scott@hsc.wvu.edu,Yes,$BRNI;$BRNI Group,"OU=BRNI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\Admin\brni
HSC Rockefeller Neurosciences Institute,SOM Neuroscience Basic Science L4,justin.roberts1@hsc.wvu.edu;elstewart@hsc.wvu.edu;matthew.scott@hsc.wvu.edu,Yes,$BRNI;$BRNI Group,"OU=BRNI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\Admin\brni
HSC Rural Health,HSC Rural Health L3,gerardo.patron@hsc.wvu.edu,Yes,$RURHEA,"OU=RURHEA,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\admin\rurhea\
HSC Shared Services,HSC Shared Services L3,madamsmichenko@hsc.wvu.edu;almurphy@hsc.wvu.edu,Yes,$AVP;AVP,"OU=AVP,OU=ADMIN,OU=HSC,DC=hs,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\admin\avp\
HSC SOD Dental Practice and Rural Health,Dental Practice and Rural Health,sodits@hsc.wvu.edu,Yes,$DPRH;DPRH,"OU=DPRH,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SOD\dprh
HSC SOD Dental Practice and Rural Health,SOD Dental Practice and Rural Health L4,sodits@hsc.wvu.edu,Yes,$DPRH;DPRH,"OU=DPRH,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SOD\dprh
HSC SOD Dental Practice and Rural Health,SOD DPRH,sodits@hsc.wvu.edu,Yes,$DPRH;DPRH,"OU=DPRH,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SOD\dprh
HSC SOD Diagnostic Services,SOD Diagnostic Services L4,sodits@hsc.wvu.edu,Yes,DS;$DS,"OU=DS,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SOD\ds
HSC SOD Endodontics,SOD Endodontics L4,sodits@hsc.wvu.edu,Yes,$SODENDO;ENDO,"OU=ENDO,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SOD\endo
