"Date","Total","domainDNS","organizationalUnit","computer","msFVE-RecoveryInformation","mSMQConfiguration","serviceConnectionPoint","rRASAdministrationConnectionPoint","group","printQueue","user","container","msWMI-Som","rIDManager","rpcContainer","fileLinkTracking","linkTrackVolumeTable","linkTrackObjectMoveTable","domainPolicy","classStore","categoryRegistration","groupPolicyContainer","msPrint-ConnectionPolicy","ms-net-ieee-80211-GroupPolicy","packageRegistration","ms-net-ieee-8023-GroupPolicy","nTFRSSettings","nTFRSReplicaSet","dfsConfiguration","msDFS-NamespaceAnchor","msDFS-Namespacev2","msDFS-Linkv2","fTDfs","ipsecPolicy","ipsecISAKMPPolicy","ipsecNFA","ipsecNegotiationPolicy","ipsecFilter","dnsZone","dnsNode","msDFSR-GlobalSettings","msDFSR-ReplicationGroup","msDFSR-Topology","msDFSR-Member","msDFSR-Connection","msDFSR-Content","msDFSR-ContentSet","secret","samServer","mSSMSRoamingBoundaryRange","mSSMSManagementPoint","mSSMSSite","msDS-PasswordSettingsContainer","msDS-PasswordSettings","msImaging-PSPs","trustedDomain","lostAndFound","infrastructureUpdate","msDFSR-LocalSettings","msDFSR-Subscriber","msDFSR-Subscription","rIDSet","foreignSecurityPrincipal","contact","msDS-QuotaContainer","builtinDomain","msExchSystemObjectsContainer","msExchSystemMailbox","msTPM-InformationObjectsContainer","msTPM-InformationObject","intellimirrorSCP","volume","serviceAdministrationPoint"
"10/7/2021 11:46:13 AM","127826","1","703","10842","85547","20","265","12","4216","352","17300","3689","18","1","1","1","1","1","1","27","1","1400","545","1","17","2","1","1","1","6","6","85","2","3","3","8","6","2","1","7","1","13","13","34","40","13","13","5","1","22","2","1","1","2","1","5","1","1","24","28","28","9","539","10","1","1","1","2","1","1913","2","1","1"
"10/7/2021 2:20:17 PM","127826","1","703","10842","85547","20","265","12","4216","352","17300","3689","18","1","1","1","1","1","1","27","1","1400","545","1","17","2","1","1","1","6","6","85","2","3","3","8","6","2","1","7","1","13","13","34","40","13","13","5","1","22","2","1","1","2","1","5","1","1","24","28","28","9","539","10","1","1","1","2","1","1913","2","1","1"
"10/7/2021 2:27:57 PM","127826","1","703","10842","85547","20","265","12","4216","352","17300","3689","18","1","1","1","1","1","1","27","1","1400","545","1","17","2","1","1","1","6","6","85","2","3","3","8","6","2","1","7","1","13","13","34","40","13","13","5","1","22","2","1","1","2","1","5","1","1","24","28","28","9","539","10","1","1","1","2","1","1913","2","1","1"
"10/7/2021 8:30:34 PM","127832","1","703","10843","85552","20","265","12","4216","352","17300","3689","18","1","1","1","1","1","1","27","1","1400","545","1","17","2","1","1","1","6","6","85","2","3","3","8","6","2","1","7","1","13","13","34","40","13","13","5","1","22","2","1","1","2","1","5","1","1","24","28","28","9","539","10","1","1","1","2","1","1913","2","1","1"
"10/8/2021 8:38:13 PM","127857","1","703","10847","85566","20","265","12","4219","352","17303","3689","18","1","1","1","1","1","1","27","1","1400","546","1","17","2","1","1","1","6","6","85","2","3","3","8","6","2","1","7","1","13","13","34","40","13","13","5","1","22","2","1","1","2","1","5","1","1","24","28","28","9","539","10","1","1","1","2","1","1913","2","1","1"
"10/9/2021 8:30:56 PM","127859","1","703","10847","85568","20","265","12","4219","352","17303","3689","18","1","1","1","1","1","1","27","1","1400","546","1","17","2","1","1","1","6","6","85","2","3","3","8","6","2","1","7","1","13","13","34","40","13","13","5","1","22","2","1","1","2","1","5","1","1","24","28","28","9","539","10","1","1","1","2","1","1913","2","1","1"
"10/10/2021 8:30:34 PM","127860","1","703","10847","85568","20","265","12","4219","352","17304","3689","18","1","1","1","1","1","1","27","1","1400","546","1","17","2","1","1","1","6","6","85","2","3","3","8","6","2","1","7","1","13","13","34","40","13","13","5","1","22","2","1","1","2","1","5","1","1","24","28","28","9","539","10","1","1","1","2","1","1913","2","1","1"
"10/11/2021 8:30:35 PM","127883","1","703","10844","85586","20","265","12","4221","352","17307","3691","18","1","1","1","1","1","1","27","1","1401","546","1","17","2","1","1","1","6","6","85","2","3","3","8","6","2","1","7","1","13","13","34","40","13","13","5","1","22","2","1","1","2","1","5","1","1","24","28","28","9","539","10","1","1","1","2","1","1913","2","1","1"
"10/12/2021 8:37:03 PM","127920","1","703","10845","85613","20","266","12","4224","352","17311","3691","18","1","1","1","1","1","1","27","1","1401","546","1","17","2","1","1","1","6","6","85","2","3","3","8","6","2","1","7","1","13","13","34","40","13","13","5","1","22","2","1","1","2","1","6","1","1","24","28","28","9","539","10","1","1","1","2","1","1913","2","1","1"
"10/13/2021 9:25:14 AM","127925","1","703","10845","85615","20","266","12","4224","352","17311","3693","18","1","1","1","1","1","1","27","1","1402","546","1","17","2","1","1","1","6","6","85","2","3","3","8","6","2","1","7","1","13","13","34","40","13","13","5","1","22","2","1","1","2","1","6","1","1","24","28","28","9","539","10","1","1","1","2","1","1913","2","1","1"
