"SamAccountName","ComputerName","ComputerCreationDate","ComputerChanged","OperatingSystem","OperatingSystemVersion","OperatingSystemServicePack","OperatingSystemHotfix","DistinguishedName"
"HSAZUREDC1$","hsazuredc1","6/20/2019 2:51:21 PM","12/9/2021 3:05:34 PM","Windows Server 2016 Datacenter","10.0 (14393)",,,"CN=hsazuredc1,OU=Domain Controllers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSCA$","HSCA","7/28/2019 4:31:52 PM","12/3/2021 6:52:10 PM","Windows Server 2016 Standard","10.0 (14393)",,,"CN=HSCA,OU=Domain Controllers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSAZUREDC2$","hsazuredc2","6/23/2019 5:41:20 PM","12/2/2021 11:50:21 AM","Windows Server 2016 Datacenter","10.0 (14393)",,,"CN=hsazuredc2,OU=Domain Controllers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSDC2$","HSDC2","2/12/2016 10:51:11 AM","12/5/2021 7:51:44 PM","Windows Server 2016 Standard","10.0 (14393)",,,"CN=HSDC2,OU=Domain Controllers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSDC1$","HSDC1","7/24/2019 9:53:38 PM","12/8/2021 11:23:29 AM","Windows Server 2016 Standard","10.0 (14393)",,,"CN=HSDC1,OU=Domain Controllers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSDC6$","HSDC6","7/29/2019 3:22:57 PM","12/1/2021 9:35:23 PM","Windows Server 2016 Standard","10.0 (14393)",,,"CN=HSDC6,OU=Domain Controllers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"CHSDC1$","CHSDC1","7/25/2019 11:07:43 PM","12/6/2021 12:27:04 PM","Windows Server 2016 Standard","10.0 (14393)",,,"CN=CHSDC1,OU=Domain Controllers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSDC3$","HSDC3","3/8/2016 12:24:30 PM","12/8/2021 2:49:01 PM","Windows Server 2016 Standard","10.0 (14393)",,,"CN=HSDC3,OU=Domain Controllers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSDPM$","HSDPM","1/28/2011 3:12:38 PM","2/10/2020 9:20:53 AM","Windows Server 2008 R2 Enterprise","6.1 (7601)","Service Pack 1",,"CN=HSDPM,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSDPM2$","HSDPM2","6/3/2013 1:34:44 PM","2/10/2020 9:20:53 AM","Windows Server 2008 R2 Enterprise","6.1 (7601)","Service Pack 1",,"CN=HSDPM2,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
