"SamAccountName","ComputerName","ComputerCreationDate","ComputerChanged","LastBadPasswordAttempt","PasswordExpired","PasswordLastSet","PasswordNeverExpires","PasswordNotRequired","DistinguishedName"
"HSAZUREDC1$","hsazuredc1","6/20/2019 2:51:21 PM","11/19/2021 2:49:45 PM",,"False","11/16/2021 5:17:41 PM","False","False","CN=hsazuredc1,OU=Domain Controllers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSCA$","HSCA","7/28/2019 4:31:52 PM","11/13/2021 6:36:50 PM",,"False","10/24/2021 10:41:28 PM","False","False","CN=HSCA,OU=Domain Controllers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSAZUREDC2$","hsazuredc2","6/23/2019 5:41:20 PM","11/19/2021 10:26:00 PM",,"False","11/19/2021 10:25:53 PM","False","False","CN=hsazuredc2,OU=Domain Controllers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSDC2$","HSDC2","2/12/2016 10:51:11 AM","11/15/2021 7:48:35 PM",,"False","10/28/2021 4:28:56 AM","False","False","CN=HSDC2,OU=Domain Controllers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSDC1$","HSDC1","7/24/2019 9:53:38 PM","11/18/2021 11:18:17 AM",,"False","10/22/2021 11:13:49 PM","False","False","CN=HSDC1,OU=Domain Controllers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSDC6$","HSDC6","7/29/2019 3:22:57 PM","11/21/2021 9:09:00 PM",,"False","11/20/2021 8:34:32 PM","False","False","CN=HSDC6,OU=Domain Controllers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"CHSDC1$","CHSDC1","7/25/2019 11:07:43 PM","11/20/2021 8:45:32 PM",,"False","11/20/2021 8:45:30 PM","False","False","CN=CHSDC1,OU=Domain Controllers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSDC3$","HSDC3","3/8/2016 12:24:30 PM","11/18/2021 2:19:36 PM",,"False","10/27/2021 5:42:27 PM","False","False","CN=HSDC3,OU=Domain Controllers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSDPM$","HSDPM","1/28/2011 3:12:38 PM","2/10/2020 9:20:44 AM",,"False","7/12/2019 2:18:04 AM","False","False","CN=HSDPM,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSDPM2$","HSDPM2","6/3/2013 1:34:44 PM","2/10/2020 9:20:44 AM",,"False","2/25/2018 3:13:57 AM","False","False","CN=HSDPM2,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSWEB$","HSWEB","10/1/2008 11:55:08 AM","3/10/2021 2:02:04 PM",,"False","6/7/2013 12:42:22 AM","False","False","CN=HSWEB,OU=DisabledSystemsServers,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSRDBROKER01$","HSRDBROKER01","10/17/2017 11:23:29 AM","11/18/2021 5:45:42 PM",,"False","10/29/2021 8:50:02 PM","False","False","CN=HSRDBROKER01,OU=RDSH,OU=Systems Servers,OU=HS Servers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"ROCRDBROKER01$","ROCRDBROKER01","10/17/2017 12:05:20 PM","11/21/2021 10:12:18 PM",,"False","10/28/2021 10:56:30 AM","False","False","CN=ROCRDBROKER01,OU=RDSH,OU=Systems Servers,OU=HS Servers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSTS1$","HSTS1","10/16/2017 2:28:39 PM","3/10/2021 2:02:03 PM",,"False","10/16/2017 2:28:39 PM","False","False","CN=HSTS1,OU=DisabledSystemsServers,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SOLEPROXYOLD$","SOLEPROXYOLD","3/18/2009 1:05:56 PM","7/30/2019 4:55:49 PM",,"False","7/19/2010 7:33:52 PM","False","False","CN=SOLEPROXYOLD,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"CMS2$","CMS2","8/21/2009 12:36:06 PM","7/30/2019 4:55:49 PM",,"False","5/21/2010 8:13:36 AM","False","False","CN=CMS2,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"CMS1$","CMS1","2/1/2010 4:57:35 PM","7/30/2019 4:55:49 PM",,"False","6/3/2010 6:55:35 AM","False","False","CN=CMS1,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"CMS3$","CMS3","2/16/2010 10:04:26 PM","7/30/2019 4:55:49 PM",,"False","5/19/2010 8:45:26 AM","False","False","CN=CMS3,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"VENUS$","VENUS","3/18/2009 5:48:27 AM","7/30/2019 4:55:49 PM",,"False","4/27/2010 12:53:00 AM","False","False","CN=VENUS,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"KONDRLA$","KONDRLA","4/10/2008 12:11:42 PM","8/9/2021 2:45:19 PM","12/15/2020 11:10:55 AM","False","7/18/2021 3:00:53 AM","False","False","CN=KONDRLA,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"OLDSTAGE$","OLDSTAGE","10/5/2010 6:27:17 PM","7/30/2019 4:55:50 PM",,"False","5/9/2012 12:57:18 AM","False","False","CN=OLDSTAGE,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
