"SamAccountName","ComputerName","ComputerCreationDate","ComputerChanged","SPN","DistinguishedName"
"HSAZUREDC1$","hsazuredc1","6/20/2019 2:51:21 PM","11/19/2021 2:50:02 PM","CmRcService/hsazuredc1;CmRcService/hsazuredc1.HS.wvu-ad.wvu.edu;DNS/hsazuredc1.HS.wvu-ad.wvu.edu;ldap/hsazuredc1.HS.wvu-ad.wvu.edu/HS.wvu-ad.wvu.edu;ldap/hsazuredc1.HS.wvu-ad.wvu.edu/DomainDnsZones.HS.wvu-ad.wvu.edu;ldap/hsazuredc1.HS.wvu-ad.wvu.edu/ForestDnsZones.wvu-ad.wvu.edu;ldap/hsazuredc1.HS.wvu-ad.wvu.edu;ldap/hsazuredc1/HS;ldap/ac58eec8-982a-4778-b747-d75ecae3fd56._msdcs.wvu-ad.wvu.edu;ldap/hsazuredc1.HS.wvu-ad.wvu.edu/HS;ldap/hsazuredc1;exchangeAB/hsazuredc1;exchangeAB/hsazuredc1.HS.wvu-ad.wvu.edu;RPC/ac58eec8-982a-4778-b747-d75ecae3fd56._msdcs.wvu-ad.wvu.edu;HOST/hsazuredc1/HS;HOST/hsazuredc1.HS.wvu-ad.wvu.edu/HS;GC/hsazuredc1.HS.wvu-ad.wvu.edu/wvu-ad.wvu.edu;HOST/hsazuredc1.HS.wvu-ad.wvu.edu/HS.wvu-ad.wvu.edu;TERMSRV/hsazuredc1.HS.wvu-ad.wvu.edu;TERMSRV/hsazuredc1;WSMAN/hsazuredc1.HS.wvu-ad.wvu.edu;WSMAN/hsazuredc1;Dfsr-12F9A27C-BF97-4787-9364-D31B6C55EB04/hsazuredc1.HS.wvu-ad.wvu.edu;NtFrs-88f5d2bd-b646-11d2-a6d3-00c04fc9b232/hsazuredc1.HS.wvu-ad.wvu.edu;E3514235-4B06-11D1-AB04-00C04FC2DCD2/ac58eec8-982a-4778-b747-d75ecae3fd56/HS.wvu-ad.wvu.edu;RestrictedKrbHost/hsazuredc1;HOST/hsazuredc1;RestrictedKrbHost/hsazuredc1.HS.wvu-ad.wvu.edu;HOST/hsazuredc1.HS.wvu-ad.wvu.edu","CN=hsazuredc1,OU=Domain Controllers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSCA$","HSCA","7/28/2019 4:31:52 PM","11/13/2021 6:36:56 PM","CmRcService/HSCA;CmRcService/HSCA.HS.wvu-ad.wvu.edu;TERMSRV/HSCA;TERMSRV/HSCA.HS.wvu-ad.wvu.edu;ldap/37a843d5-22cf-42f2-985d-0c233709eb89._msdcs.wvu-ad.wvu.edu;ldap/HSCA.HS.wvu-ad.wvu.edu/HS;ldap/HSCA;ldap/HSCA.HS.wvu-ad.wvu.edu;ldap/HSCA.HS.wvu-ad.wvu.edu/HS.wvu-ad.wvu.edu;ldap/HSCA/HS;exchangeAB/HSCA;HOST/HSCA.HS.wvu-ad.wvu.edu/HS.wvu-ad.wvu.edu;exchangeAB/HSCA.HS.wvu-ad.wvu.edu;GC/HSCA.HS.wvu-ad.wvu.edu/wvu-ad.wvu.edu;HOST/HSCA.HS.wvu-ad.wvu.edu/HS;HOST/HSCA/HS;RPC/37a843d5-22cf-42f2-985d-0c233709eb89._msdcs.wvu-ad.wvu.edu;Dfsr-12F9A27C-BF97-4787-9364-D31B6C55EB04/HSCA.HS.wvu-ad.wvu.edu;WSMAN/HSCA.HS.wvu-ad.wvu.edu;WSMAN/HSCA;E3514235-4B06-11D1-AB04-00C04FC2DCD2/37a843d5-22cf-42f2-985d-0c233709eb89/HS.wvu-ad.wvu.edu;RestrictedKrbHost/HSCA;HOST/HSCA;RestrictedKrbHost/HSCA.HS.wvu-ad.wvu.edu;HOST/HSCA.HS.wvu-ad.wvu.edu","CN=HSCA,OU=Domain Controllers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSAZUREDC2$","hsazuredc2","6/23/2019 5:41:20 PM","11/19/2021 10:26:18 PM","CmRcService/hsazuredc2;CmRcService/hsazuredc2.HS.wvu-ad.wvu.edu;WSMAN/hsazuredc2.HS.wvu-ad.wvu.edu;WSMAN/hsazuredc2;DNS/hsazuredc2.HS.wvu-ad.wvu.edu;ldap/hsazuredc2;ldap/hsazuredc2.HS.wvu-ad.wvu.edu;ldap/hsazuredc2.HS.wvu-ad.wvu.edu/ForestDnsZones.wvu-ad.wvu.edu;ldap/hsazuredc2.HS.wvu-ad.wvu.edu/DomainDnsZones.HS.wvu-ad.wvu.edu;ldap/hsazuredc2.HS.wvu-ad.wvu.edu/HS.wvu-ad.wvu.edu;ldap/hsazuredc2/HS;RPC/61e4150d-02a5-4d64-8dca-c3c90f76f928._msdcs.wvu-ad.wvu.edu;ldap/hsazuredc2.HS.wvu-ad.wvu.edu/HS;exchangeAB/hsazuredc2;HOST/hsazuredc2.HS.wvu-ad.wvu.edu/HS.wvu-ad.wvu.edu;exchangeAB/hsazuredc2.HS.wvu-ad.wvu.edu;GC/hsazuredc2.HS.wvu-ad.wvu.edu/wvu-ad.wvu.edu;HOST/hsazuredc2.HS.wvu-ad.wvu.edu/HS;HOST/hsazuredc2/HS;ldap/61e4150d-02a5-4d64-8dca-c3c90f76f928._msdcs.wvu-ad.wvu.edu;TERMSRV/hsazuredc2.HS.wvu-ad.wvu.edu;TERMSRV/hsazuredc2;NtFrs-88f5d2bd-b646-11d2-a6d3-00c04fc9b232/hsazuredc2.HS.wvu-ad.wvu.edu;Dfsr-12F9A27C-BF97-4787-9364-D31B6C55EB04/hsazuredc2.HS.wvu-ad.wvu.edu;E3514235-4B06-11D1-AB04-00C04FC2DCD2/61e4150d-02a5-4d64-8dca-c3c90f76f928/HS.wvu-ad.wvu.edu;RestrictedKrbHost/hsazuredc2;HOST/hsazuredc2;RestrictedKrbHost/hsazuredc2.HS.wvu-ad.wvu.edu;HOST/hsazuredc2.HS.wvu-ad.wvu.edu","CN=hsazuredc2,OU=Domain Controllers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSDC2$","HSDC2","2/12/2016 10:51:11 AM","11/15/2021 7:48:43 PM","ldap/HSDC2.HS.wvu-ad.wvu.edu/DomainDnsZones.HS.wvu-ad.wvu.edu;ldap/HSDC2.HS.wvu-ad.wvu.edu/ForestDnsZones.wvu-ad.wvu.edu;RPC/1c4635cd-dc9c-4faf-bc4f-d5284e0880a3._msdcs.wvu-ad.wvu.edu;GC/HSDC2.HS.wvu-ad.wvu.edu/wvu-ad.wvu.edu;ldap/HSDC2/HS;ldap/1c4635cd-dc9c-4faf-bc4f-d5284e0880a3._msdcs.wvu-ad.wvu.edu;ldap/HSDC2.HS.wvu-ad.wvu.edu/HS;ldap/HSDC2;ldap/HSDC2.HS.wvu-ad.wvu.edu;ldap/HSDC2.HS.wvu-ad.wvu.edu/HS.wvu-ad.wvu.edu;E3514235-4B06-11D1-AB04-00C04FC2DCD2/1c4635cd-dc9c-4faf-bc4f-d5284e0880a3/HS.wvu-ad.wvu.edu;DNS/hsdc2.HS.wvu-ad.wvu.edu;HOST/HSDC2/HS;HOST/hsdc2.HS.wvu-ad.wvu.edu/HS;exchangeAB/hsdc2.HS.wvu-ad.wvu.edu;HOST/hsdc2.HS.wvu-ad.wvu.edu/HS.wvu-ad.wvu.edu;exchangeAB/HSDC2;NtFrs-88f5d2bd-b646-11d2-a6d3-00c04fc9b232/hsdc2.HS.wvu-ad.wvu.edu;Dfsr-12F9A27C-BF97-4787-9364-D31B6C55EB04/hsdc2.HS.wvu-ad.wvu.edu;CmRcService/hsdc2.HS.wvu-ad.wvu.edu;WSMAN/hsdc2.HS.wvu-ad.wvu.edu;TERMSRV/hsdc2.HS.wvu-ad.wvu.edu;RestrictedKrbHost/hsdc2.HS.wvu-ad.wvu.edu;HOST/hsdc2.HS.wvu-ad.wvu.edu;CmRcService/HSDC2;WSMAN/HSDC2;TERMSRV/HSDC2;RestrictedKrbHost/HSDC2;HOST/HSDC2","CN=HSDC2,OU=Domain Controllers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSDC1$","HSDC1","7/24/2019 9:53:38 PM","11/18/2021 11:18:17 AM","CmRcService/HSDC1;CmRcService/HSDC1.HS.wvu-ad.wvu.edu;HOST/HSDC1.HS.wvu-ad.wvu.edu/HS;HOST/HSDC1/HS;RPC/936ef885-7ff2-4254-bc2e-8ab7f811e93f._msdcs.wvu-ad.wvu.edu;exchangeAB/HSDC1.HS.wvu-ad.wvu.edu;GC/HSDC1.HS.wvu-ad.wvu.edu/wvu-ad.wvu.edu;HOST/HSDC1.HS.wvu-ad.wvu.edu/HS.wvu-ad.wvu.edu;ldap/HSDC1/HS;exchangeAB/HSDC1;ldap/936ef885-7ff2-4254-bc2e-8ab7f811e93f._msdcs.wvu-ad.wvu.edu;ldap/HSDC1.HS.wvu-ad.wvu.edu/HS;ldap/HSDC1.HS.wvu-ad.wvu.edu/HS.wvu-ad.wvu.edu;ldap/HSDC1.HS.wvu-ad.wvu.edu;ldap/HSDC1;WSMAN/HSDC1;WSMAN/HSDC1.HS.wvu-ad.wvu.edu;Dfsr-12F9A27C-BF97-4787-9364-D31B6C55EB04/HSDC1.HS.wvu-ad.wvu.edu;TERMSRV/HSDC1;TERMSRV/HSDC1.HS.wvu-ad.wvu.edu;E3514235-4B06-11D1-AB04-00C04FC2DCD2/936ef885-7ff2-4254-bc2e-8ab7f811e93f/HS.wvu-ad.wvu.edu;RestrictedKrbHost/HSDC1;HOST/HSDC1;RestrictedKrbHost/HSDC1.HS.wvu-ad.wvu.edu;HOST/HSDC1.HS.wvu-ad.wvu.edu","CN=HSDC1,OU=Domain Controllers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSDC6$","HSDC6","7/29/2019 3:22:57 PM","11/11/2021 9:00:35 PM","CmRcService/HSDC6;CmRcService/HSDC6.HS.wvu-ad.wvu.edu;RPC/b95e5826-576b-4777-8970-126d84456987._msdcs.wvu-ad.wvu.edu;HOST/HSDC6/HS;HOST/HSDC6.HS.wvu-ad.wvu.edu/HS;GC/HSDC6.HS.wvu-ad.wvu.edu/wvu-ad.wvu.edu;exchangeAB/HSDC6.HS.wvu-ad.wvu.edu;HOST/HSDC6.HS.wvu-ad.wvu.edu/HS.wvu-ad.wvu.edu;exchangeAB/HSDC6;ldap/HSDC6/HS;ldap/b95e5826-576b-4777-8970-126d84456987._msdcs.wvu-ad.wvu.edu;ldap/HSDC6.HS.wvu-ad.wvu.edu/HS;ldap/HSDC6;ldap/HSDC6.HS.wvu-ad.wvu.edu;ldap/HSDC6.HS.wvu-ad.wvu.edu/HS.wvu-ad.wvu.edu;WSMAN/HSDC6;WSMAN/HSDC6.HS.wvu-ad.wvu.edu;TERMSRV/HSDC6;TERMSRV/HSDC6.HS.wvu-ad.wvu.edu;Dfsr-12F9A27C-BF97-4787-9364-D31B6C55EB04/HSDC6.HS.wvu-ad.wvu.edu;E3514235-4B06-11D1-AB04-00C04FC2DCD2/b95e5826-576b-4777-8970-126d84456987/HS.wvu-ad.wvu.edu;RestrictedKrbHost/HSDC6;HOST/HSDC6;RestrictedKrbHost/HSDC6.HS.wvu-ad.wvu.edu;HOST/HSDC6.HS.wvu-ad.wvu.edu","CN=HSDC6,OU=Domain Controllers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"CHSDC1$","CHSDC1","7/25/2019 11:07:43 PM","11/16/2021 12:06:41 PM","CmRcService/CHSDC1;CmRcService/CHSDC1.HS.wvu-ad.wvu.edu;ldap/CHSDC1.HS.wvu-ad.wvu.edu/HS.wvu-ad.wvu.edu;ldap/CHSDC1.HS.wvu-ad.wvu.edu;ldap/CHSDC1;ldap/CHSDC1.HS.wvu-ad.wvu.edu/HS;ldap/CHSDC1/HS;exchangeAB/CHSDC1.HS.wvu-ad.wvu.edu;exchangeAB/CHSDC1;HOST/CHSDC1.HS.wvu-ad.wvu.edu/HS.wvu-ad.wvu.edu;ldap/1fbee3b2-d2fa-4c35-83cd-fc84ab66bc17._msdcs.wvu-ad.wvu.edu;GC/CHSDC1.HS.wvu-ad.wvu.edu/wvu-ad.wvu.edu;RPC/1fbee3b2-d2fa-4c35-83cd-fc84ab66bc17._msdcs.wvu-ad.wvu.edu;HOST/CHSDC1/HS;HOST/CHSDC1.HS.wvu-ad.wvu.edu/HS;Dfsr-12F9A27C-BF97-4787-9364-D31B6C55EB04/CHSDC1.HS.wvu-ad.wvu.edu;TERMSRV/CHSDC1;TERMSRV/CHSDC1.HS.wvu-ad.wvu.edu;WSMAN/CHSDC1;WSMAN/CHSDC1.HS.wvu-ad.wvu.edu;E3514235-4B06-11D1-AB04-00C04FC2DCD2/1fbee3b2-d2fa-4c35-83cd-fc84ab66bc17/HS.wvu-ad.wvu.edu;RestrictedKrbHost/CHSDC1;HOST/CHSDC1;RestrictedKrbHost/CHSDC1.HS.wvu-ad.wvu.edu;HOST/CHSDC1.HS.wvu-ad.wvu.edu","CN=CHSDC1,OU=Domain Controllers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSDC3$","HSDC3","3/8/2016 12:24:30 PM","11/18/2021 2:19:44 PM","ldap/HSDC3.HS.wvu-ad.wvu.edu/HS.wvu-ad.wvu.edu;ldap/HSDC3.HS.wvu-ad.wvu.edu/HS;ldap/HSDC3;ldap/HSDC3.HS.wvu-ad.wvu.edu;ldap/6a774c6a-08a3-4f76-90ab-f4734202d3fe._msdcs.wvu-ad.wvu.edu;ldap/HSDC3/HS;GC/HSDC3.HS.wvu-ad.wvu.edu/wvu-ad.wvu.edu;RPC/6a774c6a-08a3-4f76-90ab-f4734202d3fe._msdcs.wvu-ad.wvu.edu;ldap/HSDC3.HS.wvu-ad.wvu.edu/DomainDnsZones.HS.wvu-ad.wvu.edu;ldap/HSDC3.HS.wvu-ad.wvu.edu/ForestDnsZones.wvu-ad.wvu.edu;E3514235-4B06-11D1-AB04-00C04FC2DCD2/6a774c6a-08a3-4f76-90ab-f4734202d3fe/HS.wvu-ad.wvu.edu;CmRcService/hsdc3.HS.wvu-ad.wvu.edu;CmRcService/HSDC3;Dfsr-12F9A27C-BF97-4787-9364-D31B6C55EB04/hsdc3.HS.wvu-ad.wvu.edu;DNS/hsdc3.HS.wvu-ad.wvu.edu;exchangeAB/HSDC3;HOST/HSDC3/HS;HOST/hsdc3.HS.wvu-ad.wvu.edu/HS;HOST/hsdc3.HS.wvu-ad.wvu.edu/HS.wvu-ad.wvu.edu;exchangeAB/hsdc3.HS.wvu-ad.wvu.edu;WSMAN/hsdc3.HS.wvu-ad.wvu.edu;WSMAN/hsdc3;NtFrs-88f5d2bd-b646-11d2-a6d3-00c04fc9b232/hsdc3.HS.wvu-ad.wvu.edu;TERMSRV/hsdc3.HS.wvu-ad.wvu.edu;TERMSRV/HSDC3;RestrictedKrbHost/HSDC3;HOST/HSDC3;RestrictedKrbHost/hsdc3.HS.wvu-ad.wvu.edu;HOST/hsdc3.HS.wvu-ad.wvu.edu","CN=HSDC3,OU=Domain Controllers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSDPM$","HSDPM","1/28/2011 3:12:38 PM","2/10/2020 9:20:53 AM","CmRcService/hsdpm.HS.wvu-ad.wvu.edu;CmRcService/HSDPM;Microsoft Virtual System Migration Service/HSDPM;Microsoft Virtual System Migration Service/hsdpm.HS.wvu-ad.wvu.edu;Microsoft Virtual Console Service/HSDPM;Microsoft Virtual Console Service/hsdpm.HS.wvu-ad.wvu.edu;TERMSRV/HSDPM;TERMSRV/hsdpm.HS.wvu-ad.wvu.edu;WSMAN/hsdpm;WSMAN/hsdpm.HS.wvu-ad.wvu.edu;RestrictedKrbHost/HSDPM;HOST/HSDPM;RestrictedKrbHost/HSDPM.HS.wvu-ad.wvu.edu;HOST/HSDPM.HS.wvu-ad.wvu.edu","CN=HSDPM,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSDPM2$","HSDPM2","6/3/2013 1:34:44 PM","2/10/2020 9:20:53 AM","CmRcService/hsdpm2.HS.wvu-ad.wvu.edu;CmRcService/HSDPM2;TERMSRV/hsdpm2.HS.wvu-ad.wvu.edu;TERMSRV/HSDPM2;WSMAN/hsdpm2.HS.wvu-ad.wvu.edu;WSMAN/hsdpm2;RestrictedKrbHost/HSDPM2;HOST/HSDPM2;RestrictedKrbHost/HSDPM2.HS.wvu-ad.wvu.edu;HOST/HSDPM2.HS.wvu-ad.wvu.edu","CN=HSDPM2,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
