"PSShowComputerName","AccessControlType","AccessRight","AccountName","Name","ScopeName","PSComputerName"
"True","Allow","Full","BUILTIN\Administrators","ADMIN$","*","hsazuredc1"
"True","Allow","Full","BUILTIN\Backup Operators","ADMIN$","*","hsazuredc1"
"True","Allow","Full","NT AUTHORITY\INTERACTIVE","ADMIN$","*","hsazuredc1"
"True","Allow","Read","Everyone","SYSVOL","*","hsazuredc1"
"True","Allow","Full","BUILTIN\Administrators","SYSVOL","*","hsazuredc1"
"True","Allow","Full","NT AUTHORITY\Authenticated Users","SYSVOL","*","hsazuredc1"
"True","Allow","Read","Everyone","NETLOGON","*","hsazuredc1"
"True","Allow","Full","BUILTIN\Administrators","NETLOGON","*","hsazuredc1"
"True","Allow","Full","BUILTIN\Administrators","IPC$","*","hsazuredc1"
"True","Allow","Full","BUILTIN\Backup Operators","IPC$","*","hsazuredc1"
"True","Allow","Full","NT AUTHORITY\INTERACTIVE","IPC$","*","hsazuredc1"
"True","Allow","Full","BUILTIN\Administrators","D$","*","hsazuredc1"
"True","Allow","Full","BUILTIN\Backup Operators","D$","*","hsazuredc1"
"True","Allow","Full","NT AUTHORITY\INTERACTIVE","D$","*","hsazuredc1"
"True","Allow","Full","BUILTIN\Administrators","C$","*","hsazuredc1"
"True","Allow","Full","BUILTIN\Backup Operators","C$","*","hsazuredc1"
"True","Allow","Full","NT AUTHORITY\INTERACTIVE","C$","*","hsazuredc1"
"True","Allow","Full","BUILTIN\Administrators","D$","*","hsazuredc2"
"True","Allow","Full","BUILTIN\Backup Operators","D$","*","hsazuredc2"
"True","Allow","Full","NT AUTHORITY\INTERACTIVE","D$","*","hsazuredc2"
"True","Allow","Read","Everyone","NETLOGON","*","hsazuredc2"
"True","Allow","Full","BUILTIN\Administrators","NETLOGON","*","hsazuredc2"
"True","Allow","Full","BUILTIN\Administrators","IPC$","*","hsazuredc2"
"True","Allow","Full","BUILTIN\Backup Operators","IPC$","*","hsazuredc2"
"True","Allow","Full","NT AUTHORITY\INTERACTIVE","IPC$","*","hsazuredc2"
"True","Allow","Full","BUILTIN\Administrators","C$","*","hsazuredc2"
"True","Allow","Full","BUILTIN\Backup Operators","C$","*","hsazuredc2"
"True","Allow","Full","NT AUTHORITY\INTERACTIVE","C$","*","hsazuredc2"
"True","Allow","Full","BUILTIN\Administrators","ADMIN$","*","hsazuredc2"
"True","Allow","Full","BUILTIN\Backup Operators","ADMIN$","*","hsazuredc2"
"True","Allow","Full","NT AUTHORITY\INTERACTIVE","ADMIN$","*","hsazuredc2"
"True","Allow","Read","Everyone","SYSVOL","*","hsazuredc2"
"True","Allow","Full","BUILTIN\Administrators","SYSVOL","*","hsazuredc2"
"True","Allow","Full","NT AUTHORITY\Authenticated Users","SYSVOL","*","hsazuredc2"
"True","Allow","Full","BUILTIN\Administrators","C$","*","HSDC2"
"True","Allow","Full","BUILTIN\Backup Operators","C$","*","HSDC2"
"True","Allow","Full","NT AUTHORITY\INTERACTIVE","C$","*","HSDC2"
"True","Allow","Read","Everyone","Clinic","*","HSDC2"
"True","Allow","Read","Everyone","Public","*","HSDC2"
"True","Allow","Read","Everyone","SYSVOL","*","HSDC2"
"True","Allow","Full","BUILTIN\Administrators","SYSVOL","*","HSDC2"
"True","Allow","Full","NT AUTHORITY\Authenticated Users","SYSVOL","*","HSDC2"
"True","Allow","Full","BUILTIN\Administrators","IPC$","*","HSDC2"
"True","Allow","Full","BUILTIN\Backup Operators","IPC$","*","HSDC2"
"True","Allow","Full","NT AUTHORITY\INTERACTIVE","IPC$","*","HSDC2"
"True","Allow","Read","Everyone","NETLOGON","*","HSDC2"
"True","Allow","Full","BUILTIN\Administrators","NETLOGON","*","HSDC2"
"True","Allow","Full","BUILTIN\Administrators","ADMIN$","*","HSDC2"
"True","Allow","Full","BUILTIN\Backup Operators","ADMIN$","*","HSDC2"
"True","Allow","Full","NT AUTHORITY\INTERACTIVE","ADMIN$","*","HSDC2"
"True","Allow","Full","BUILTIN\Administrators","C$","*","HSDC1"
"True","Allow","Full","BUILTIN\Backup Operators","C$","*","HSDC1"
"True","Allow","Full","NT AUTHORITY\INTERACTIVE","C$","*","HSDC1"
"True","Allow","Full","BUILTIN\Administrators","ADMIN$","*","HSDC1"
"True","Allow","Full","BUILTIN\Backup Operators","ADMIN$","*","HSDC1"
