"PSShowComputerName","HealthStatus","OperationalStatus","ShareState","FileSharingProtocol","ObjectId","PassThroughClass","PassThroughIds","PassThroughNamespace","PassThroughServer","UniqueId","ContinuouslyAvailable","Description","EncryptData","Name","VolumeRelativePath","PSComputerName"
"True","Healthy","Online","Online","SMB","{1}\\hsazuredc1\root/Microsoft/Windows/Storage/Providers_v2\WSP_FileShare.ObjectId=""{621ef3ed-92c7-11e9-a80e-806e6f6e6963}:FX:SMB||*||ADMIN$""",,,,,"smb|hsazuredc1.HS.wvu-ad.wvu.edu/ADMIN$","False","Remote Admin","False","ADMIN$","windows","hsazuredc1"
"True","Healthy","Online","Online","SMB","{1}\\hsazuredc1\root/Microsoft/Windows/Storage/Providers_v2\WSP_FileShare.ObjectId=""{621ef3ed-92c7-11e9-a80e-806e6f6e6963}:FX:SMB||*||C$""",,,,,"smb|hsazuredc1.HS.wvu-ad.wvu.edu/C$","False","Default share","False","C$","\","hsazuredc1"
"True","Healthy","Online","Online","SMB","{1}\\hsazuredc1\root/Microsoft/Windows/Storage/Providers_v2\WSP_FileShare.ObjectId=""{621ef3ed-92c7-11e9-a80e-806e6f6e6963}:FX:SMB||*||D$""",,,,,"smb|hsazuredc1.HS.wvu-ad.wvu.edu/D$","False","Default share","False","D$","\","hsazuredc1"
"True","Healthy","Online","Online","SMB","{1}\\hsazuredc1\root/Microsoft/Windows/Storage/Providers_v2\WSP_FileShare.ObjectId=""{621ef3ed-92c7-11e9-a80e-806e6f6e6963}:FX:SMB||*||NETLOGON""",,,,,"smb|hsazuredc1.HS.wvu-ad.wvu.edu/NETLOGON","False","Logon server share ","False","NETLOGON","windows\SYSVOL_DFSR\sysvol\HS.wvu-ad.wvu.edu\SCRIPTS","hsazuredc1"
"True","Healthy","Online","Online","SMB","{1}\\hsazuredc1\root/Microsoft/Windows/Storage/Providers_v2\WSP_FileShare.ObjectId=""{621ef3ed-92c7-11e9-a80e-806e6f6e6963}:FX:SMB||*||SYSVOL""",,,,,"smb|hsazuredc1.HS.wvu-ad.wvu.edu/SYSVOL","False","Logon server share ","False","SYSVOL","windows\SYSVOL_DFSR\sysvol","hsazuredc1"
"True","Healthy","Online","Online","SMB","{1}\\HSCA\root/Microsoft/Windows/Storage/Providers_v2\WSP_FileShare.ObjectId=""{f6afbaeb-f3f3-11e8-90fe-806e6f6e6963}:FX:SMB||*||ADMIN$""",,,,,"smb|HSCA.HS.wvu-ad.wvu.edu/ADMIN$","False","Remote Admin","False","ADMIN$","Windows","HSCA"
"True","Healthy","Online","Online","SMB","{1}\\HSCA\root/Microsoft/Windows/Storage/Providers_v2\WSP_FileShare.ObjectId=""{f6afbaeb-f3f3-11e8-90fe-806e6f6e6963}:FX:SMB||*||C$""",,,,,"smb|HSCA.HS.wvu-ad.wvu.edu/C$","False","Default share","False","C$","\","HSCA"
"True","Healthy","Online","Online","SMB","{1}\\HSCA\root/Microsoft/Windows/Storage/Providers_v2\WSP_FileShare.ObjectId=""{f6afbaeb-f3f3-11e8-90fe-806e6f6e6963}:FX:SMB||*||CertEnroll""",,,,,"smb|HSCA.HS.wvu-ad.wvu.edu/CertEnroll","False","Active Directory Certificate Services share","False","CertEnroll","Windows\system32\CertSrv\CertEnroll","HSCA"
"True","Healthy","Online","Online","SMB","{1}\\HSCA\root/Microsoft/Windows/Storage/Providers_v2\WSP_FileShare.ObjectId=""{f6afbaeb-f3f3-11e8-90fe-806e6f6e6963}:FX:SMB||*||E$""",,,,,"smb|HSCA.HS.wvu-ad.wvu.edu/E$","False","Default share","False","E$","\","HSCA"
"True","Healthy","Online","Online","SMB","{1}\\HSCA\root/Microsoft/Windows/Storage/Providers_v2\WSP_FileShare.ObjectId=""{f6afbaeb-f3f3-11e8-90fe-806e6f6e6963}:FX:SMB||*||NETLOGON""",,,,,"smb|HSCA.HS.wvu-ad.wvu.edu/NETLOGON","False","Logon server share ","False","NETLOGON","Windows\SYSVOL\sysvol\HS.wvu-ad.wvu.edu\SCRIPTS","HSCA"
