"ServerName","Enabled","CIMSession","GetSmbShare","GetFileShare","GetSmbShareAccess","DistinguishedName"
"hsazuredc1","True","True","True","True","True","CN=hsazuredc1,OU=Domain Controllers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"hsazuredc2","True","True","True","True","True","CN=hsazuredc2,OU=Domain Controllers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSDC2","True","True","True","True","True","CN=HSDC2,OU=Domain Controllers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSDC1","True","True","True","True","False","CN=HSDC1,OU=Domain Controllers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSDC3","True","True","True","True","True","CN=HSDC3,OU=Domain Controllers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSDPM","False","False","False","False","False","CN=HSDPM,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSDPM2","False","False","False","False","False","CN=HSDPM2,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSWEB","False","False","False","False","False","CN=HSWEB,OU=DisabledSystemsServers,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSRDBROKER01","True","True","True","True","True","CN=HSRDBROKER01,OU=RDSH,OU=Systems Servers,OU=HS Servers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"ROCRDBROKER01","True","True","True","True","True","CN=ROCRDBROKER01,OU=RDSH,OU=Systems Servers,OU=HS Servers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSTS1","False","False","False","False","False","CN=HSTS1,OU=DisabledSystemsServers,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SOLEPROXYOLD","False","False","False","False","False","CN=SOLEPROXYOLD,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"CMS2","False","False","False","False","False","CN=CMS2,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"CMS1","False","False","False","False","False","CN=CMS1,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"CMS3","False","False","False","False","False","CN=CMS3,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"VENUS","False","False","False","False","False","CN=VENUS,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"OLDSTAGE","False","False","False","False","False","CN=OLDSTAGE,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"CITSCVMM","False","False","False","False","False","CN=CITSCVMM,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"ITSLOG","True","False","True","True","True","CN=ITSLOG,OU=CHSC Servers,OU=HS Servers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"CHSCFP2","False","False","False","False","False","CN=CHSCFP2,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SPUMCO","True","False","True","True","True","CN=SPUMCO,OU=CHSC Servers,OU=HS Servers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"CHSCFP","True","False","True","True","True","CN=CHSCFP,OU=CHSC Servers,OU=HS Servers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"THATGUY","True","False","True","True","True","CN=THATGUY,OU=CHSC Servers,OU=HS Servers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"ITSWEB-STORAGE2","True","True","True","False","True","CN=ITSWEB-STORAGE2,OU=ITS Web Servers,OU=HS Servers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"ITSWEB-STORAGE1","True","False","True","False","True","CN=ITSWEB-STORAGE1,OU=ITS Web Servers,OU=HS Servers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"BRAINCHILD","False","False","False","False","False","CN=BRAINCHILD,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSSQLWITNESS","False","False","False","False","False","CN=HSSQLWITNESS,OU=DisabledSystemsServers,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"WAPAC","False","False","False","False","False","CN=WAPAC,OU=DisabledSystemsServers,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"RDTPDB10PR-ARC","True","False","True","False","True","CN=RDTPDB10PR-ARC,OU=RDTP Servers,OU=HS Servers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSPRINT3LEGACY","False","False","False","False","False","CN=HSPRINT3LEGACY,OU=DisabledSystemsServers,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSPRINT1LEGACY","False","False","False","False","False","CN=HSPRINT1LEGACY,OU=DisabledSystemsServers,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSSPN1","False","False","False","False","False","CN=HSSPN1,OU=DisabledSystemsServers,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSCFP","True","True","True","True","True","CN=HSCFP,OU=Systems Servers,OU=HS Servers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSPRINT4LEGACY","False","False","False","False","False","CN=HSPRINT4LEGACY,OU=DisabledSystemsServers,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSSPAPP","True","False","True","True","True","CN=HSSPAPP,OU=Systems Servers,OU=HS Servers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SPTEST","False","False","False","False","False","CN=SPTEST,OU=DisabledSystemsServers,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"EYEBALL","True","False","True","True","True","CN=EYEBALL,OU=CHSC Servers,OU=HS Servers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"WWW2","False","False","False","False","False","CN=WWW2,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"CHSCTERMSRV","False","False","False","False","False","CN=CHSCTERMSRV,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"CMSMERGE","False","False","False","False","False","CN=CMSMERGE,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSBACKUPS","False","False","False","False","False","CN=HSBACKUPS,OU=WinServer,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SGHOST","False","False","False","False","False","CN=SGHOST,OU=DisabledSystemsServers,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSADFS2PROXY","False","False","False","False","False","CN=HSADFS2PROXY,OU=DisabledSystemsServers,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"TERM-TEST","True","False","True","True","True","CN=TERM-TEST,OU=Systems Servers,OU=HS Servers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSSQL","False","False","False","False","False","CN=HSSQL,OU=DisabledSystemsServers,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
