"PSShowComputerName","PresetPathAcl","ShareState","AvailabilityType","ShareType","FolderEnumerationMode","CachingMode","LeasingMode","SmbInstance","CATimeout","ConcurrentUserLimit","ContinuouslyAvailable","CurrentUsers","Description","EncryptData","Name","Path","Scoped","ScopeName","SecurityDescriptor","ShadowCopy","Special","Temporary","Volume","PSComputerName"
"True",,"Online","NonClustered","FileSystemDirectory","Unrestricted","Manual",,"Default","0","0","False","0","Remote Admin","False","ADMIN$","C:\windows","False","*","O:SYG:SYD:(A;;GA;;;BA)(A;;GA;;;BO)(A;;GA;;;IU)","False","True","False","\\?\Volume{710c9cd6-0000-0000-0000-501f00000000}\","hsazuredc1"
"True",,"Online","NonClustered","FileSystemDirectory","Unrestricted","Manual",,"Default","0","0","False","0","Default share","False","C$","C:\","False","*","O:SYG:SYD:(A;;GA;;;BA)(A;;GA;;;BO)(A;;GA;;;IU)","False","True","False","\\?\Volume{710c9cd6-0000-0000-0000-501f00000000}\","hsazuredc1"
"True",,"Online","NonClustered","FileSystemDirectory","Unrestricted","Manual",,"Default","0","0","False","0","Default share","False","D$","D:\","False","*","O:SYG:SYD:(A;;GA;;;BA)(A;;GA;;;BO)(A;;GA;;;IU)","False","True","False","\\?\Volume{e150f2f1-0000-0000-0000-010000000000}\","hsazuredc1"
"True",,"Online","NonClustered","InterprocessCommunication","Unrestricted","Manual",,"Default","0","0","False","2","Remote IPC","False","IPC$","","False","*","O:SYG:SYD:(A;;GA;;;BA)(A;;GA;;;BO)(A;;GA;;;IU)","False","True","False",,"hsazuredc1"
"True",,"Online","NonClustered","FileSystemDirectory","Unrestricted","Manual",,"Default","0","0","False","0","Logon server share ","False","NETLOGON","C:\windows\SYSVOL_DFSR\sysvol\HS.wvu-ad.wvu.edu\SCRIPTS","False","*","O:BAG:SYD:(A;;0x1200a9;;;WD)(A;;FA;;;BA)","False","False","False","\\?\Volume{710c9cd6-0000-0000-0000-501f00000000}\","hsazuredc1"
"True",,"Online","NonClustered","FileSystemDirectory","Unrestricted","Manual",,"Default","0","0","False","0","Logon server share ","False","SYSVOL","C:\windows\SYSVOL_DFSR\sysvol","False","*","O:BAG:SYD:(A;;0x1200a9;;;WD)(A;;FA;;;BA)(A;;FA;;;AU)","False","False","False","\\?\Volume{710c9cd6-0000-0000-0000-501f00000000}\","hsazuredc1"
"True",,"Online","NonClustered","FileSystemDirectory","Unrestricted","Manual",,"Default","0","0","False","0","Remote Admin","False","ADMIN$","C:\windows","False","*","O:SYG:SYD:(A;;GA;;;BA)(A;;GA;;;BO)(A;;GA;;;IU)","False","True","False","\\?\Volume{710c9cd6-0000-0000-0000-501f00000000}\","hsazuredc2"
"True",,"Online","NonClustered","FileSystemDirectory","Unrestricted","Manual",,"Default","0","0","False","0","Default share","False","C$","C:\","False","*","O:SYG:SYD:(A;;GA;;;BA)(A;;GA;;;BO)(A;;GA;;;IU)","False","True","False","\\?\Volume{710c9cd6-0000-0000-0000-501f00000000}\","hsazuredc2"
"True",,"Online","NonClustered","FileSystemDirectory","Unrestricted","Manual",,"Default","0","0","False","0","Default share","False","D$","D:\","False","*","O:SYG:SYD:(A;;GA;;;BA)(A;;GA;;;BO)(A;;GA;;;IU)","False","True","False","\\?\Volume{54cc1291-0000-0000-0000-010000000000}\","hsazuredc2"
"True",,"Online","NonClustered","InterprocessCommunication","Unrestricted","Manual",,"Default","0","0","False","8","Remote IPC","False","IPC$","","False","*","O:SYG:SYD:(A;;GA;;;BA)(A;;GA;;;BO)(A;;GA;;;IU)","False","True","False",,"hsazuredc2"
