"GroupName","SamAccountName","GroupCount"
"Network Configuration Operators","Network Configuration Operators","0"
"Performance Monitor Users","Performance Monitor Users","0"
"Domain Computers","Domain Computers","Error Getting Group Count"
"Domain Guests","Domain Guests","1"
"Cryptographic Operators","Cryptographic Operators","0"
"Allowed RODC Password Replication Group","Allowed RODC Password Replication Group","0"
"Performance Log Users","Performance Log Users","0"
"Backup Operators","Backup Operators","1"
"Guests","Guests","2"
"Domain Admins","Domain Admins","17"
"Group Policy Creator Owners","Group Policy Creator Owners","3"
"Pre-Windows 2000 Compatible Access","Pre-Windows 2000 Compatible Access","5"
"Server Operators","Server Operators","3"
"Windows Authorization Access Group","Windows Authorization Access Group","3"
"Remote Desktop Users","Remote Desktop Users","2"
"RAS and IAS Servers","RAS and IAS Servers","1"
"Users","Users","3"
"Denied RODC Password Replication Group","Denied RODC Password Replication Group","8"
"Administrators","Administrators","14"
"Account Operators","Account Operators","3"
"Distributed COM Users","Distributed COM Users","3"
"IIS_IUSRS","IIS_IUSRS","0"
"Certificate Service DCOM Access","Certificate Service DCOM Access","1"
"Cert Publishers","Cert Publishers","1"
"RDS Remote Access Servers","RDS Remote Access Servers","0"
"RDS Endpoint Servers","RDS Endpoint Servers","0"
"RDS Management Servers","RDS Management Servers","0"
"Hyper-V Administrators","Hyper-V Administrators","0"
"Cloneable Domain Controllers","Cloneable Domain Controllers","0"
"Access Control Assistance Operators","Access Control Assistance Operators","0"
"Remote Management Users","Remote Management Users","0"
"Protected Users","Protected Users","0"
"Print Operators","Print Operators","0"
"Replicator","Replicator","0"
"Domain Controllers","Domain Controllers","9"
"Read-only Domain Controllers","Read-only Domain Controllers","0"
"Event Log Readers","Event Log Readers","1"
"Terminal Server License Servers","Terminal Server License Servers","4"
"Domain Users","Domain Users","Error Getting Group Count"
"Network Systems Group","Network Systems Group","15"
"HSC SCCM Client Push Agents","HSC SCCM Client Push Agents","1"
"Desktop Support Group","Desktop Support Group","22"
"HSC ISO","HSC ISO","21"
"$HSCALL","$HSCALL","24"
"Faculty","Faculty","29"
"$HD","$HD","26"
"Telephone TS Users","Telephone TS Users","0"
"$RESLAB","$RESLAB","73"
"Wapac Admins","Wapac Admins","8"
"$MICRO","$MICRO","105"
"HSC ISO Networking","HSC ISO Networking","7"
"WVUH General Apps","WVUH General Apps","3900"
"$RESIDENTS","$RESIDENTS","0"
"HSC Anatomy","HSC Anatomy","15"
"$CEI","$CEI","32"
"ISO","ITS0","42"
"$ITS","$ITS","11"
"HSC SOM","HSC SOM","299"
"Help Desk","Help Desk","28"
"ISOHD","ISOHD","7"
"HelpServicesGroup","HelpServicesGroup","0"
"HSC MBRCC","HSC MBRCC","44"
"CTRU","CTRU","71"
"$CTRU","$CTRU","78"
"USE-RID","USE-RID","4"
"$RADONC","$RADONC","19"
"$MBRCCHEMONC","$MBRCCHEMONC","27"
"IIS_WPG","IIS_WPG","5"
"PasswordChange","PasswordChange","19"
"WVUH Terminal Server Group","WVUH Terminal Server Group","893"
"Backup Global","Backup Global","1"
"HSC Visio 2007","HSC Visio 2007","4"
"MGMT","MGMT","3"
"Up To Date Group","Up To Date Group","1"
"Cisco_Admins","Cisco_Admins","1"
"Printer_Management","Printer_Management","2"
"$OMAN","$OMAN","0"
"RID-EXC","RID-EXC","5"
"reslab","reslab","48"
"flowcoregrp","Flowcore Group","7"
"MICRO","MICRO","136"
"$2006","$2006","0"
"CEI","CEI","31"
"CSC's","CSC's","21"
"$Resource Accounts","$Resource Accounts","7"
"$NS","$NS","24"
"$ISOMGMT","$ISOMGMT","4"
"RADONC","RADONC","21"
"Networking","Networking","11"
"HSC Ghost Admins","HSC Ghost Admins","1"
"$SOMHEMONC","$SOMHEMONC","28"
"HSC Windows Admins","HSC Windows Admins","1"
"Berrebi Lab Group","Berrebi Lab Group","1"
"$BMT","$BMT","1"
"As5300","As5300","12"
"webdev","webdev","3"
"HSC Learning Center Users","HSC Learning Center Users","5"
"$ENT","$ENT","Error Getting Group Count"
"ENT Grant Manager","ENT Grant Manager","8"
"$PEDS","$PEDS","Error Getting Group Count"
"ITS Management","ITS Management","2"
"ZFree Printer Admins","ZFree Printer Admins","12"
"Rheumatology","Rheumatology","9"
"$AHEC","$AHEC","5"
"$OBGYN","$OBGYN","119"
"$FACILMGMT","$FACILMGMT","12"
"$EDPROG","$EDPROG","11"
"Mathers Lab Group","Mathers Lab Group","0"
"$EAST_DIV","$EAST_DIV","99"
"$BEHM","$BEHM","310"
"$PRC","$PRC","19"
"Radiology TimeClock","Radiology TimeClock","5"
"$DPRH","$DPRH","25"
"$OS","$OS","31"
"$PD","$PD","18"
"HSC SPH PHDs","HSC  SPH PHDs","3"
"HSC CoumaCare Users","HSC CoumaCare Users","0"
"SOM MED Employee List","SOM MED Employee List","0"
"Physiology","Physiology","59"
"HSC UHS","HSC UHS","0"
"$CREM","$CREM","33"
"$DENTADMIN","$DENTADMIN","118"
"SSDB","SSDB","6"
"HSC Surgery Everyone","HSC Surgery Everyone","17"
"$BUSINESS","$BUSINESS","7"
"Spirou Lab Group","Spirou Lab Group","0"
"$ALUMNI","$ALUMNI","4"
"pharmcas","pharmcas","4"
"AEC","AEC","4"
"Endocrinology","Endocrinology","11"
"CRC","CRC","0"
"HSC SPH Faculty","HSC SPH Faculty","21"
"$BIRTHSCORE","$BIRTHSCORE","5"
"HSC SPH Staff","HSC SPH Staff","15"
"DPRH","DPRH","17"
"$RD","$RD","31"
"$DH","$DH","13"
"$CHSCHR","$CHSCHR","2"
"ESign","ESign","0"
"EDPROG","EDPROG","11"
"HEALRES","HEALRES","23"
"WVUH Web Access Group","WVUH Web Access Group","2503"
"NHLBI","NHLBI","0"
"ERAS-MedPeds","ERAS-MedPeds","4"
"$HPRR","$HPRR","54"
"Physical Therapy","Physical Therapy","19"
"obesity","obesity","0"
"NEUSUR","NEUSUR","82"
"LEGAL","LEGAL0","7"
"$CHSCSOM","$CHSCSOM","30"
"PA","PA","0"
"FACDEVEL","FACDEVEL","2"
"$CHSCMED","$CHSCMED","38"
"HSC Neurology Scan","HSC Neurology Scan","11"
"$BILLING","$BILLING","4"
"ccmd 712","ccmd 712","0"
"ANIMQ","ANIMQ","32"
"$RHEUM","$RHEUM","15"
"$LEGAL","$LEGAL","9"
"$OHSR","$OHSR","7"
"OHSR","OHSR","7"
"$HOUSESTAFF","$HOUSESTAFF","119"
"Geriatrics","Geriatrics","4"
"$SOMENDO","$SOMENDO","15"
"DEAN","DEAN","33"
"$HR","$HR","5"
"ICM","ICM","3"
"$OSResidents","$OSResidents","1"
"BIRTHSCORE","BIRTHSCORE","2"
"Radiology","Radiology","77"
"$PERIO","$PERIO","23"
"$HEALRES","$HEALRES","24"
"$RCB","$RCB","1"
"ITSWEB","ITSWEB","27"
"$NEUSUR","$NEUSUR","82"
"$NEURO","$NEURO","95"
"$OP","$OP","4"
"$IOEH","$IOEH","26"
"$INFDIS","$INFDIS","37"
"ERAS-Neph","ERAS-Neph","3"
"NEURO","NEURO","91"
"ALUMNI","ALUMNI0","5"
"$CHSCFAMMED","$CHSCFAMMED","32"
"Blueprints-RO","Blueprints-RO","5"
"Agmon Lab Group","Agmon Lab Group","2"
"pcol 761","pcol 761","12"
"$SOMDEAN0","$SOMDEAN0","40"
"database","database","2"
"Teleform Users","Teleform Users","3"
"$FELLOWS","$FELLOWS","1"
"$NEPH","$NEPH","30"
"$ANAT","$ANAT","20"
"$RADSAF","$RADSAF","11"
"$CHSCLIB","$CHSCLIB","3"
"$ICM","$ICM","4"
"$CHAR_DIV","$CHAR_DIV","10"
"HPRR","HPRR","47"
"CTN_0030","CTN_0030","6"
"Faculty","Faculty0","7"
"$RadTest","$RadTest","5"
"$PROSTHO","$PROSTHO","7"
"Question-Bank","Question-Bank","5"
"$ClinicalPharmacy","$ClinicalPharmacy","1"
"$GERI","$GERI","6"
"$DEVEL","$DEVEL","Error Getting Group Count"
"$PA","$PA","2"
"$NSA","$NSA","13"
"$LIB","$LIB","1"
"$EXERPHYS","$EXERPHYS","37"
"$MEDIA","$MEDIA","1"
"$CLIN","$CLIN","90"
"$ANIMQ","$ANIMQ","32"
"$CRC","$CRC","1"
"HSC SON StudentServices Database Read","HSC SON StudentServices Database Read","7"
"$PT","$PT","26"
"Infectious Disease","Infectious Disease","31"
"$WORKSTUDY","$WORKSTUDY","1"
"$CHSCSOP","$CHSCSOP","20"
"$DATASYS","$DATASYS","Error Getting Group Count"
"$BIOMED","$BIOMED","3"
"$EMMED","$EMMED","Error Getting Group Count"
"$WELLNESS","$WELLNESS","Error Getting Group Count"
"HSC Teaching Faculty","HSC Teaching Faculty","2"
"$CHSCOBGYN","$CHSCOBGYN","41"
