Date,ADComputerCount
2021-09-15-11-13,10796
2021-09-22-09-58,10808
"2021-09-22-11-19","10808"
"2021-09-22-13-05","10808"
"2021-09-22-13-50","10808"
"2021-09-22-16-11","10806"
"2021-09-22-23-39","10806"
"2021-09-23-10-38","10806"
"2021-09-23-23-40","10810"
"2021-09-24-23-41","10809"
"2021-09-25-23-41","10809"
"2021-09-26-23-41","10809"
"2021-09-27-23-41","10815"
"2021-09-28-23-40","10813"
"2021-09-29-12-07","10816"
"2021-09-29-16-35","10815"
"2021-09-29-23-48","10816"
"2021-09-30-23-48","10816"
"2021-10-01-11-08","10817"
"2021-10-01-11-44","10816"
"2021-10-01-23-49","10818"
"2021-10-02-23-49","10818"
"2021-10-03-23-48","10818"
"2021-10-04-23-49","10828"
"2021-10-05-23-49","10838"
"2021-10-06-11-46","10839"
"2021-10-06-13-15","10841"
"2021-10-06-23-48","10841"
"2021-10-07-23-48","10843"
"2021-10-08-23-48","10847"
"2021-10-09-23-51","10847"
"2021-10-10-23-47","10847"
"2021-10-11-23-48","10844"
"2021-10-12-23-51","10845"
"2021-10-13-23-49","10847"
"2021-10-14-23-48","10774"
"2021-10-15-23-47","10776"
"2021-10-16-23-48","10776"
"2021-10-17-23-48","10776"
"2021-10-18-23-49","10780"
"2021-10-19-23-48","10783"
"2021-10-20-23-49","10744"
"2021-10-21-23-47","10645"
"2021-10-22-23-48","10547"
"2021-10-23-23-50","10547"
"2021-10-24-23-49","10548"
"2021-10-25-23-49","10452"
"2021-10-26-23-49","10451"
"2021-10-27-23-47","10394"
"2021-10-28-23-47","10396"
"2021-10-29-23-47","10396"
"2021-10-30-23-52","10396"
"2021-10-31-23-48","10396"
"2021-11-01-23-49","10397"
"2021-11-02-23-47","10397"
"2021-11-03-23-47","10398"
"2021-11-04-23-46","10407"
"2021-11-05-23-47","10410"
"2021-11-06-23-58","10410"
"2021-11-07-23-46","10410"
"2021-11-08-23-53","10386"
"2021-11-10-23-49","10364"
"2021-11-11-23-47","10339"
"2021-11-12-23-47","10313"
"2021-11-13-23-48","10313"
"2021-11-14-23-50","10313"
"2021-11-16-23-47","10297"
"2021-12-01-10-38","10056"
