"DistinguishedName","GroupCategory","GroupScope","Members","Name","ObjectClass","ObjectGUID","SamAccountName","SID"
"CN=Network Configuration Operators,CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Network Configuration Operators","group","ee230d9b-098d-4a71-ad65-7ca8f404b920","Network Configuration Operators","S-1-5-32-556"
"CN=Performance Monitor Users,CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Performance Monitor Users","group","03b2e5b3-c83c-404b-a60c-50410b9c932d","Performance Monitor Users","S-1-5-32-558"
"CN=Domain Computers,CN=Users,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Domain Computers","group","735da827-6eb9-4b9f-9c0b-6392c32fe212","Domain Computers","S-1-5-21-865322659-4255640127-3857865232-515"
"CN=Domain Guests,CN=Users,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Domain Guests","group","f6dbeab0-790d-4800-b3a2-af9507824461","Domain Guests","S-1-5-21-865322659-4255640127-3857865232-514"
"CN=Cryptographic Operators,CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Cryptographic Operators","group","314e5729-936f-4e0d-b843-c7d55bd4cdff","Cryptographic Operators","S-1-5-32-569"
"CN=Allowed RODC Password Replication Group,CN=Users,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Allowed RODC Password Replication Group","group","d0cfe3f7-4472-4140-9a5f-f7a647ab2fc2","Allowed RODC Password Replication Group","S-1-5-21-865322659-4255640127-3857865232-571"
"CN=Performance Log Users,CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Performance Log Users","group","61a74adc-4976-4535-b1f2-234b829179e3","Performance Log Users","S-1-5-32-559"
"CN=IIS_IUSRS,CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","IIS_IUSRS","group","d0e21519-0002-4c43-a7b5-8359e2960c2a","IIS_IUSRS","S-1-5-32-568"
"CN=RDS Remote Access Servers,CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","RDS Remote Access Servers","group","1cf8b26e-7375-4680-a368-2077b28d2d89","RDS Remote Access Servers","S-1-5-32-575"
"CN=RDS Endpoint Servers,CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","RDS Endpoint Servers","group","a2af2366-5d32-4a07-9a96-0810694e1848","RDS Endpoint Servers","S-1-5-32-576"
"CN=RDS Management Servers,CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","RDS Management Servers","group","66731afc-3f2c-4bb8-a9d8-3156619423c2","RDS Management Servers","S-1-5-32-577"
"CN=Hyper-V Administrators,CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Hyper-V Administrators","group","d4568002-b6a3-4bf6-90fc-1a26383ff890","Hyper-V Administrators","S-1-5-32-578"
"CN=Cloneable Domain Controllers,CN=Users,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Cloneable Domain Controllers","group","4f67730e-f4ba-4d69-b553-ec52ab40eaeb","Cloneable Domain Controllers","S-1-5-21-865322659-4255640127-3857865232-522"
"CN=Access Control Assistance Operators,CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Access Control Assistance Operators","group","f0082ee1-7d95-4186-b890-b0c3ecdeabba","Access Control Assistance Operators","S-1-5-32-579"
"CN=Remote Management Users,CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Remote Management Users","group","7821631f-a20a-42bc-98af-8055756a21ad","Remote Management Users","S-1-5-32-580"
"CN=Protected Users,CN=Users,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Protected Users","group","8d445c7e-fe3b-474f-949a-9f5f1ac0a042","Protected Users","S-1-5-21-865322659-4255640127-3857865232-525"
"CN=Print Operators,CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Print Operators","group","281d7e1f-1445-4927-b46f-e52b04800915","Print Operators","S-1-5-32-550"
"CN=Replicator,CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Replicator","group","8363e1f5-ce0f-4e84-b528-9887dc72148f","Replicator","S-1-5-32-552"
"CN=Domain Controllers,CN=Users,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Domain Controllers","group","6bfbde63-e750-464a-9afa-6e23641e65c9","Domain Controllers","S-1-5-21-865322659-4255640127-3857865232-516"
"CN=Read-only Domain Controllers,CN=Users,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Read-only Domain Controllers","group","54e7aee1-207e-404f-94f5-b480a23ed7e8","Read-only Domain Controllers","S-1-5-21-865322659-4255640127-3857865232-521"
"CN=Domain Users,CN=Users,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Domain Users","group","378ec2ac-19fa-4ec8-82a9-64747e7ae5f5","Domain Users","S-1-5-21-865322659-4255640127-3857865232-513"
