"GroupName","GroupSamAccountName","GroupDescription","GroupCategory","GroupScope","GroupSID","SIDHIstory","GroupOU","GroupDN"
"Network Configuration Operators","Network Configuration Operators","Members in this group can have some administrative privileges to manage configuration of networking features","Security","DomainLocal","S-1-5-32-556","","CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Network Configuration Operators,CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Performance Monitor Users","Performance Monitor Users","Members of this group have remote access to monitor this computer","Security","DomainLocal","S-1-5-32-558","","CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Performance Monitor Users,CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Domain Computers","Domain Computers","All workstations and servers joined to the domain","Security","Global","S-1-5-21-865322659-4255640127-3857865232-515","","CN=Users,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Domain Computers,CN=Users,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Domain Guests","Domain Guests","All domain guests","Security","Global","S-1-5-21-865322659-4255640127-3857865232-514","","CN=Users,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Domain Guests,CN=Users,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Cryptographic Operators","Cryptographic Operators","Members are authorized to perform cryptographic operations.","Security","DomainLocal","S-1-5-32-569","","CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Cryptographic Operators,CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Allowed RODC Password Replication Group","Allowed RODC Password Replication Group","Members in this group can have their passwords replicated to all read-only domain controllers in the domain","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-571","","CN=Users,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Allowed RODC Password Replication Group,CN=Users,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Performance Log Users","Performance Log Users","Members of this group have remote access to schedule logging of performance counters on this computer","Security","DomainLocal","S-1-5-32-559","","CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Performance Log Users,CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"IIS_IUSRS","IIS_IUSRS","Built-in group used by Internet Information Services.","Security","DomainLocal","S-1-5-32-568","","CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=IIS_IUSRS,CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"RDS Remote Access Servers","RDS Remote Access Servers","Servers in this group enable users of RemoteApp programs and personal virtual desktops access to these resources. In Internet-facing deployments, these servers are typically deployed in an edge network. This group needs to be populated on servers running RD Connection Broker. RD Gateway servers and RD Web Access servers used in the deployment need to be in this group.","Security","DomainLocal","S-1-5-32-575","","CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=RDS Remote Access Servers,CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"RDS Endpoint Servers","RDS Endpoint Servers","Servers in this group run virtual machines and host sessions where users RemoteApp programs and personal virtual desktops run. This group needs to be populated on servers running RD Connection Broker. RD Session Host servers and RD Virtualization Host servers used in the deployment need to be in this group.","Security","DomainLocal","S-1-5-32-576","","CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=RDS Endpoint Servers,CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
