"RenderingMode","PrinterStatus","Type","DeviceType","Caption","Description","ElementName","InstanceID","CommunicationStatus","DetailedStatus","HealthState","InstallDate","Name","OperatingStatus","OperationalStatus","PrimaryStatus","Status","StatusDescriptions","BranchOfficeOfflineLogSizeMB","Comment","ComputerName","Datatype","DefaultJobPriority","DisableBranchOfficeLogging","DriverName","JobCount","KeepPrintedJobs","Location","PermissionSDDL","PortName","PrintProcessor","Priority","Published","SeparatorPageFile","Shared","ShareName","StartTime","UntilTime","WorkflowPolicy","PSComputerName","CimClass","CimInstanceProperties","CimSystemProperties"
,"Normal","Local","Print",,,,,,,,,"vp-xerox",,,,,,,"","HSPrint4","RAW","0",,"KONICA MINOLTA C652SeriesPS","0","False","",,"1168-minolta-c452","KOAZCA_P","1","False","","True","vp-xerox","60","60",,,"ROOT/StandardCimv2:MSFT_Printer","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
,"Error","Local","Print",,,,,,,,,"UTC2-FamMed-Admin",,,,,,,"","HSPrint4","RAW","0",,"RICOH MP C6004ex PCL 6","4","False","",,"172.16.172.78","winprint","1","False","","True","UTC2-FamMed-Admin","60","60",,,"ROOT/StandardCimv2:MSFT_Printer","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
,"Normal","Local","Print",,,,,,,,,"Ruby3-CL-Copier",,,,,,,"","HSPrint4","RAW","0",,"RICOH MP C4503 PCL 6","0","False","",,"172.17.58.10","winprint","1","False","","True","Ruby3-CL-Copier","60","60",,,"ROOT/StandardCimv2:MSFT_Printer","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
,"Normal","Local","Print",,,,,,,,,"ruby-224",,,,,,,"","HSPrint4","RAW","0",,"Lexmark Universal v2","0","False","",,"172.17.40.8","LMUD1O4C","1","False","","True","ruby-224","60","60",,,"ROOT/StandardCimv2:MSFT_Printer","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
,"Normal","Local","Print",,,,,,,,,"Microsoft XPS Document Writer",,,,,,,"","HSPrint4","RAW","0",,"Microsoft XPS Document Writer v4","0","False","",,"PORTPROMPT:","winprint","1","False","","False","","60","60",,,"ROOT/StandardCimv2:MSFT_Printer","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
,"Normal","Local","Print",,,,,,,,,"Microsoft Print to PDF",,,,,,,"","HSPrint4","RAW","0",,"Microsoft Print To PDF","0","False","",,"PORTPROMPT:","winprint","1","False","","False","","60","60",,,"ROOT/StandardCimv2:MSFT_Printer","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
,"Normal","Local","Print",,,,,,,,,"HSCG-Rad-Educ",,,,,,,"","HSPrint4","RAW","0",,"RICOH MP C4503 PCL 6","0","False","",,"172.17.4.77","winprint","1","False","","True","HSCG-Rad-Educ","60","60",,,"ROOT/StandardCimv2:MSFT_Printer","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
,"Normal","Local","Print",,,,,,,,,"HSCB-RadOn-GammaK",,,,,,,"","HSPrint4","RAW","0",,"RICOH SP 5300 PCL 6","0","False","",,"172.17.37.185","winprint","1","False","","True","HSCB-RadOn-GammaK","60","60",,,"ROOT/StandardCimv2:MSFT_Printer","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
,"Normal","Local","Print",,,,,,,,,"HSCB-RadOn-DosiCol",,,,,,,"","HSPrint4","RAW","0",,"RICOH PCL6 V4 UniversalDriver V2.6","0","False","",,"172.17.37.169","winprint","1","False","","True","HSCB-RadOn-DosiCol","0","0",,,"ROOT/StandardCimv2:MSFT_Printer","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
,"Error","Local","Print",,,,,,,,,"HSCB-RadOn-Copier",,,,,,,"","HSPrint4","RAW","0",,"RICOH MP C4503 PCL 6","5","False","",,"172.17.4.60","winprint","1","False","","True","HSCB-RadOn-Copier","60","60",,,"ROOT/StandardCimv2:MSFT_Printer","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
,"Normal","Local","Print",,,,,,,,,"HSCB-MRI-Front",,,,,,,"","HSPrint4","RAW","0",,"RICOH Aficio SP 5200DN PCL 6","0","False","",,"172.17.4.67","winprint","1","False","","True","HSCB-MRI-Front","60","60",,,"ROOT/StandardCimv2:MSFT_Printer","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
,"Normal","Local","Print",,,,,,,,,"HSC4-ENT-Rm2220B",,,,,,,"","HSPrint4","RAW","0",,"RICOH PCL6 V4 UniversalDriver V2.6","0","False","",,"10.3.0.43","winprint","1","False","","True","HSC4-ENT-Rm2220B","0","0",,,"ROOT/StandardCimv2:MSFT_Printer","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
,"Normal","Local","Print",,,,,,,,,"hsc-arc",,,,,,,"","HSPrint4","RAW","0",,"HP Universal Printing PCL 6","0","False","",,"hsc-arc","hpcpp160","1","False","","True","hsc-arc","60","60",,,"ROOT/StandardCimv2:MSFT_Printer","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
,"Normal","Local","Print",,,,,,,,,"hs-ruby-eye",,,,,,,"","HSPrint4","RAW","0",,"Lexmark Universal v2","0","False","",,"172.17.40.26","LMUD1O4C","1","False","","True","hs-ruby-eye","60","60",,,"ROOT/StandardCimv2:MSFT_Printer","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
,"Normal","Local","Print",,,,,,,,,"hs-g174",,,,,,,"","HSPrint4","RAW","0",,"HP Universal Printing PCL 6","0","False","",,"g174-hpljcm1415","hpcpp160","1","False","","True","hs-g174","60","60",,,"ROOT/StandardCimv2:MSFT_Printer","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
,"Normal","Local","Print",,,,,,,,,"hs-g111",,,,,,,"","HSPrint4","RAW","0",,"HP Universal Printing PCL 6","0","False","",,"hs-g111","hpcpp160","1","False","","True","hs-g111","60","60",,,"ROOT/StandardCimv2:MSFT_Printer","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
,"Normal","Local","Print",,,,,,,,,"hs-eye224",,,,,,,"","HSPrint4","RAW","0",,"Lexmark Universal v2","0","False","",,"172.17.40.8","LMUD1O4C","1","False","","True","hs-eye224","60","60",,,"ROOT/StandardCimv2:MSFT_Printer","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
