"SecurityGroupName","whenCreated","whenChanged","SamAccountName","distinguishedName"
"1256-xerox255 Group","9/3/2008 3:02:52 PM","2/18/2021 9:28:56 AM","1256-xerox255 Group","CN=1256-xerox255 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"g252-minolta-223","7/24/2018 1:44:31 PM","6/25/2021 2:22:25 PM","g252-minolta-223","CN=g252-minolta-223,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"G16-hplj2480 Group","4/8/2008 2:19:06 PM","2/18/2021 9:28:57 AM","G16-hplj2480 Group","CN=G16-hplj2480 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"4612-ob-hp3800 Group","9/3/2008 3:02:53 PM","2/18/2021 9:28:56 AM","4612-ob-hp3800","CN=4612-ob-hp3800 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"4305-Ricohc4503","4/10/2014 2:22:24 PM","10/29/2021 2:57:56 PM","4305-Ricohc4503","CN=4305-Ricohc4503,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"3123-bizhub350","5/23/2011 10:25:15 AM","3/2/2021 1:13:35 PM","3123-bizhub350","CN=3123-bizhub350,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"annex-208a-hp2600n Group","3/6/2020 9:20:37 AM","2/18/2021 9:28:57 AM","annex-208a-hp2600n Group","CN=annex-208a-hp2600n Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"4041-ricoh Group","9/3/2008 3:02:53 PM","2/18/2021 9:28:56 AM","4041-ricoh","CN=4041-ricoh Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"g213-hpljp1606dn Group","5/22/2012 9:04:54 AM","10/20/2021 1:42:50 PM","g213-hpljp1606dn Group","CN=g213-hpljp1606dn Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"1157-HP4050 Group","9/3/2008 3:02:52 PM","2/18/2021 9:28:56 AM","1157-HP4050","CN=1157-HP4050 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"2200-hp2035n","9/1/2011 8:28:27 AM","2/18/2021 9:28:56 AM","2200-hp2035n","CN=2200-hp2035n,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"erma112-hplj200 Group","6/9/2014 3:12:55 PM","2/18/2021 9:28:57 AM","erma112-hplj200 Group","CN=erma112-hplj200 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"1168-hp9130","5/3/2010 9:41:22 AM","2/18/2021 9:28:56 AM","1168-hp9130","CN=1168-hp9130,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"rni1-minolta-c368 Group","5/2/2017 9:17:13 AM","11/16/2021 2:58:53 PM","rni1-minolta-c368 Group","CN=rni1-minolta-c368 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"1256-minoltac224e Group","8/30/2013 10:29:27 AM","11/16/2021 1:39:53 PM","1256-minoltac224e Group","CN=1256-minoltac224e Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"lc-color Group","11/5/2009 10:41:43 AM","2/18/2021 9:28:57 AM","lc-color Group","CN=lc-color Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"1136c-minolta-c258 Group","4/26/2016 2:30:12 PM","2/18/2021 9:28:56 AM","1136c-minolta-c258 Group","CN=1136c-minolta-c258 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"3014-minolta420 Group","4/18/2012 11:28:33 AM","2/18/2021 9:28:56 AM","3014-minolta420 Group","CN=3014-minolta420 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"rni-1N230-minolta-c224e Group","8/11/2020 12:19:21 PM","11/18/2021 2:45:26 PM","rni-1N230-minolta-c224e Group","CN=rni-1N230-minolta-c224e Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"1144-hpcp4025 Group","7/11/2014 3:21:11 PM","2/18/2021 9:28:56 AM","1144-hpcp4025 Group","CN=1144-hpcp4025 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"4082-minolta-c3100p Group","9/15/2020 2:10:57 PM","7/6/2021 10:04:34 AM","4082-minolta-c3100p Group","CN=4082-minolta-c3100p Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"4052-minolta Group","9/3/2008 3:02:53 PM","2/18/2021 9:28:56 AM","4052-minolta","CN=4052-minolta Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"4055-minolta-c258 Group","11/29/2017 8:51:13 AM","9/21/2021 8:44:13 AM","4055-minolta-c258 Group","CN=4055-minolta-c258 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"g176-hpljpM426fdn Group","6/22/2012 3:01:48 PM","11/17/2021 10:36:06 AM","g176-hpljpM426fdn Group","CN=g176-hpljpM426fdn Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"4086-hplj2015 Group","9/3/2008 3:02:53 PM","2/18/2021 9:28:56 AM","4086-hplj2015","CN=4086-hplj2015 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"g214-hpljp255dn Group","9/6/2018 12:50:38 PM","11/1/2021 12:59:35 PM","g214-hpljp255dn Group","CN=g214-hpljp255dn Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"erma325-ricoh Group","9/13/2010 12:28:15 PM","2/18/2021 9:28:57 AM","erma325-ricoh Group","CN=erma325-ricoh Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"peds_4637_hplj4 Group","5/12/2009 2:35:13 PM","2/18/2021 9:28:57 AM","peds_4637_hplj4 Group","CN=peds_4637_hplj4 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"g280a-minoltac25 Group","10/18/2012 2:55:21 PM","2/18/2021 9:28:57 AM","g280a-minoltac25 Group","CN=g280a-minoltac25 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"H-NDC-DR-RM107-PTR Group","7/16/2020 12:22:24 PM","2/18/2021 9:28:57 AM","H-NDC-DR-RM107-PTR Group","CN=H-NDC-DR-RM107-PTR Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"3004-bro4070 Group","9/3/2008 3:02:52 PM","2/18/2021 9:28:56 AM","3004-bro4070","CN=3004-bro4070 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"4626-minolta-223 Group","3/2/2021 10:28:16 AM","10/6/2021 10:19:59 AM","4626-minolta-223 Group","CN=4626-minolta-223 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"G249-hp6480 Group","9/19/2008 11:37:52 AM","2/18/2021 9:28:57 AM","G249-hp6480 Group","CN=G249-hp6480 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"3603-lexmarkx792 group","7/1/2014 1:18:21 PM","2/18/2021 9:28:56 AM","3603-lexmarkx792 group","CN=3603-lexmarkx792 group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"2278-hp4240 gROUP","8/5/2010 10:24:38 AM","2/18/2021 9:28:56 AM","2278-hp4240 gROUP","CN=2278-hp4240 gROUP,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"g135-hplj4240 Group","9/3/2008 3:02:53 PM","2/18/2021 9:28:57 AM","g135-hplj4240","CN=g135-hplj4240 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"g270-hp4005-aa06 Group","2/12/2009 3:08:21 PM","8/10/2021 7:38:45 AM","g270-hp4005-aa06 Group","CN=g270-hp4005-aa06 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"4099-hppro8600 Group","10/25/2013 11:26:03 AM","2/18/2021 9:28:56 AM","4099-hppro8600 Group","CN=4099-hppro8600 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"8707h-minolta-c3110 Group","4/28/2016 6:49:54 AM","2/18/2021 9:28:57 AM","8707h-minolta-c3110 Group","CN=8707h-minolta-c3110 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"erma-370-minolta-c3110 Group","4/5/2018 8:44:38 AM","10/20/2021 1:44:28 PM","erma-370-minolta-c3110 Group","CN=erma-370-minolta-c3110 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"4305-Ricohc4503-DL","5/12/2014 1:22:48 PM","9/7/2021 1:06:11 PM","4305-Ricohc4503-DL","CN=4305-Ricohc4503-DL,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"1137a-minolta Group","9/3/2008 3:02:52 PM","2/18/2021 9:28:56 AM","1137a-minolta","CN=1137a-minolta Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"8707-minolta-c368 Group","7/24/2018 12:07:54 PM","11/1/2021 9:59:22 AM","8707-minolta-c368 Group","CN=8707-minolta-c368 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"2350-HP2400 Group","9/3/2008 3:02:52 PM","2/18/2021 9:28:56 AM","2350-HP2400","CN=2350-HP2400 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"4411-minolta-c258 Group","9/6/2018 1:18:37 PM","11/29/2021 8:16:03 AM","4411-minolta-c258 Group","CN=4411-minolta-c258 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"g111-minolta-c3110 Group","5/29/2019 3:55:58 PM","2/23/2021 8:36:48 AM","g111-minolta-c3110 Group","CN=g111-minolta-c3110 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"4500-hp4100 Group","9/30/2008 4:18:27 PM","2/18/2021 9:28:56 AM","4500-hp4100 Group","CN=4500-hp4100 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"g281-hp2840","8/15/2011 11:34:03 AM","2/18/2021 9:28:57 AM","g281-hp2840","CN=g281-hp2840,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"2306-hpljp1606dn","4/4/2012 10:54:23 AM","2/18/2021 9:28:56 AM","2306-hpljp1606dn","CN=2306-hpljp1606dn,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"1265-minolta-c364 Group","6/14/2018 2:58:25 PM","9/13/2021 3:18:39 PM","1265-minolta-c364 Group","CN=1265-minolta-c364 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"erma116-hpm451nw Group","3/26/2021 9:25:17 AM","8/31/2021 9:11:45 AM","erma116-hpm451nw Group","CN=erma116-hpm451nw Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"3040-hp1020 Group","9/3/2008 3:02:52 PM","2/18/2021 9:28:56 AM","3040-hp1020","CN=3040-hp1020 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"8707c-minolta-c3110 Group","3/20/2017 10:25:10 AM","2/18/2021 9:28:57 AM","8707c-minolta-c3110 Group","CN=8707c-minolta-c3110 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"g181b-hp800 Group","9/3/2008 3:02:54 PM","2/18/2021 9:28:57 AM","g181b-hp800","CN=g181b-hp800 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"3040-hp4100 Group","8/4/2010 4:38:24 PM","2/18/2021 9:28:56 AM","3040-hp4100 Group","CN=3040-hp4100 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"3066-dell-1320 Group","5/7/2009 3:54:02 PM","2/18/2021 9:28:56 AM","3066-dell-1320 Group","CN=3066-dell-1320 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"G350-brother-9340cdw Group","5/7/2010 3:22:18 PM","2/18/2021 9:28:57 AM","G350-brother-9340cdw Group","CN=G350-brother-9340cdw Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"4403-hp3005 Group","5/7/2009 3:55:12 PM","9/21/2021 2:38:28 PM","4403-hp3005 Group","CN=4403-hp3005 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"B040-HP5000 Group","9/3/2008 3:02:53 PM","2/18/2021 9:28:57 AM","B040-HP5000","CN=B040-HP5000 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
