"Name","Enabled","DistinguishedName","OperatingSystemName"
"KONDRLA","True","CN=KONDRLA,OU=Networking,OU=ITS,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"CWVUHWNGRY1","True","CN=CWVUHWNGRY1,OU=CHSC,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"MHB-WIN2GO","True","CN=MHB-WIN2GO,OU=Support,OU=ITS,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"RDTP-CMMFVZ1","True","CN=RDTP-CMMFVZ1,OU=RDTP,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"SOM-WL-VM8","True","CN=SOM-WL-VM8,OU=SOM,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"ALKHOURIPC","True","CN=ALKHOURIPC,OU=MBRCC,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"DELLIOTT-WIN8","True","CN=DELLIOTT-WIN8,OU=CHSC,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"YOGA-MASTER8","True","CN=YOGA-MASTER8,OU=Other Computers,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSCSURG996F8","True","CN=HSCSURG996F8,OU=Surgery,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSBRAHAM","True","CN=HSBRAHAM,OU=Helpdesk,OU=ITS,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"sod-cahall","True","CN=sod-cahall,OU=SPH Laptops,OU=SPH,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"ROCOOK-OLAR","True","CN=ROCOOK-OLAR,OU=Animal Quarters,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSMED35C3","True","CN=HSMED35C3,OU=Med,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HS-GALENTINE-LT","False","CN=HS-GALENTINE-LT,OU=SPH Laptops,OU=SPH,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSPEDS8171","True","CN=HSPEDS8171,OU=Pediatrics,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSTAC37E1","True","CN=HSTAC37E1,OU=HSTA,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HS-SPH-MLLINDSA","True","CN=HS-SPH-MLLINDSA,OU=SPH Laptops,OU=SPH,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"JPARK-LPTP","True","CN=JPARK-LPTP,OU=MBRCC,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HS-SPH-RMFRIEND","True","CN=HS-SPH-RMFRIEND,OU=SPH Laptops,OU=SPH,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"MbrccCtru81","True","CN=MbrccCtru81,OU=MBRCC,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"sph-faculty8","True","CN=sph-faculty8,OU=SPH Laptops,OU=SPH,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSSPHLOANCPAWL","True","CN=HSSPHLOANCPAWL,OU=SPH Laptops,OU=SPH,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HS-SPH-LEADKINS","True","CN=HS-SPH-LEADKINS,OU=SPH Laptops,OU=SPH,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"MbrccDept2","True","CN=MbrccDept2,OU=MBRCC,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"sph-faculty12","True","CN=sph-faculty12,OU=SPH Laptops,OU=SPH,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"CWVUC6005RZ8","True","CN=CWVUC6005RZ8,OU=CHSC,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"OLDMAN","True","CN=OLDMAN,OU=MBRCC,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"WL-MONITOR","True","CN=WL-MONITOR,OU=Other Computers,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
