"SamAccountName","SourceOU","TargetOU"
"Micro Teaching Lab Group","HSC/BASSCI/MICRO","HS Users/HSC/BASSCI/MICRO"
"$MICRO","HSC/BASSCI/MICRO","HS Users/HSC/BASSCI/MICRO"
"Eubank Lab Group","HSC/BASSCI/MICRO","HS Users/HSC/BASSCI/MICRO"
"5615-hpjlp-2015 Group","HSC/BASSCI/MICRO","HS Users/HSC/BASSCI/MICRO"
"Lukomski Shared","HSC/BASSCI/MICRO","HS Users/HSC/BASSCI/MICRO"
"2056-minolta-c3100p Group","HSC/BASSCI/MICRO","HS Users/HSC/BASSCI/MICRO"
"2095-minoltac452 Group","HSC/BASSCI/MICRO","HS Users/HSC/BASSCI/MICRO"
"MICRO","HSC/BASSCI","HS Users/HSC/BASSCI"
"Micro-Barnett Lab","HSC/BASSCI/MICRO","HS Users/HSC/BASSCI/MICRO"
"Cu-PLA Project","HSC/BASSCI/MICRO","HS Users/HSC/BASSCI/MICRO"
"2079-minolta-c3100p group","HSC/BASSCI/MICRO","HS Users/HSC/BASSCI/MICRO"
"Klinke Lab Share","HSC/BASSCI/MICRO","HS Users/HSC/BASSCI/MICRO"
"Meares Lab Group","HSC/BASSCI/MICRO","HS Users/HSC/BASSCI/MICRO"
"2072-minolta-c3110 Group","HSC/BASSCI/MICRO","HS Users/HSC/BASSCI/MICRO"
"Micro P&T Committee RW Group","HSC/BASSCI/MICRO","HS Users/HSC/BASSCI/MICRO"
"Schafer-Franko Lab","HSC/BASSCI/MICRO","HS Users/HSC/BASSCI/MICRO"
"Micro-WanLab","HSC/BASSCI/MICRO","HS Users/HSC/BASSCI/MICRO"
"Robinson Lab RW","HSC/BASSCI/MICRO","HS Users/HSC/BASSCI/MICRO"
"Brown-Share Group","HSC/BASSCI/MICRO","HS Users/HSC/BASSCI/MICRO"
"2085-bizhub4700p Group","HSC/BASSCI/MICRO","HS Users/HSC/BASSCI/MICRO"
"erma108-hplj-m252dw Group","HSC/BASSCI/MICRO","HS Users/HSC/BASSCI/MICRO"
"Microbiology Share Traverse Group","HSC/BASSCI/MICRO","HS Users/HSC/BASSCI/MICRO"
"Dr. Dey Lab","HSC/BASSCI/ANAT","HS Users/HSC/BASSCI/ANAT"
"4052-minolta-c224e Group","HSC/BASSCI/ANAT","HS Users/HSC/BASSCI/ANAT"
"Dr. Tucker Lab","HSC/BASSCI/ANAT","HS Users/HSC/BASSCI/ANAT"
"$ANAT","HSC/BASSCI/ANAT","HS Users/HSC/BASSCI/ANAT"
"Dr. Agmon Lab","HSC/BASSCI/ANAT","HS Users/HSC/BASSCI/ANAT"
"HSC Anatomy Research RW","HSC/BASSCI/ANAT","HS Users/HSC/BASSCI/ANAT"
"Dr. Salm Lab","HSC/BASSCI/ANAT","HS Users/HSC/BASSCI/ANAT"
"Dr. Konat Lab","HSC/BASSCI/ANAT","HS Users/HSC/BASSCI/ANAT"
"Dr. Weed Lab","HSC/BASSCI/ANAT","HS Users/HSC/BASSCI/ANAT"
"Anat Share Traverse Group","HSC/BASSCI/ANAT","HS Users/HSC/BASSCI/ANAT"
"HSC Anatomy Research RO","HSC/BASSCI/ANAT","HS Users/HSC/BASSCI/ANAT"
"HSC Anatomy Research WO","HSC/BASSCI/ANAT","HS Users/HSC/BASSCI/ANAT"
