"SamAccountName","SourceOU","TargetOU"
"Windows Hello for Business Group","HSC","HS Users/HSC"
"Microbiology Budget Group","HSC/BASSCI/MICRO","HS Users/HSC/BASSCI/MICRO"
"Micro 2050 and 2052 lab RW Group","HSC/BASSCI/MICRO","HS Users/HSC/BASSCI/MICRO"
"IMMB Group","HSC/BASSCI/MICRO","HS Users/HSC/BASSCI/MICRO"
"Micro 2050 lab RW Group","HSC/BASSCI/MICRO","HS Users/HSC/BASSCI/MICRO"
"Flowcore Group","HSC/BASSCI/MICRO/flowcoregrp","HS Users/HSC/BASSCI/MICRO/flowcoregrp"
"John Barnett Shared Files Group","HSC/BASSCI/MICRO","HS Users/HSC/BASSCI/MICRO"
"INBRE Share Group","HSC/BASSCI/MICRO","HS Users/HSC/BASSCI/MICRO"
"Microbiology Sharepoint Owners","HSC/BASSCI/MICRO","HS Users/HSC/BASSCI/MICRO"
"IMMB Teaching Materials RW Group","HSC/BASSCI/MICRO","HS Users/HSC/BASSCI/MICRO"
"MicroTeaching","HSC/BASSCI/MICRO","HS Users/HSC/BASSCI/MICRO"
"Micro IMMB Class data","HSC/BASSCI/MICRO","HS Users/HSC/BASSCI/MICRO"
"Anatomy","HSC/BASSCI/ANAT","HS Users/HSC/BASSCI/ANAT"
"HSC Anatomy","HSC/BASSCI/ANAT","HS Users/HSC/BASSCI/ANAT"
"HSC Anatomy Gross Lab Group","HSC/BASSCI/ANAT","HS Users/HSC/BASSCI/ANAT"
"Human Gift Registry","HSC/BASSCI/ANAT","HS Users/HSC/BASSCI/ANAT"
"4014-minolta-c3110 Group","HSC/BASSCI/ANAT","HS Users/HSC/BASSCI/ANAT"
"HS Stoilov Research Group","HSC/BASSCI/BIOCHEM","HS Users/HSC/BASSCI/BIOCHEM"
"Biochem CSC Group","HSC/BASSCI/BIOCHEM","HS Users/HSC/BASSCI/BIOCHEM"
"Erma2-minolta-c3110 Group","HSC/BASSCI/BIOCHEM","HS Users/HSC/BASSCI/BIOCHEM"
"Biochem P-card Group","HSC/BASSCI/BIOCHEM","HS Users/HSC/BASSCI/BIOCHEM"
"Stoilov Lab Group","HSC/BASSCI/BIOCHEM","HS Users/HSC/BASSCI/BIOCHEM"
"UHAandFoundation Share Group","HSC/BASSCI/BIOCHEM","HS Users/HSC/BASSCI/BIOCHEM"
"Hillgartner Lab Group","HSC/BASSCI/BIOCHEM","HS Users/HSC/BASSCI/BIOCHEM"
"Biochem Protein Core Group","HSC/BASSCI/BIOCHEM","HS Users/HSC/BASSCI/BIOCHEM"
"Biochem Shared Equipment Group","HSC/BASSCI/BIOCHEM","HS Users/HSC/BASSCI/BIOCHEM"
"Ivanov Lab Group","HSC/BASSCI/BIOCHEM","HS Users/HSC/BASSCI/BIOCHEM"
"Biochem Faculty Promotion and Tenure Group","HSC/BASSCI/BIOCHEM","HS Users/HSC/BASSCI/BIOCHEM"
"Konat Lab Group","HSC/BASSCI/BIOCHEM","HS Users/HSC/BASSCI/BIOCHEM"
"Agazie Lab Share Group","HSC/BASSCI/BIOCHEM","HS Users/HSC/BASSCI/BIOCHEM"
"Biochem Intune Users","HSC/BASSCI/BIOCHEM","HS Users/HSC/BASSCI/BIOCHEM"
"Biochem PT 20-21 File Share Group","HSC/BASSCI/BIOCHEM","HS Users/HSC/BASSCI/BIOCHEM"
"Agazie Lab Group","HSC/BASSCI/BIOCHEM","HS Users/HSC/BASSCI/BIOCHEM"
"Seftor Lab Group","HSC/BASSCI/BIOCHEM","HS Users/HSC/BASSCI/BIOCHEM"
"Biochem Payroll group","HSC/BASSCI/BIOCHEM","HS Users/HSC/BASSCI/BIOCHEM"
"Biochem Office Admin","HSC/BASSCI/BIOCHEM","HS Users/HSC/BASSCI/BIOCHEM"
"Liu Lab Group","HSC/BASSCI/BIOCHEM","HS Users/HSC/BASSCI/BIOCHEM"
"Rajendran Lab Group","HSC/BASSCI/BIOCHEM","HS Users/HSC/BASSCI/BIOCHEM"
"Ruppert Lab Group","HSC/BASSCI/BIOCHEM","HS Users/HSC/BASSCI/BIOCHEM"
"Choi Lab Group","HSC/BASSCI/BIOCHEM","HS Users/HSC/BASSCI/BIOCHEM"
"Biochem Director and Admin Group","HSC/BASSCI/BIOCHEM","HS Users/HSC/BASSCI/BIOCHEM"
"Khramtsov Lab Group","HSC/BASSCI/BIOCHEM","HS Users/HSC/BASSCI/BIOCHEM"
"Gunther Lab Group","HSC/BASSCI/BIOCHEM","HS Users/HSC/BASSCI/BIOCHEM"
"Webb Lab Group","HSC/BASSCI/BIOCHEM","HS Users/HSC/BASSCI/BIOCHEM"
"Frisch Lab Group","HSC/BASSCI/BIOCHEM","HS Users/HSC/BASSCI/BIOCHEM"
"BBRC2 Group","HSC/BASSCI","HS Users/HSC/BASSCI"
"Physio Administration Share","HSC/BASSCI/PHYSIO/physio administration share","HS Users/HSC/BASSCI/PHYSIO/physio administration share"
"Physio Grant","HSC/BASSCI/PHYSIO","HS Users/HSC/BASSCI/PHYSIO"
"HSC SNRCData","HSC/BASSCI/PHYSIO","HS Users/HSC/BASSCI/PHYSIO"
"Term Faculty Full","HSC/BASSCI/PHYSIO","HS Users/HSC/BASSCI/PHYSIO"
