"SamAccountName","SourceOU","TargetOU"
"Micro Grad Students","HSC/BASSCI/MICRO","HS Users/HSC/BASSCI/MICRO"
"Damron-Barbier Lab","HSC/BASSCI/MICRO","HS Users/HSC/BASSCI/MICRO"
"2095-minolta-c3100p Group","HSC/BASSCI/MICRO","HS Users/HSC/BASSCI/MICRO"
"BIOC","HSC/BASSCIHEM","HS Users/HSC/BASSCIHEM"
"Anderson Lab Share Group","HSC/BASSCI/PHYSIO","HS Users/HSC/BASSCI/PHYSIO"
"Yulab","HSC/BASSCI/PHYSIO","HS Users/HSC/BASSCI/PHYSIO"
"Phe Lab Users","HSC/BASSCI/PHYSIO","HS Users/HSC/BASSCI/PHYSIO"
"NurkiewiczLab Share Group","HSC/BASSCI/PHYSIO","HS Users/HSC/BASSCI/PHYSIO"
"2244-MinoltaC364 Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"g140-hplj-m452dn Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"5303-hp8100 Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"Helpdesk-Printer Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"1144-hpcp4025 Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"6400-minolta-654 Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"HDPrinter","HSC/Printer Groups Group","HS Users/HSC/Printer Groups Group"
"2356-hplj4015","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"erma2-minolta-4700p Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"202-hpp2005dn Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"StudentAff-Role WellWVU Health Staff","HSC/WellWVU/Health","HS Users/HSC/WellWVU/Health"
"StudentAff-Role WellWVU Mental Health Staff","HSC/WellWVU/Mental Health","HS Users/HSC/WellWVU/Mental Health"
"SPH BIOS Share Group","HSC/SPH","HS Users/HSC/SPH"
"HSC SPH Students","HSC/SPH","HS Users/HSC/SPH"
"SPH Grad Student Services","HSC/SPH","HS Users/HSC/SPH"
"HSC SPH Gsmith VDI Group","HSC/SPH","HS Users/HSC/SPH"
"HSC SPH Bmhendricks Research Group","HSC/SPH","HS Users/HSC/SPH"
"EXERPHYS HPL Share Group","HSC/SOM/EXERPHYS","HS Users/HSC/SOM/EXERPHYS"
"Communications Sciences and Disorders","HSC/SOM/CSAD","HS Users/HSC/SOM/CSAD"
"HSRS","HSC/SOM/ENT","HS Users/HSC/SOM/ENT"
"HSC Surgery Residents","HSC/SOM/SURG","HS Users/HSC/SOM/SURG"
"g281a-bizhub350","HSC/SOM/UHS","HS Users/HSC/SOM/UHS"
"g281-bizhubc25 Group","HSC/SOM/UHS","HS Users/HSC/SOM/UHS"
"HSORTHO3320 Restricted Logon Group","HSC/SOM/ORTHO","HS Users/HSC/SOM/ORTHO"
"HSORTHO0F8A Restricted Logon Group","HSC/SOM/ORTHO","HS Users/HSC/SOM/ORTHO"
"studentservicesro","HSC/SON","HS Users/HSC/SON"
"studentservicesfull","HSC/SON","HS Users/HSC/SON"
"Nolan Database Remote Access","HSC/SON","HS Users/HSC/SON"
"MBRCC eNews Editors","HSC/MBRCC/MBRCC Group/MBRCC Administrative","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Administrative"
"MIF Lab PC","HSC/MBRCC/MBRCC Group/MBRCC MIF","HS Users/HSC/MBRCC/MBRCC Group/MBRCC MIF"
"MIF Lab Users","HSC/MBRCC/MBRCC Group/MBRCC MIF","HS Users/HSC/MBRCC/MBRCC Group/MBRCC MIF"
"MIF-AMIF Share Traverse","HSC/MBRCC/MBRCC Group/MBRCC MIF","HS Users/HSC/MBRCC/MBRCC Group/MBRCC MIF"
"MBRCC MIF Admin","HSC/MBRCC/MBRCC Group/MBRCC MIF","HS Users/HSC/MBRCC/MBRCC Group/MBRCC MIF"
"MBRCC AMIF Admin","HSC/MBRCC/MBRCC Group/MBRCC MIF","HS Users/HSC/MBRCC/MBRCC Group/MBRCC MIF"
"Ruppert Lab","HSC/MBRCC/MBRCC Group/MBRCC Labs/Ruppert lab","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Labs/Ruppert lab"
"Davis lab","HSC/MBRCC/MBRCC Group/MBRCC Labs","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Labs"
"Petros lab","HSC/MBRCC/MBRCC Group/MBRCC Labs","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Labs"
"YU Lab","HSC/MBRCC/MBRCC Group/MBRCC Labs","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Labs"
"Frisch lab","HSC/MBRCC/MBRCC Group/MBRCC Labs","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Labs"
"Pugacheva lab","HSC/MBRCC/MBRCC Group/MBRCC Labs","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Labs"
"Basuda Lab","HSC/MBRCC/MBRCC Group/MBRCC Labs","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Labs"
"Ivanov lab","HSC/MBRCC/MBRCC Group/MBRCC Labs","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Labs"
"Kelly Lab","HSC/MBRCC/MBRCC Group/MBRCC Labs","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Labs"
"Weed lab","HSC/MBRCC/MBRCC Group/MBRCC Labs","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Labs"
"Klinke Lab","HSC/MBRCC/MBRCC Group/MBRCC Labs","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Labs"
"Cifarelli Lab","HSC/MBRCC/MBRCC Group/MBRCC Labs","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Labs"
"Ma Lab","HSC/MBRCC/MBRCC Group/MBRCC Labs","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Labs"
"Bey Lab","HSC/MBRCC/MBRCC Group/MBRCC Labs","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Labs"
"Liu Lab","HSC/MBRCC/MBRCC Group/MBRCC Labs","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Labs"
"Lockman Lab","HSC/MBRCC/MBRCC Group/MBRCC Labs","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Labs"
"Lindsey Lab","HSC/MBRCC/MBRCC Group/MBRCC Labs","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Labs"
"Guo lab","HSC/MBRCC/MBRCC Group/MBRCC Labs","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Labs"
"Gibson lab","HSC/MBRCC/MBRCC Group/MBRCC Labs","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Labs"
