"ComputerNameFromFile","Name","Description","LastBadPasswordAttempt","LastLogonDate","OperatingSystem","OperatingSystemVersion"
"WVUHS\H51195","H51195","HSC (Keith Mullins)",,"7/9/2021 2:16:56 PM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H72978","H72978","HSC PET Office",,"7/4/2021 1:54:18 PM","Windows 10 Enterprise","10.0 (19042)"
"WVUHS\H68492","H68492",,,"7/13/2021 6:06:10 AM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H73854","H73854","HSC PET Office",,"7/4/2021 8:23:38 AM","Windows 10 Enterprise","10.0 (19042)"
"WVUHS\H56414","H56414","M93, clinical, MRI",,"7/10/2021 3:56:04 PM","Windows 10 Enterprise","10.0 (17763)"
"WVUHS\H68493","H68493",,,"7/5/2021 4:26:20 PM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H68491","H68491",,,"7/11/2021 6:01:42 AM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H69886","H69886","STOCK",,"7/8/2021 1:30:21 PM","Windows 10 Enterprise","10.0 (18363)"
"WVUH\H60005","H60005","HSC - Wellness - Ground Floor - Room 278",,,"Windows 10 Enterprise","10.0 (16299)"
"WVUHS\H58983","H58983",,,"7/5/2021 1:06:51 PM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H56957","H56957",,,"7/12/2021 7:52:47 PM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H63862","H63862","HSC 5th Floor Suite 5304","5/24/2021 7:55:46 AM","7/12/2021 8:02:04 AM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H73853","H73853","HSC MRI",,"7/7/2021 4:08:49 PM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H72523","H72523",,"6/30/2021 8:26:20 AM","7/11/2021 5:59:22 AM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H74493","H74493",,,"7/11/2021 2:35:30 AM","Windows 10 Enterprise","10.0 (17763)"
"WVUH\H55249","H55249",,,"7/12/2021 1:18:03 AM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H52900","H52900","HSC Radiology MRI Front Desk",,"7/9/2021 2:33:57 AM","Windows 10 Enterprise","10.0 (18363)"
"WVUH\H55247","H55247",,,"7/9/2021 7:35:49 AM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H79830","H79830",,,"7/7/2021 8:15:05 PM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H73857","H73857","HSC MRI","4/7/2021 10:38:09 AM","7/5/2021 4:03:05 PM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H63328","H63328","Breast Care Center",,"7/8/2021 10:45:59 AM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H51705","H51705",,,"7/10/2021 7:02:20 PM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H74122","H74122","HSC Fam Med","7/12/2021 3:00:53 AM","7/8/2021 2:00:42 PM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H67304","H67304",,,"7/12/2021 5:00:35 PM","Windows 10 Enterprise","10.0 (16299)"
"WVUHS\H59403","H59403","Ruby Radiology Office - Rm 3D95",,"7/5/2021 9:02:18 AM","Windows 10 Enterprise","10.0 (17763)"
"WVUHS\H74102","H74102","HSC Fam Med",,"7/13/2021 9:44:07 PM","Windows 10 Enterprise","10.0 (17763)"
"WVUHS\H74093","H74093","HSC Fam Med",,"7/7/2021 3:26:11 AM","Windows 10 Enterprise","10.0 (17763)"
"WVUHS\H74037","H74037","HSC Fam Med",,"7/14/2021 1:01:44 AM","Windows 10 Enterprise","10.0 (17763)"
"WVUH\H62998","H62998",,"11/23/2020 8:36:03 AM","7/7/2021 12:31:10 AM","Windows 10 Enterprise","10.0 (19042)"
"WVUHS\WVUSCD660","WVUSCD660",,,"7/7/2021 11:01:23 AM","Windows 10 Enterprise","10.0 (17763)"
"WVUHS\H77759","H77759",,,"7/6/2021 6:54:48 AM","Windows 10 Enterprise","10.0 (19042)"
"WVUHS\H69984","H69984",,,"7/6/2021 10:22:42 PM","Windows 10 Enterprise","10.0 (17763)"
"WVUHS\H70755","H70755",,,"7/8/2021 10:46:07 AM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H73701","H73701","HSC Room 2216",,"7/10/2021 11:00:42 AM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H57327","H57327","HSC - 2nd Floor - Peds - Rm 2350b","7/14/2021 4:00:23 PM","7/11/2021 12:58:13 PM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\WVUCARD62","WVUCARD62",,,"7/6/2021 1:39:12 AM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H72413","H72413","Radiology Admin Suite","5/10/2021 10:21:18 AM","7/12/2021 2:26:11 PM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H74099","H74099","HSC Fam Med WR",,"7/5/2021 12:14:10 AM","Windows 10 Enterprise","10.0 (17763)"
"WVUHS\H74034","H74034","HSC Family Med",,"7/8/2021 3:06:34 PM","Windows 10 Enterprise","10.0 (17763)"
"WVUHS\H72596","H72596","RNI Exam Room",,"7/13/2021 11:07:59 PM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H72418","H72418","RNI Exam Room",,"7/10/2021 12:31:43 AM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H73336","H73336",,,"7/14/2021 5:00:46 PM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H72371","H72371","RNI Exam Room",,"7/10/2021 12:40:11 AM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H72635","H72635","RNI Exam Room",,"7/6/2021 11:07:50 AM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H72426","H72426","RNI Exam room",,"7/13/2021 12:28:14 PM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H72637","H72637","RNI Exam Room",,"7/7/2021 7:03:28 PM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H73283","H73283",,,"7/7/2021 9:35:09 AM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\BCAHRNI2REG","BCAHRNI2REG","RNI Registration Desk",,"7/12/2021 5:48:39 PM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H82410","H82410","WVU Rockefeller Neuroscience Institute Accounting",,"7/12/2021 3:00:55 AM","Windows 10 Enterprise","10.0 (19042)"
"WVUHS\H82279","H82279","RNI Room 2N107",,"7/4/2021 5:08:54 PM","Windows 10 Enterprise","10.0 (19042)"
"WVUHS\H72374","H72374","RNI Exam Room",,"7/6/2021 12:38:36 PM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H72651","H72651","RNI Exam Room","4/9/2021 3:01:59 AM","7/13/2021 12:26:57 PM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H72430","H72430","RNI Nurse Station",,"7/5/2021 8:10:18 AM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H55573","H55573","RNI 2nd Floor Room # 2N133",,"7/12/2021 12:42:03 AM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H72429","H72429","RNI Nurse Station",,"7/9/2021 10:56:21 PM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H72417","H72417","RNI Exam Room",,"7/11/2021 11:02:04 AM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H72659","H72659","RNI Exam Room",,"7/12/2021 3:00:57 AM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H72425","H72425","RNI Exam Room",,"7/12/2021 11:12:15 PM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H72496","H72496","RNI Exam Room",,"7/6/2021 3:08:12 AM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H72652","H72652","RNI Exam Room","6/21/2021 7:04:20 PM","7/6/2021 7:40:52 AM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H72423","H72423","RNI Exam Room",,"7/11/2021 7:01:54 PM","Windows 10 Enterprise","10.0 (18363)"
