#TYPE System.IO.FileInfo
"PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","PSIsContainer","Mode","VersionInfo","BaseName","Target","LinkType","Name","Length","DirectoryName","Directory","IsReadOnly","Exists","FullName","Extension","CreationTime","CreationTimeUtc","LastAccessTime","LastAccessTimeUtc","LastWriteTime","LastWriteTimeUtc","Attributes"
"Microsoft.PowerShell.Core\FileSystem::\\hs.wvu-ad.wvu.edu\public\SOD\dentadmin\DentadminNewestFiles.csv","Microsoft.PowerShell.Core\FileSystem::\\hs.wvu-ad.wvu.edu\public\SOD\dentadmin","DentadminNewestFiles.csv","Microsoft.PowerShell.Core\FileSystem","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             \\hs.wvu-ad.wvu.edu\public\SOD\dentadmin\DentadminNewestFiles.csv
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","DentadminNewestFiles",,,"DentadminNewestFiles.csv","0","\\hs.wvu-ad.wvu.edu\public\SOD\dentadmin","\\hs.wvu-ad.wvu.edu\public\SOD\dentadmin","False","True","\\hs.wvu-ad.wvu.edu\public\SOD\dentadmin\DentadminNewestFiles.csv",".csv","1/25/2021 11:14:24 AM","1/25/2021 4:14:24 PM","1/25/2021 11:14:24 AM","1/25/2021 4:14:24 PM","1/25/2021 11:14:24 AM","1/25/2021 4:14:24 PM","Archive, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::\\hs.wvu-ad.wvu.edu\public\SOD\dentadmin\aalkire\televoxfiles\Archive\televox_01222021_143704.csv","Microsoft.PowerShell.Core\FileSystem::\\hs.wvu-ad.wvu.edu\public\SOD\dentadmin\aalkire\televoxfiles\Archive","televox_01222021_143704.csv","Microsoft.PowerShell.Core\FileSystem","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             \\hs.wvu-ad.wvu.edu\public\SOD\dentadmin\aalkire\televoxfiles\Archive\televox_01222021_143704.csv
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","televox_01222021_143704",,,"televox_01222021_143704.csv","21670","\\hs.wvu-ad.wvu.edu\public\SOD\dentadmin\aalkire\televoxfiles\Archive","\\hs.wvu-ad.wvu.edu\public\SOD\dentadmin\aalkire\televoxfiles\Archive","False","True","\\hs.wvu-ad.wvu.edu\public\SOD\dentadmin\aalkire\televoxfiles\Archive\televox_01222021_143704.csv",".csv","1/22/2021 2:36:55 PM","1/22/2021 7:36:55 PM","1/22/2021 2:36:55 PM","1/22/2021 7:36:55 PM","1/22/2021 2:36:53 PM","1/22/2021 7:36:53 PM","Archive, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::\\hs.wvu-ad.wvu.edu\public\SOD\dentadmin\AcademicAffairs\DDS\National Boards\Class Results 2007-2024\National Board Results - By Class.xls","Microsoft.PowerShell.Core\FileSystem::\\hs.wvu-ad.wvu.edu\public\SOD\dentadmin\AcademicAffairs\DDS\National Boards\Class Results 2007-2024","National Board Results - By Class.xls","Microsoft.PowerShell.Core\FileSystem","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             \\hs.wvu-ad.wvu.edu\public\SOD\dentadmin\AcademicAffairs\DDS\National Boards\Class Results 2007-2024\National Board Results - By Class.xls
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","National Board Results - By Class",,,"National Board Results - By Class.xls","535040","\\hs.wvu-ad.wvu.edu\public\SOD\dentadmin\AcademicAffairs\DDS\National Boards\Class Results 2007-2024","\\hs.wvu-ad.wvu.edu\public\SOD\dentadmin\AcademicAffairs\DDS\National Boards\Class Results 2007-2024","False","True","\\hs.wvu-ad.wvu.edu\public\SOD\dentadmin\AcademicAffairs\DDS\National Boards\Class Results 2007-2024\National Board Results - By Class.xls",".xls","1/18/2012 12:03:53 PM","1/18/2012 5:03:53 PM","1/22/2021 2:56:47 PM","1/22/2021 7:56:47 PM","1/22/2021 2:56:47 PM","1/22/2021 7:56:47 PM","Archive, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::\\hs.wvu-ad.wvu.edu\public\SOD\dentadmin\AcademicAffairs\DDS\National Boards\JCNDE Monthly Reports\2020\12 December 2020\2020 12 3230 NBDEI.pdf","Microsoft.PowerShell.Core\FileSystem::\\hs.wvu-ad.wvu.edu\public\SOD\dentadmin\AcademicAffairs\DDS\National Boards\JCNDE Monthly Reports\2020\12 December 2020","2020 12 3230 NBDEI.pdf","Microsoft.PowerShell.Core\FileSystem","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             \\hs.wvu-ad.wvu.edu\public\SOD\dentadmin\AcademicAffairs\DDS\National Boards\JCNDE Monthly Reports\2020\12 December 2020\2020 12 3230 NBDEI.pdf
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","2020 12 3230 NBDEI",,,"2020 12 3230 NBDEI.pdf","219699","\\hs.wvu-ad.wvu.edu\public\SOD\dentadmin\AcademicAffairs\DDS\National Boards\JCNDE Monthly Reports\2020\12 December 2020","\\hs.wvu-ad.wvu.edu\public\SOD\dentadmin\AcademicAffairs\DDS\National Boards\JCNDE Monthly Reports\2020\12 December 2020","False","True","\\hs.wvu-ad.wvu.edu\public\SOD\dentadmin\AcademicAffairs\DDS\National Boards\JCNDE Monthly Reports\2020\12 December 2020\2020 12 3230 NBDEI.pdf",".pdf","1/22/2021 2:40:02 PM","1/22/2021 7:40:02 PM","1/22/2021 2:40:32 PM","1/22/2021 7:40:32 PM","1/22/2021 2:40:34 PM","1/22/2021 7:40:34 PM","Archive, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::\\hs.wvu-ad.wvu.edu\public\SOD\dentadmin\AcademicAffairs\DDS\National Boards\JCNDE Monthly Reports\2020\12 December 2020\2020 12 3230 NBDEII.pdf","Microsoft.PowerShell.Core\FileSystem::\\hs.wvu-ad.wvu.edu\public\SOD\dentadmin\AcademicAffairs\DDS\National Boards\JCNDE Monthly Reports\2020\12 December 2020","2020 12 3230 NBDEII.pdf","Microsoft.PowerShell.Core\FileSystem","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             \\hs.wvu-ad.wvu.edu\public\SOD\dentadmin\AcademicAffairs\DDS\National Boards\JCNDE Monthly Reports\2020\12 December 2020\2020 12 3230 NBDEII.pdf
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","2020 12 3230 NBDEII",,,"2020 12 3230 NBDEII.pdf","224533","\\hs.wvu-ad.wvu.edu\public\SOD\dentadmin\AcademicAffairs\DDS\National Boards\JCNDE Monthly Reports\2020\12 December 2020","\\hs.wvu-ad.wvu.edu\public\SOD\dentadmin\AcademicAffairs\DDS\National Boards\JCNDE Monthly Reports\2020\12 December 2020","False","True","\\hs.wvu-ad.wvu.edu\public\SOD\dentadmin\AcademicAffairs\DDS\National Boards\JCNDE Monthly Reports\2020\12 December 2020\2020 12 3230 NBDEII.pdf",".pdf","1/22/2021 2:41:16 PM","1/22/2021 7:41:16 PM","1/22/2021 2:41:20 PM","1/22/2021 7:41:20 PM","1/22/2021 2:41:21 PM","1/22/2021 7:41:21 PM","Archive, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::\\hs.wvu-ad.wvu.edu\public\SOD\dentadmin\AcademicAffairs\DDS\Student Information\Student Academic Record Tracking\Class of 2023.xlsx","Microsoft.PowerShell.Core\FileSystem::\\hs.wvu-ad.wvu.edu\public\SOD\dentadmin\AcademicAffairs\DDS\Student Information\Student Academic Record Tracking","Class of 2023.xlsx","Microsoft.PowerShell.Core\FileSystem","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             \\hs.wvu-ad.wvu.edu\public\SOD\dentadmin\AcademicAffairs\DDS\Student Information\Student Academic Record Tracking\Class of 2023.xlsx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","Class of 2023",,,"Class of 2023.xlsx","297894","\\hs.wvu-ad.wvu.edu\public\SOD\dentadmin\AcademicAffairs\DDS\Student Information\Student Academic Record Tracking","\\hs.wvu-ad.wvu.edu\public\SOD\dentadmin\AcademicAffairs\DDS\Student Information\Student Academic Record Tracking","False","True","\\hs.wvu-ad.wvu.edu\public\SOD\dentadmin\AcademicAffairs\DDS\Student Information\Student Academic Record Tracking\Class of 2023.xlsx",".xlsx","6/7/2019 10:02:14 AM","6/7/2019 2:02:14 PM","1/22/2021 2:39:20 PM","1/22/2021 7:39:20 PM","1/22/2021 2:39:19 PM","1/22/2021 7:39:19 PM","Archive, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::\\hs.wvu-ad.wvu.edu\public\SOD\dentadmin\AcademicAffairs\DDS\Student Information\Student Academic Record Tracking\Class of 2024.xlsx","Microsoft.PowerShell.Core\FileSystem::\\hs.wvu-ad.wvu.edu\public\SOD\dentadmin\AcademicAffairs\DDS\Student Information\Student Academic Record Tracking","Class of 2024.xlsx","Microsoft.PowerShell.Core\FileSystem","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             \\hs.wvu-ad.wvu.edu\public\SOD\dentadmin\AcademicAffairs\DDS\Student Information\Student Academic Record Tracking\Class of 2024.xlsx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","Class of 2024",,,"Class of 2024.xlsx","290168","\\hs.wvu-ad.wvu.edu\public\SOD\dentadmin\AcademicAffairs\DDS\Student Information\Student Academic Record Tracking","\\hs.wvu-ad.wvu.edu\public\SOD\dentadmin\AcademicAffairs\DDS\Student Information\Student Academic Record Tracking","False","True","\\hs.wvu-ad.wvu.edu\public\SOD\dentadmin\AcademicAffairs\DDS\Student Information\Student Academic Record Tracking\Class of 2024.xlsx",".xlsx","6/11/2020 1:36:23 PM","6/11/2020 5:36:23 PM","1/22/2021 11:18:14 AM","1/22/2021 4:18:14 PM","1/22/2021 11:18:14 AM","1/22/2021 4:18:14 PM","Archive, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::\\hs.wvu-ad.wvu.edu\public\SOD\dentadmin\AcademicAffairs\Postdocs\Meeting - Minutes\Program Directors Meeting Minutes\2021\PDM January 2021.docx","Microsoft.PowerShell.Core\FileSystem::\\hs.wvu-ad.wvu.edu\public\SOD\dentadmin\AcademicAffairs\Postdocs\Meeting - Minutes\Program Directors Meeting Minutes\2021","PDM January 2021.docx","Microsoft.PowerShell.Core\FileSystem","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             \\hs.wvu-ad.wvu.edu\public\SOD\dentadmin\AcademicAffairs\Postdocs\Meeting - Minutes\Program Directors Meeting Minutes\2021\PDM January 2021.docx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","PDM January 2021",,,"PDM January 2021.docx","27020","\\hs.wvu-ad.wvu.edu\public\SOD\dentadmin\AcademicAffairs\Postdocs\Meeting - Minutes\Program Directors Meeting Minutes\2021","\\hs.wvu-ad.wvu.edu\public\SOD\dentadmin\AcademicAffairs\Postdocs\Meeting - Minutes\Program Directors Meeting Minutes\2021","False","True","\\hs.wvu-ad.wvu.edu\public\SOD\dentadmin\AcademicAffairs\Postdocs\Meeting - Minutes\Program Directors Meeting Minutes\2021\PDM January 2021.docx",".docx","1/22/2021 3:03:46 PM","1/22/2021 8:03:46 PM","1/22/2021 3:03:46 PM","1/22/2021 8:03:46 PM","1/22/2021 3:03:45 PM","1/22/2021 8:03:45 PM","Archive, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::\\hs.wvu-ad.wvu.edu\public\SOD\dentadmin\acollin6\Leave Reporting Forms\LEAVE REPORTING FORMS\380312.pdf","Microsoft.PowerShell.Core\FileSystem::\\hs.wvu-ad.wvu.edu\public\SOD\dentadmin\acollin6\Leave Reporting Forms\LEAVE REPORTING FORMS","380312.pdf","Microsoft.PowerShell.Core\FileSystem","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             \\hs.wvu-ad.wvu.edu\public\SOD\dentadmin\acollin6\Leave Reporting Forms\LEAVE REPORTING FORMS\380312.pdf
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","380312",,,"380312.pdf","1289904","\\hs.wvu-ad.wvu.edu\public\SOD\dentadmin\acollin6\Leave Reporting Forms\LEAVE REPORTING FORMS","\\hs.wvu-ad.wvu.edu\public\SOD\dentadmin\acollin6\Leave Reporting Forms\LEAVE REPORTING FORMS","False","True","\\hs.wvu-ad.wvu.edu\public\SOD\dentadmin\acollin6\Leave Reporting Forms\LEAVE REPORTING FORMS\380312.pdf",".pdf","1/22/2021 1:07:52 PM","1/22/2021 6:07:52 PM","1/22/2021 1:07:52 PM","1/22/2021 6:07:52 PM","1/22/2021 1:07:44 PM","1/22/2021 6:07:44 PM","Archive, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::\\hs.wvu-ad.wvu.edu\public\SOD\dentadmin\Admissions\2019-2020 Recruitment Materials\recruitment survey tabulations 2019-20.xlsx","Microsoft.PowerShell.Core\FileSystem::\\hs.wvu-ad.wvu.edu\public\SOD\dentadmin\Admissions\2019-2020 Recruitment Materials","recruitment survey tabulations 2019-20.xlsx","Microsoft.PowerShell.Core\FileSystem","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             \\hs.wvu-ad.wvu.edu\public\SOD\dentadmin\Admissions\2019-2020 Recruitment Materials\recruitment survey tabulations 2019-20.xlsx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","recruitment survey tabulations 2019-20",,,"recruitment survey tabulations 2019-20.xlsx","18725","\\hs.wvu-ad.wvu.edu\public\SOD\dentadmin\Admissions\2019-2020 Recruitment Materials","\\hs.wvu-ad.wvu.edu\public\SOD\dentadmin\Admissions\2019-2020 Recruitment Materials","False","True","\\hs.wvu-ad.wvu.edu\public\SOD\dentadmin\Admissions\2019-2020 Recruitment Materials\recruitment survey tabulations 2019-20.xlsx",".xlsx","1/22/2021 10:41:00 AM","1/22/2021 3:41:00 PM","1/22/2021 12:53:56 PM","1/22/2021 5:53:56 PM","1/22/2021 12:53:56 PM","1/22/2021 5:53:56 PM","Archive, NotContentIndexed"
