#TYPE System.IO.FileInfo
"PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","PSIsContainer","Mode","VersionInfo","BaseName","Target","LinkType","Name","Length","DirectoryName","Directory","IsReadOnly","Exists","FullName","Extension","CreationTime","CreationTimeUtc","LastAccessTime","LastAccessTimeUtc","LastWriteTime","LastWriteTimeUtc","Attributes"
"Microsoft.PowerShell.Core\FileSystem::Y:\bjhickey\04_24_2020 Pay Statement.pdf","Microsoft.PowerShell.Core\FileSystem::Y:\bjhickey","04_24_2020 Pay Statement.pdf","Y","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             Y:\bjhickey\04_24_2020 Pay Statement.pdf
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","04_24_2020 Pay Statement",,,"04_24_2020 Pay Statement.pdf","106332","Y:\bjhickey","Y:\bjhickey","False","True","Y:\bjhickey\04_24_2020 Pay Statement.pdf",".pdf","5/19/2020 12:32:59 PM","5/19/2020 4:32:59 PM","5/19/2020 12:32:59 PM","5/19/2020 4:32:59 PM","5/19/2020 12:32:59 PM","5/19/2020 4:32:59 PM","Archive, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\bjhickey\05_08_2020 Pay Statement.pdf","Microsoft.PowerShell.Core\FileSystem::Y:\bjhickey","05_08_2020 Pay Statement.pdf","Y","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             Y:\bjhickey\05_08_2020 Pay Statement.pdf
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","05_08_2020 Pay Statement",,,"05_08_2020 Pay Statement.pdf","106347","Y:\bjhickey","Y:\bjhickey","False","True","Y:\bjhickey\05_08_2020 Pay Statement.pdf",".pdf","5/19/2020 12:32:33 PM","5/19/2020 4:32:33 PM","5/19/2020 12:32:33 PM","5/19/2020 4:32:33 PM","5/19/2020 12:32:33 PM","5/19/2020 4:32:33 PM","Archive, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\bjhickey\05_22_2020 Pay Statement.pdf","Microsoft.PowerShell.Core\FileSystem::Y:\bjhickey","05_22_2020 Pay Statement.pdf","Y","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             Y:\bjhickey\05_22_2020 Pay Statement.pdf
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","05_22_2020 Pay Statement",,,"05_22_2020 Pay Statement.pdf","106346","Y:\bjhickey","Y:\bjhickey","False","True","Y:\bjhickey\05_22_2020 Pay Statement.pdf",".pdf","5/19/2020 12:32:03 PM","5/19/2020 4:32:03 PM","5/19/2020 12:32:03 PM","5/19/2020 4:32:03 PM","5/19/2020 12:32:03 PM","5/19/2020 4:32:03 PM","Archive, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\bjhickey\Academic Transcript Brice Hickey JHU Graduate School.pdf","Microsoft.PowerShell.Core\FileSystem::Y:\bjhickey","Academic Transcript Brice Hickey JHU Graduate School.pdf","Y","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             Y:\bjhickey\Academic Transcript Brice Hickey JHU Graduate School.pdf
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","Academic Transcript Brice Hickey JHU Graduate School",,,"Academic Transcript Brice Hickey JHU Graduate School.pdf","390984","Y:\bjhickey","Y:\bjhickey","False","True","Y:\bjhickey\Academic Transcript Brice Hickey JHU Graduate School.pdf",".pdf","6/16/2020 7:52:58 AM","6/16/2020 11:52:58 AM","6/16/2020 7:52:58 AM","6/16/2020 11:52:58 AM","6/16/2020 7:52:58 AM","6/16/2020 11:52:58 AM","Archive, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\bjhickey\Academic Transcript Brice Hickey WVU.pdf","Microsoft.PowerShell.Core\FileSystem::Y:\bjhickey","Academic Transcript Brice Hickey WVU.pdf","Y","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             Y:\bjhickey\Academic Transcript Brice Hickey WVU.pdf
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","Academic Transcript Brice Hickey WVU",,,"Academic Transcript Brice Hickey WVU.pdf","109553","Y:\bjhickey","Y:\bjhickey","False","True","Y:\bjhickey\Academic Transcript Brice Hickey WVU.pdf",".pdf","6/16/2020 7:52:00 AM","6/16/2020 11:52:00 AM","6/16/2020 7:52:00 AM","6/16/2020 11:52:00 AM","6/16/2020 7:52:00 AM","6/16/2020 11:52:00 AM","Archive, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\bjhickey\Addendum to Purchase Agreement - Closing Extension.pdf","Microsoft.PowerShell.Core\FileSystem::Y:\bjhickey","Addendum to Purchase Agreement - Closing Extension.pdf","Y","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             Y:\bjhickey\Addendum to Purchase Agreement - Closing Extension.pdf
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","Addendum to Purchase Agreement - Closing Extension",,,"Addendum to Purchase Agreement - Closing Extension.pdf","108443","Y:\bjhickey","Y:\bjhickey","False","True","Y:\bjhickey\Addendum to Purchase Agreement - Closing Extension.pdf",".pdf","6/25/2020 9:12:29 AM","6/25/2020 1:12:29 PM","6/25/2020 9:12:29 AM","6/25/2020 1:12:29 PM","6/25/2020 9:12:29 AM","6/25/2020 1:12:29 PM","Archive, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\bjhickey\Allstate Quote.pdf","Microsoft.PowerShell.Core\FileSystem::Y:\bjhickey","Allstate Quote.pdf","Y","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             Y:\bjhickey\Allstate Quote.pdf
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","Allstate Quote",,,"Allstate Quote.pdf","17344","Y:\bjhickey","Y:\bjhickey","False","True","Y:\bjhickey\Allstate Quote.pdf",".pdf","6/4/2020 2:03:17 PM","6/4/2020 6:03:17 PM","6/4/2020 2:03:17 PM","6/4/2020 6:03:17 PM","6/4/2020 2:03:18 PM","6/4/2020 6:03:18 PM","Archive, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\bjhickey\APOE Genotyping Project.docx","Microsoft.PowerShell.Core\FileSystem::Y:\bjhickey","APOE Genotyping Project.docx","Y","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             Y:\bjhickey\APOE Genotyping Project.docx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","APOE Genotyping Project",,,"APOE Genotyping Project.docx","18092","Y:\bjhickey","Y:\bjhickey","False","True","Y:\bjhickey\APOE Genotyping Project.docx",".docx","9/5/2019 1:46:40 PM","9/5/2019 5:46:40 PM","9/10/2019 3:18:13 PM","9/10/2019 7:18:13 PM","9/10/2019 3:18:13 PM","9/10/2019 7:18:13 PM","Archive, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\bjhickey\BitLocker Recovery Key 8405FDF1-8341-4C93-8F43-D304640F2DB6 Jacquie.TXT","Microsoft.PowerShell.Core\FileSystem::Y:\bjhickey","BitLocker Recovery Key 8405FDF1-8341-4C93-8F43-D304640F2DB6 Jacquie.TXT","Y","Microsoft.PowerShell.Core\FileSystem","False","-ar---","File:             Y:\bjhickey\BitLocker Recovery Key 8405FDF1-8341-4C93-8F43-D304640F2DB6 Jacquie.TXT
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","BitLocker Recovery Key 8405FDF1-8341-4C93-8F43-D304640F2DB6 Jacquie",,,"BitLocker Recovery Key 8405FDF1-8341-4C93-8F43-D304640F2DB6 Jacquie.TXT","1348","Y:\bjhickey","Y:\bjhickey","True","True","Y:\bjhickey\BitLocker Recovery Key 8405FDF1-8341-4C93-8F43-D304640F2DB6 Jacquie.TXT",".TXT","8/7/2020 2:44:26 PM","8/7/2020 6:44:26 PM","8/7/2020 2:44:26 PM","8/7/2020 6:44:26 PM","8/7/2020 2:44:26 PM","8/7/2020 6:44:26 PM","ReadOnly, Archive, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\bjhickey\Certificate of Completion.pdf","Microsoft.PowerShell.Core\FileSystem::Y:\bjhickey","Certificate of Completion.pdf","Y","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             Y:\bjhickey\Certificate of Completion.pdf
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","Certificate of Completion",,,"Certificate of Completion.pdf","540135","Y:\bjhickey","Y:\bjhickey","False","True","Y:\bjhickey\Certificate of Completion.pdf",".pdf","8/27/2019 8:34:31 AM","8/27/2019 12:34:31 PM","8/27/2019 8:34:31 AM","8/27/2019 12:34:31 PM","8/27/2019 8:33:17 AM","8/27/2019 12:33:17 PM","Archive, NotContentIndexed"
