PSChildName,Path,Owner
bpalmer,Microsoft.PowerShell.Core\FileSystem::\\hs-bassci\bassci\anat\bpalmer,BUILTIN\Administrators
cajohnson,Microsoft.PowerShell.Core\FileSystem::\\hs-bassci\bassci\anat\cajohnson,BUILTIN\Administrators
dcastrodale-anat,Microsoft.PowerShell.Core\FileSystem::\\hs-bassci\bassci\anat\dcastrodale-anat,HS\dcastrodale
dhunter,Microsoft.PowerShell.Core\FileSystem::\\hs-bassci\bassci\anat\dhunter,BUILTIN\Administrators
dictionary,Microsoft.PowerShell.Core\FileSystem::\\hs-bassci\bassci\anat\dictionary,HS\dcastrodale
Fetal,Microsoft.PowerShell.Core\FileSystem::\\hs-bassci\bassci\anat\Fetal,HS\dcastrodale
GKONAT,Microsoft.PowerShell.Core\FileSystem::\\hs-bassci\bassci\anat\GKONAT,BUILTIN\Administrators
hbillings,Microsoft.PowerShell.Core\FileSystem::\\hs-bassci\bassci\anat\hbillings,BUILTIN\Administrators
HGR,Microsoft.PowerShell.Core\FileSystem::\\hs-bassci\bassci\anat\HGR,BUILTIN\Administrators
hressetar,Microsoft.PowerShell.Core\FileSystem::\\hs-bassci\bassci\anat\hressetar,BUILTIN\Administrators
hwlambert,Microsoft.PowerShell.Core\FileSystem::\\hs-bassci\bassci\anat\hwlambert,BUILTIN\Administrators
mlong18,Microsoft.PowerShell.Core\FileSystem::\\hs-bassci\bassci\anat\mlong18,HS\dcastrodale
Old-Accounts,Microsoft.PowerShell.Core\FileSystem::\\hs-bassci\bassci\anat\Old-Accounts,HS\dcastrodale
PALM,Microsoft.PowerShell.Core\FileSystem::\\hs-bassci\bassci\anat\PALM,BUILTIN\Administrators
Pklinkhachorn,Microsoft.PowerShell.Core\FileSystem::\\hs-bassci\bassci\anat\Pklinkhachorn,BUILTIN\Administrators
rbolyard,Microsoft.PowerShell.Core\FileSystem::\\hs-bassci\bassci\anat\rbolyard,HS\dcastrodale
Rhilloowala,Microsoft.PowerShell.Core\FileSystem::\\hs-bassci\bassci\anat\Rhilloowala,BUILTIN\Administrators
Robert-Anthony,Microsoft.PowerShell.Core\FileSystem::\\hs-bassci\bassci\anat\Robert-Anthony,HS\dcastrodale
Scans,Microsoft.PowerShell.Core\FileSystem::\\hs-bassci\bassci\anat\Scans,HS\dcastrodale
vamoore,Microsoft.PowerShell.Core\FileSystem::\\hs-bassci\bassci\anat\vamoore,BUILTIN\Administrators
