#TYPE System.Security.AccessControl.FileSystemAccessRule
"Path","FileSystemRights","AccessControlType","IdentityReference","IsInherited","InheritanceFlags","PropagationFlags"
"Microsoft.PowerShell.Core\FileSystem::C:\AD-Development\3Disable-EndAccessDate","FullControl","Allow","NT AUTHORITY\SYSTEM","True","ContainerInherit, ObjectInherit","None"
"Microsoft.PowerShell.Core\FileSystem::C:\AD-Development\3Disable-EndAccessDate","FullControl","Allow","BUILTIN\Administrators","True","ContainerInherit, ObjectInherit","None"
"Microsoft.PowerShell.Core\FileSystem::C:\AD-Development\3Disable-EndAccessDate","ReadAndExecute, Synchronize","Allow","BUILTIN\Users","True","ContainerInherit, ObjectInherit","None"
"Microsoft.PowerShell.Core\FileSystem::C:\AD-Development\3Disable-EndAccessDate","AppendData","Allow","BUILTIN\Users","True","ContainerInherit","None"
"Microsoft.PowerShell.Core\FileSystem::C:\AD-Development\3Disable-EndAccessDate","CreateFiles","Allow","BUILTIN\Users","True","ContainerInherit","None"
"Microsoft.PowerShell.Core\FileSystem::C:\AD-Development\3Disable-EndAccessDate","FullControl","Allow","HS\microsoft","True","None","None"
"Microsoft.PowerShell.Core\FileSystem::C:\AD-Development\3Disable-EndAccessDate","268435456","Allow","CREATOR OWNER","True","ContainerInherit, ObjectInherit","InheritOnly"
"Microsoft.PowerShell.Core\FileSystem::C:\AD-Development\4Import-MainCampusMailbox","FullControl","Allow","NT AUTHORITY\SYSTEM","True","ContainerInherit, ObjectInherit","None"
"Microsoft.PowerShell.Core\FileSystem::C:\AD-Development\4Import-MainCampusMailbox","FullControl","Allow","BUILTIN\Administrators","True","ContainerInherit, ObjectInherit","None"
"Microsoft.PowerShell.Core\FileSystem::C:\AD-Development\4Import-MainCampusMailbox","ReadAndExecute, Synchronize","Allow","BUILTIN\Users","True","ContainerInherit, ObjectInherit","None"
"Microsoft.PowerShell.Core\FileSystem::C:\AD-Development\4Import-MainCampusMailbox","AppendData","Allow","BUILTIN\Users","True","ContainerInherit","None"
"Microsoft.PowerShell.Core\FileSystem::C:\AD-Development\4Import-MainCampusMailbox","CreateFiles","Allow","BUILTIN\Users","True","ContainerInherit","None"
"Microsoft.PowerShell.Core\FileSystem::C:\AD-Development\4Import-MainCampusMailbox","FullControl","Allow","HS\microsoft","True","None","None"
"Microsoft.PowerShell.Core\FileSystem::C:\AD-Development\4Import-MainCampusMailbox","268435456","Allow","CREATOR OWNER","True","ContainerInherit, ObjectInherit","InheritOnly"
"Microsoft.PowerShell.Core\FileSystem::C:\AD-Development\5Disable-OrgUnit","FullControl","Allow","NT AUTHORITY\SYSTEM","True","ContainerInherit, ObjectInherit","None"
"Microsoft.PowerShell.Core\FileSystem::C:\AD-Development\5Disable-OrgUnit","FullControl","Allow","BUILTIN\Administrators","True","ContainerInherit, ObjectInherit","None"
"Microsoft.PowerShell.Core\FileSystem::C:\AD-Development\5Disable-OrgUnit","ReadAndExecute, Synchronize","Allow","BUILTIN\Users","True","ContainerInherit, ObjectInherit","None"
"Microsoft.PowerShell.Core\FileSystem::C:\AD-Development\5Disable-OrgUnit","AppendData","Allow","BUILTIN\Users","True","ContainerInherit","None"
"Microsoft.PowerShell.Core\FileSystem::C:\AD-Development\5Disable-OrgUnit","CreateFiles","Allow","BUILTIN\Users","True","ContainerInherit","None"
"Microsoft.PowerShell.Core\FileSystem::C:\AD-Development\5Disable-OrgUnit","FullControl","Allow","HS\microsoft","True","None","None"
"Microsoft.PowerShell.Core\FileSystem::C:\AD-Development\5Disable-OrgUnit","268435456","Allow","CREATOR OWNER","True","ContainerInherit, ObjectInherit","InheritOnly"
"Microsoft.PowerShell.Core\FileSystem::C:\AD-Development\5Set-ComputerACL","FullControl","Allow","NT AUTHORITY\SYSTEM","True","ContainerInherit, ObjectInherit","None"
"Microsoft.PowerShell.Core\FileSystem::C:\AD-Development\5Set-ComputerACL","FullControl","Allow","BUILTIN\Administrators","True","ContainerInherit, ObjectInherit","None"
"Microsoft.PowerShell.Core\FileSystem::C:\AD-Development\5Set-ComputerACL","ReadAndExecute, Synchronize","Allow","BUILTIN\Users","True","ContainerInherit, ObjectInherit","None"
"Microsoft.PowerShell.Core\FileSystem::C:\AD-Development\5Set-ComputerACL","AppendData","Allow","BUILTIN\Users","True","ContainerInherit","None"
