#TYPE Selected.Quest.ActiveRoles.ArsPowerShellSnapIn.Data.ArsUserObject
"SamAccountName","extensionAttribute5","Description","ParentContainer"
"helpdesk","Sync removed on 6/30/2017 2:13:36 PM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/ITS/Support Services/Desktop Support"
"webmaster","Sync removed on 6/30/2017 2:14:23 PM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/ITS/Support Services/Desktop Support"
"HelpDeskAnnouncement","Sync removed on 6/30/2017 2:13:37 PM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/ITS/Support Services/Desktop Support"
"development","Sync removed on 6/30/2017 12:24:16 PM","WVU Health Science Center; No365 on 3/19/2017","HS.wvu-ad.wvu.edu/HSC/MBRCC/MGMT"
"wvucancer","Sync removed on 6/30/2017 2:13:07 PM","WVU Health Science Center","HS.wvu-ad.wvu.edu/HSC/MBRCC/MGMT"
"uhspc","Sync removed on 6/30/2017 2:12:44 PM","WVU Health Science Center","HS.wvu-ad.wvu.edu/HSC/SOM/UHS"
"lawclerk","Sync removed on 6/30/2017 1:54:18 PM","Risk Management - Legal Affairs","HS.wvu-ad.wvu.edu/HSC/ADMIN/LEGAL"
"riskmanagement","Sync removed on 6/30/2017 1:55:31 PM","Risk Management - Legal Affairs; No365 on 6/19/2017","HS.wvu-ad.wvu.edu/HSC/ADMIN/LEGAL"
"CAMCWVUIM","Sync removed on 6/30/2017 12:22:16 PM","Medicine Program for Resident Apps","HS.wvu-ad.wvu.edu/HSC/CHAR_DIV/SOM"
"mgpconference","Sync removed on 6/30/2017 1:54:29 PM","WVU Health Science Center","HS.wvu-ad.wvu.edu/HSC/SOM/MED/MGP"
"PositiveHealthClinic","Sync removed on 6/30/2017 1:55:14 PM",,"HS.wvu-ad.wvu.edu/HSC/SOM/MED/INFDIS"
"3tresearch","Sync removed on 6/30/2017 11:06:45 AM","WVU Health Science Center","HS.wvu-ad.wvu.edu/HSC/SOM/RAD"
"somwebmaster","Sync removed on 6/30/2017 2:11:59 PM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/SOMDEAN"
"libraryloans","Sync removed on 6/30/2017 1:54:19 PM",,"HS.wvu-ad.wvu.edu/HSC/CHAR_DIV/ADMIN/LIB"
