rbsaggio,66048,66048,No UAC change
rupurewal,66048,66048,No UAC change
jlynch13,66048,66048,No UAC change
jbrejwo,66050,66050,No UAC change
eicheng,66048,66048,No UAC change
lmueller,66048,66048,No UAC change
pmurray,66080,66048,UAC Changed
chvijay,66048,66048,No UAC change
asrouster,66048,66048,No UAC change
sali,66080,66048,UAC Changed
jjohns38,66048,66048,No UAC change
ndmains,66048,66048,No UAC change
mhs0005,66080,66048,UAC Changed
jlm0002,66080,66048,UAC Changed
ra0041,66082,66050,UAC Changed
ivn0001,66080,66048,UAC Changed
mlandvoigt,66080,66048,UAC Changed
ahalhuniti,66050,66050,No UAC change
vcgodsey,66048,66048,No UAC change
msconnolly,66048,66048,No UAC change
bharvey,66048,66048,No UAC change
sgriff10,66048,66048,No UAC change
jlink1,66048,66048,No UAC change
chamilton,66080,66048,UAC Changed
cmbritton,66048,66048,No UAC change
anmalik,66048,66048,No UAC change
hhaga,66048,66048,No UAC change
srsridharan,66048,66048,No UAC change
samardanlou,66048,66048,No UAC change
hhickman,66048,66048,No UAC change
ys0011,66080,66048,UAC Changed
amumer,66080,66048,UAC Changed
driggs2,66080,66048,UAC Changed
kgreenlief,66080,66048,UAC Changed
rvanfleet,66080,66048,UAC Changed
mmorela1,66048,66048,No UAC change
twhitt,66080,66048,UAC Changed
em0030,66080,66048,UAC Changed
spl0001,66080,66048,UAC Changed
srgarlapati,66050,66050,No UAC change
hestlack,66080,66048,UAC Changed
kkidd3,66048,66048,No UAC change
tlglover,66048,66048,No UAC change
PICU_Sedations,66080,66048,UAC Changed
kkyoon,66048,66048,No UAC change
aimiller1,66048,66048,No UAC change
maraj,66048,66048,No UAC change
kparrish,66048,66048,No UAC change
askiefer,66048,66048,No UAC change
alg0038,66080,66048,UAC Changed
radachepally,66050,66050,No UAC change
lmcostello,66080,66048,UAC Changed
lpyles,66048,66048,No UAC change
pyossuck,66080,66048,UAC Changed
kaaziz,66048,66048,No UAC change
artaub,66048,66048,No UAC change
cchen6,66048,66048,No UAC change
npuccio,66080,66048,UAC Changed
kapatra,66048,66048,No UAC change
jwilkins,66080,66048,UAC Changed
alastinger,66080,66048,UAC Changed
jps0002,66080,66048,UAC Changed
vsedney,66080,66048,UAC Changed
kmurray,66080,66048,UAC Changed
wa0001,66080,66048,UAC Changed
kh0030,66080,66048,UAC Changed
dskoner,66080,66048,UAC Changed
ccdarville,66048,66048,No UAC change
kakinney,66048,66048,No UAC change
ccobun,66080,66048,UAC Changed
vtruda,66050,66050,No UAC change
mmc0028,66080,66048,UAC Changed
jpaugh,66048,66048,No UAC change
mgv0002,66080,66048,UAC Changed
esteele,66080,66048,UAC Changed
mchafin,66080,66048,UAC Changed
drbarlow,66080,66048,UAC Changed
bely,66080,66048,UAC Changed
tnarumanchi,66080,66048,UAC Changed
mcarunchia,66080,66048,UAC Changed
kbingi,66080,66048,UAC Changed
mpolak,66080,66048,UAC Changed
eyorty,66082,66050,UAC Changed
bnightengale,66080,66048,UAC Changed
remurray,66080,66048,UAC Changed
sgillespie,66080,66048,UAC Changed
flcasey,66048,66048,No UAC change
agraham,66080,66048,UAC Changed
skanosky,66080,66048,UAC Changed
shanlon,66080,66048,UAC Changed
cardiacproject,66080,66048,UAC Changed
amashcraft,66048,66048,No UAC change
tplefeber,66048,66048,No UAC change
lji0001,66080,66048,UAC Changed
anicola,66080,66048,UAC Changed
jmoorehead,66080,66048,UAC Changed
aleach,66080,66048,UAC Changed
kmoore13,66080,66048,UAC Changed
rijoya,66048,66048,No UAC change
lsamsell,66080,66048,UAC Changed
seinzig,66080,66048,UAC Changed
epolak,66080,66048,UAC Changed
spierott,66048,66048,No UAC change
dilemley,66080,66048,UAC Changed
mimitchell,66048,66048,No UAC change
apnea,66080,66048,UAC Changed
eajones,66048,66048,No UAC change
jforester,66080,66048,UAC Changed
snyderp,66080,66048,UAC Changed
dlauffer,66080,66048,UAC Changed
apneaservice,546,514,UAC Changed
mbrunner,66080,66048,UAC Changed
tdcole,66080,66048,UAC Changed
cjohn,66080,66048,UAC Changed
rearl,66080,66048,UAC Changed
corgill,66080,66048,UAC Changed
nringler,66080,66048,UAC Changed
mwright,66080,66048,UAC Changed
lshumiloff,66080,66048,UAC Changed
