DistinguishedName,GroupCategory,GroupScope,Name,ObjectClass,ObjectGUID,SamAccountName,SID
"CN=Administrators,CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",Security,DomainLocal,Administrators,group,54b16ecb-9cae-4172-bb54-77855419854f,Administrators,S-1-5-32-544
"CN=Network Systems Group,OU=Network Systems,OU=Network and Voice Services,OU=ITS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",Security,Universal,Network Systems Group,group,c844ea30-612e-47b2-a89d-1050fc1d5909,Network Systems Group,S-1-5-21-865322659-4255640127-3857865232-12721
"CN=Desktop Support Group,OU=Desktop Support,OU=Support Services,OU=ITS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",Security,Universal,Desktop Support Group,group,99760d37-483d-423a-95bf-63904aad7d4e,Desktop Support Group,S-1-5-21-865322659-4255640127-3857865232-12724
"CN=HelpServicesGroup,CN=Users,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",Security,DomainLocal,HelpServicesGroup,group,867cfd54-45cf-49ad-9721-f2d96d16b682,HelpServicesGroup,S-1-5-21-865322659-4255640127-3857865232-1000
"CN=HSC Windows Admins,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",Security,Global,HSC Windows Admins,group,14998d9f-9494-4922-a3bb-1759fb7049f5,HSC Windows Admins,S-1-5-21-865322659-4255640127-3857865232-2204
"CN=Help Desk,OU=Desktop Support,OU=Support Services,OU=ITS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",Security,Global,Help Desk,group,fb257440-a160-47b0-b637-64b61b1b7a80,Help Desk,S-1-5-21-865322659-4255640127-3857865232-2135
"CN=PasswordChange,OU=Desktop Support,OU=Support Services,OU=ITS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",Security,Global,PasswordChange,group,a382f06d-e01b-4900-8667-2ecf94fa9e3c,PasswordChange,S-1-5-21-865322659-4255640127-3857865232-2147
"CN=$NETWARE,OU=NETWARE,OU=SERVERS,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",Security,DomainLocal,$NETWARE,group,44d520a4-ee4f-491d-a9b5-847943ac1dc0,$NETWARE,S-1-5-21-865322659-4255640127-3857865232-8298
"CN=Networking,OU=Network and Voice Services,OU=ITS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",Security,Universal,Networking,group,c3f66bad-8320-46a7-8c7b-a2f33a02e60e,Networking,S-1-5-21-865322659-4255640127-3857865232-2146
"CN=$NETWORK,OU=NETWORK,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",Security,DomainLocal,$NETWORK,group,ebe9fd03-b9cf-43d1-86cf-4ef25e1282fb,$NETWORK,S-1-5-21-865322659-4255640127-3857865232-8677
"CN=$SERVERS,OU=SERVERS,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",Security,DomainLocal,$SERVERS,group,31c4c2e9-9ba9-47b2-aad8-05c5c5c60376,$SERVERS,S-1-5-21-865322659-4255640127-3857865232-8692
"CN=$COMPSERV,OU=COMPSERV,OU=ADMIN,OU=CHAR_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",Security,DomainLocal,$COMPSERV,group,b73bf3dd-fa8f-4f0c-b93b-03ef63b550ff,$COMPSERV,S-1-5-21-865322659-4255640127-3857865232-6655
"CN=Database and Application Development Services Group,OU=Database and Application Development Services,OU=Application and Web Services,OU=ITS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",Security,Global,Database and Application Development Services Group,group,cde12914-c260-45b4-b41c-e4bc169cb2ae,Database and Application Development Services Group,S-1-5-21-865322659-4255640127-3857865232-12727
"CN=NetwareManager,OU=0_13,OU=NETWARE,OU=SERVERS,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",Security,Global,NetwareManager,group,23855b23-4714-4a6c-99bb-e2207fcc6f2f,NetwareManager,S-1-5-21-865322659-4255640127-3857865232-8766
"CN=Novell_Admins,OU=Other Accounts,OU=Network Systems,OU=Network and Voice Services,OU=ITS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",Security,Universal,Novell_Admins,group,aea8b15f-84b8-4fdd-9f57-943026cdac27,Novell_Admins,S-1-5-21-865322659-4255640127-3857865232-8395
"CN=NT_Admins,OU=Other Accounts,OU=Network Systems,OU=Network and Voice Services,OU=ITS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",Security,Universal,NT_Admins,group,323c0079-c7fc-4861-8fc0-68a7289076a6,NT_Admins,S-1-5-21-865322659-4255640127-3857865232-8396
"CN=$NTSERVERS,OU=NT,OU=SERVERS,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",Security,DomainLocal,$NTSERVERS,group,4074215a-d8a5-49be-a8b4-7a81413bb4aa,$NTSERVERS,S-1-5-21-865322659-4255640127-3857865232-8681
"CN=$Linux,OU=Linux,OU=SERVERS,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",Security,DomainLocal,$Linux,group,eb71f6f7-6371-42ce-a691-8c1322c8c414,$Linux,S-1-5-21-865322659-4255640127-3857865232-8671
"CN=HS Sharepoint Site Admins,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",Security,Global,HS Sharepoint Site Admins,group,ef37f517-7059-47b6-9750-f1d3beb7545e,HS Sharepoint Site Admins,S-1-5-21-865322659-4255640127-3857865232-31433
"CN=SCCM Full Admin,OU=Network Systems,OU=Network and Voice Services,OU=ITS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",Security,Global,SCCM Full Admin,group,daa895dc-6620-4c46-b719-c49a6d3228b4,SCCM Full Admin,S-1-5-21-865322659-4255640127-3857865232-46656
"CN=SCCM OSD Group,OU=ITS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",Security,Global,SCCM OSD Group,group,78d92ae2-2a26-44e2-97a5-c718bfefc3df,SCCM OSD Group,S-1-5-21-865322659-4255640127-3857865232-46654
"CN=FIMSyncAdmins,OU=HS Resource Accounts,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",Security,Global,FIMSyncAdmins,group,8ace5fef-b0be-43c2-87bb-7c4489bcfff6,FIMSyncAdmins,S-1-5-21-865322659-4255640127-3857865232-43153
"CN=ITS Web Infoblox,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",Security,Global,ITS Web Infoblox,group,d6f37a53-5285-479c-afbe-8ed389c5198f,ITS Web Infoblox,S-1-5-21-865322659-4255640127-3857865232-56118
"CN=$Database and Application Development Services Group,OU=Database and Application Development Services,OU=Application and Web Services,OU=ITS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",Security,Global,$Database and Application Development Services Group,group,a332198d-c15c-444f-b9d6-5fbd484da112,$Database and Application Development Services Group,S-1-5-21-865322659-4255640127-3857865232-67151
"CN=SCCM Windows Update Group,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",Security,Global,SCCM Windows Update Group,group,620d62e1-9b0f-4f40-a74f-40a23f25e08e,SCCM Windows Update Group,S-1-5-21-865322659-4255640127-3857865232-82817
