#TYPE Microsoft.ActiveDirectory.Management.ADGroup
"DistinguishedName","GroupCategory","GroupScope","Name","ObjectClass","ObjectGUID","SamAccountName","SID"
"CN=Network Configuration Operators,CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Network Configuration Operators","group","ee230d9b-098d-4a71-ad65-7ca8f404b920","Network Configuration Operators","S-1-5-32-556"
"CN=Performance Monitor Users,CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Performance Monitor Users","group","03b2e5b3-c83c-404b-a60c-50410b9c932d","Performance Monitor Users","S-1-5-32-558"
"CN=Domain Computers,CN=Users,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Domain Computers","group","735da827-6eb9-4b9f-9c0b-6392c32fe212","Domain Computers","S-1-5-21-865322659-4255640127-3857865232-515"
"CN=Domain Guests,CN=Users,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Domain Guests","group","f6dbeab0-790d-4800-b3a2-af9507824461","Domain Guests","S-1-5-21-865322659-4255640127-3857865232-514"
"CN=Cryptographic Operators,CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Cryptographic Operators","group","314e5729-936f-4e0d-b843-c7d55bd4cdff","Cryptographic Operators","S-1-5-32-569"
"CN=Allowed RODC Password Replication Group,CN=Users,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Allowed RODC Password Replication Group","group","d0cfe3f7-4472-4140-9a5f-f7a647ab2fc2","Allowed RODC Password Replication Group","S-1-5-21-865322659-4255640127-3857865232-571"
"CN=Performance Log Users,CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Performance Log Users","group","61a74adc-4976-4535-b1f2-234b829179e3","Performance Log Users","S-1-5-32-559"
"CN=IIS_IUSRS,CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","IIS_IUSRS","group","d0e21519-0002-4c43-a7b5-8359e2960c2a","IIS_IUSRS","S-1-5-32-568"
"CN=RDS Remote Access Servers,CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","RDS Remote Access Servers","group","1cf8b26e-7375-4680-a368-2077b28d2d89","RDS Remote Access Servers","S-1-5-32-575"
"CN=RDS Endpoint Servers,CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","RDS Endpoint Servers","group","a2af2366-5d32-4a07-9a96-0810694e1848","RDS Endpoint Servers","S-1-5-32-576"
"CN=RDS Management Servers,CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","RDS Management Servers","group","66731afc-3f2c-4bb8-a9d8-3156619423c2","RDS Management Servers","S-1-5-32-577"
"CN=Hyper-V Administrators,CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Hyper-V Administrators","group","d4568002-b6a3-4bf6-90fc-1a26383ff890","Hyper-V Administrators","S-1-5-32-578"
"CN=Cloneable Domain Controllers,CN=Users,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Cloneable Domain Controllers","group","4f67730e-f4ba-4d69-b553-ec52ab40eaeb","Cloneable Domain Controllers","S-1-5-21-865322659-4255640127-3857865232-522"
"CN=Access Control Assistance Operators,CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Access Control Assistance Operators","group","f0082ee1-7d95-4186-b890-b0c3ecdeabba","Access Control Assistance Operators","S-1-5-32-579"
"CN=Remote Management Users,CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Remote Management Users","group","7821631f-a20a-42bc-98af-8055756a21ad","Remote Management Users","S-1-5-32-580"
"CN=Protected Users,CN=Users,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Protected Users","group","8d445c7e-fe3b-474f-949a-9f5f1ac0a042","Protected Users","S-1-5-21-865322659-4255640127-3857865232-525"
"CN=Cert Publishers,CN=Users,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Cert Publishers","group","f479870c-7e12-41cd-b14f-4b7f875fe907","Cert Publishers","S-1-5-21-865322659-4255640127-3857865232-517"
"CN=Backup Operators,CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Backup Operators","group","1c0af00e-8e42-4f28-9da4-9b50eda96781","Backup Operators","S-1-5-32-551"
"CN=Guests,CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Guests","group","fe0b6911-e145-4dd3-81c2-4276243bff79","Guests","S-1-5-32-546"
"CN=Domain Admins,CN=Users,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Domain Admins","group","984e6950-452a-4a21-8965-fdad38740e17","Domain Admins","S-1-5-21-865322659-4255640127-3857865232-512"
"CN=Group Policy Creator Owners,CN=Users,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Group Policy Creator Owners","group","15b6da5a-68bf-4f5c-8e58-aeac47928f21","Group Policy Creator Owners","S-1-5-21-865322659-4255640127-3857865232-520"
"CN=Pre-Windows 2000 Compatible Access,CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Pre-Windows 2000 Compatible Access","group","02388b78-a442-48c6-9c03-3ca8b3245e1b","Pre-Windows 2000 Compatible Access","S-1-5-32-554"
"CN=Server Operators,CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Server Operators","group","14222779-d4a7-442c-93e3-0cc7b769a262","Server Operators","S-1-5-32-549"
"CN=Windows Authorization Access Group,CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Windows Authorization Access Group","group","b4c9c384-c525-4d70-96b3-8e2776607b6b","Windows Authorization Access Group","S-1-5-32-560"
"CN=Remote Desktop Users,CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Remote Desktop Users","group","ee141b86-5ac9-4773-96b6-4b8ffb80015b","Remote Desktop Users","S-1-5-32-555"
"CN=RAS and IAS Servers,CN=Users,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","RAS and IAS Servers","group","fc1a888c-c12c-436c-a28e-44e2be87e782","RAS and IAS Servers","S-1-5-21-865322659-4255640127-3857865232-553"
