#TYPE Microsoft.Open.AzureAD.Model.SubscribedSku
"CapabilityStatus","ConsumedUnits","ObjectId","PrepaidUnits","ServicePlans","SkuId","SkuPartNumber","AppliesTo"
"Enabled","51","a2d1f95f-8510-4424-8ae1-5c596bdbd578_c5928f49-12ba-48f7-ada3-0d743a3601d5","class LicenseUnitsDetail {
  Enabled: 89
  Suspended: 0
  Warning: 0
}
","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ServicePlanInfo]","c5928f49-12ba-48f7-ada3-0d743a3601d5","VISIOCLIENT","User"
"Enabled","20","a2d1f95f-8510-4424-8ae1-5c596bdbd578_c2cda955-3359-44e5-989f-852ca0cfa02f","class LicenseUnitsDetail {
  Enabled: 32
  Suspended: 0
  Warning: 0
}
","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ServicePlanInfo]","c2cda955-3359-44e5-989f-852ca0cfa02f","MCOMEETADV_FACULTY","User"
"Enabled","0","a2d1f95f-8510-4424-8ae1-5c596bdbd578_26ad4b5c-b686-462e-84b9-d7c22b46837f","class LicenseUnitsDetail {
  Enabled: 4500
  Suspended: 0
  Warning: 0
}
","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ServicePlanInfo]","26ad4b5c-b686-462e-84b9-d7c22b46837f","ATP_ENTERPRISE_FACULTY","Company"
"Enabled","1","a2d1f95f-8510-4424-8ae1-5c596bdbd578_984df360-9a74-4647-8cf8-696749f6247a","class LicenseUnitsDetail {
  Enabled: 0
  Suspended: 0
  Warning: 4500
}
","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ServicePlanInfo]","984df360-9a74-4647-8cf8-696749f6247a","MEE_FACULTY","User"
"Enabled","869","a2d1f95f-8510-4424-8ae1-5c596bdbd578_78e66a63-337a-4a9a-8959-41c6654dfb56","class LicenseUnitsDetail {
  Enabled: 500000
  Suspended: 0
  Warning: 0
}
","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ServicePlanInfo]","78e66a63-337a-4a9a-8959-41c6654dfb56","STANDARDWOFFPACK_IW_FACULTY","User"
"Enabled","20","a2d1f95f-8510-4424-8ae1-5c596bdbd578_f8a1db68-be16-40ed-86d5-cb42ce701560","class LicenseUnitsDetail {
  Enabled: 20
  Suspended: 0
  Warning: 0
}
","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ServicePlanInfo]","f8a1db68-be16-40ed-86d5-cb42ce701560","POWER_BI_PRO","User"
"Enabled","3091","a2d1f95f-8510-4424-8ae1-5c596bdbd578_e578b273-6db4-4691-bba0-8d691f4da603","class LicenseUnitsDetail {
  Enabled: 0
  Suspended: 0
  Warning: 4500
}
","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ServicePlanInfo]","e578b273-6db4-4691-bba0-8d691f4da603","ENTERPRISEPACKPLUS_FACULTY","User"
"Enabled","0","a2d1f95f-8510-4424-8ae1-5c596bdbd578_6470687e-a428-4b7a-bef2-8a291ad947c9","class LicenseUnitsDetail {
  Enabled: 25
  Suspended: 0
  Warning: 0
}
","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ServicePlanInfo]","6470687e-a428-4b7a-bef2-8a291ad947c9","WINDOWS_STORE","Company"
"Enabled","3989","a2d1f95f-8510-4424-8ae1-5c596bdbd578_6fd2c87f-b296-42f0-b197-1e91e994b900","class LicenseUnitsDetail {
  Enabled: 4255
  Suspended: 0
  Warning: 0
}
","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ServicePlanInfo]","6fd2c87f-b296-42f0-b197-1e91e994b900","ENTERPRISEPACK","User"
"Enabled","5","a2d1f95f-8510-4424-8ae1-5c596bdbd578_de5f128b-46d7-4cfc-b915-a89ba060ea56","class LicenseUnitsDetail {
  Enabled: 5
  Suspended: 0
  Warning: 0
}
","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ServicePlanInfo]","de5f128b-46d7-4cfc-b915-a89ba060ea56","POWER_BI_PRO_FACULTY","User"
