id,pres_ID,email,Meeting_name,pres_type,pres_date,Presenters,Lead_presenter,pres_title,conf_type,pres_status,City,State,Country,APA_citation
123456789,10000,NULL,snrs,Poster,2015-06-06 00:00:00.000,mickey and minnie,NULL,off to the circus,Local,Presented,morgantown,WV,US,NULL
123456789,10001,NULL,snrs,Poster,2015-02-02 00:00:00.000,mickey and minnie,NULL,off to the circus again,Local,Presented,morgantown,WV,US,axx;a;lkdjflkjd
700112612,42,NULL,Van Liere Convocation and Research Day,Poster,2014-02-28 00:00:00.000,"Trisha Petitte, Yea-Jyn Chen, Georgia Narsavage, Charles Coole, Caroline  Scherer",1,Home Telemonitoring Improves Functional Status and Quality of the life of Lunc Cancer Patients in Rural West Virginia,Local,Presented,Morgantown,WV,US,NULL
700112612,43,NULL,Southern Nursing Research Society,Poster,2014-02-14 00:00:00.000,"Trisha Petitte, Yea-Jyn Chen, Georgia Narsavage, Charles Coole, Caroline  Scherer",1,Home Telemonitoring Improves Functional Status and Quality of the life of Lung Cancer Patients in Rural West Virginia,Regional,Presented,San Antinio,TX,US,NULL
700156933,9,NULL,NULL,Poster,2012-10-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,WV,US,NULL
700177487,5,NULL,HSC Research Day,Poster,2013-03-01 00:00:00.000,April L. Shapiro,1,Anxiety in Middle-Aged Men with Obstructive Sleep Apnea: State of the Science,Local,Presented,Morgantown,WV,US,"Shapiro, A. (2013, Mar). Anxiety in Middle-Aged Men with Obstructive Sleep Apnea: State of the Science. Poster presentation at WVU Health Sciences Center Research Day, Morgantown, WV."
700177487,48,NULL,Van Liere Convocation and Research Day,Poster,2014-02-28 00:00:00.000,April Shapiro,1,OSA Symptom Predictive of Anxiety in Middle-aged Men:  A secondary Analysis of NHANES Data,Local,Presented,Morgantown,WV,US,"Shapiro, A. (2014, Feb). OSA Symptom Predictive of Anxiety in Middle-aged Men:  A secondary Analysis of NHANES Data. Poster presentation at Van Liere Research Day, Morgantown, WV."
700177487,1502,NULL,Southern Nursing Research Society’s 29th Annual Conference,Poster,2015-02-27 00:00:00.000,"Shapiro, A. & McCrone, S.",1,The Experience of CPAP Use in a Small Sample of Middle-aged and Older Men with Obstructive Sleep Apnea.,Regional,Presented,Tampa,WV,US,"Shapiro, A. & McCrone, S. (2015, February) The Experience of CPAP Use in a Small Sample of Middle-aged and Older Men with Obstructive Sleep Apnea. Poster presentation at the Southern Nursing Research Society’s 29th Annual Conference, Tampa, FL."
700177487,1508,NULL,West Virginia Sleep Society 11th Annual Sleep Retreat,Podium presentation,2015-10-02 00:00:00.000,"Shapiro, A.",1,CPAP Adherence: A Literature Review.,State,Presented,Roanoke,WV,US,"Shapiro, A. (2015, Oct). CPAP Adherence: A Literature Review. Podium Presentation at West Virginia Sleep Society 11th Annual Sleep Retreat, Roanoke, WV."
700253745,49,NULL,St Mary's School of Nursing,Podium presentation,2013-11-02 00:00:00.000,"Crystal Sheaves, Kristi Childers, Evelyn Martin",NULL,Engaging Students in Online Education,Local,Accepted,Huntington,WV,US,NULL
700253745,50,NULL,WVNA Unity Day at the Capitol,Poster,2014-02-26 00:00:00.000,"Crystal Sheaves,Evelyn Martin",1,IOM: Increasing % of BSN Nurses,State,Accepted,Charleston,WV,US,"Sheaves, C. & Martin, E. (2014, Feb). IOM: Increasing % of BSN Nurses. Poster presentation at WVNA Unity Day at the Capitol, Charleston, WV"
700253745,1503,NULL,Southern Nursing Research Society's 29th Annual Conference,Poster,2015-02-27 00:00:00.000,"Sheaves, C., Chertok, I.",1,"Evaluating Changes in Rural Women’s HPV Knowledge, Beliefs, and Behaviors
Following an Educational Intervention",Regional,Presented,Tampa,FL,US,"Sheaves, C. & Chertok, I. (2015, February) Evaluating Changes in Rural Women’s HPV Knowledge, Beliefs, and Behaviors Following an Educational Intervention. Poster presentation at the Southern Nursing Research Society’s 29th Annual Conference, Tampa, FL."
700536882,25,NULL,SNRS,Poster,2013-03-01 00:00:00.000,Billy Davis,NULL,Beginning development of the concept of balancing exigencies,National,Accepted,Little Rock,AR,US,NULL
700764391,1504,NULL,50th Annual E.J. Van Liere Memorial Convocation and HSC Research Day,Poster,2015-02-01 00:00:00.000,"Strickland, D.",1,Patient’s Perspective of Heart Failure Symptoms: an Integrative Literature Review.,Local,Presented,Morgantown,WV,US,"Strickland, D. (2015, February) Patient’s Perspective of Heart Failure Symptoms: an Integrative Literature Review. Poster presentation at the 50th Annual E.J. Van Liere Memorial Convocation and HSC Research Day, Morgantown, WV."
700791604,7,NULL,STTI Research Conference,Poster,2013-03-01 00:00:00.000,Billie Murray,1,Developing the concept of engendering trust,Local,Presented,Morgantown,WV,US,NULL
700791604,8,NULL,Southern Nursing Research Society Meeting,Poster,NULL,Billie Murray,1,Developing the concept of engendering trust,National,Rejected,Little Rock,AK,US,NULL
700940460,3,NULL,International Conference of Cancer Care Nurses,Podium presentation,2010-03-01 00:00:00.000,Mariann Harding,NULL,Uncertainty during the breast diagnostic period,Local,Submitted,Atlanta,GA,US,NULL
700940460,10,NULL,UHS 20th Annual Oncology Teaching Day,Podium presentation,2012-03-01 00:00:00.000,Mariann Harding,NULL,Women’s experiences with undergoing breast diagnostic evaluation for suspected cancer.,Local,Submitted,Owego,NY,US,NULL
700940460,11,NULL,MNRS,Podium presentation,2012-04-01 00:00:00.000,Mariann Harding,1,Health promotion behaviors and psychological distress in cancer survivors,Regional,Submitted,Dearborn,MI,US,NULL
700940460,12,NULL,MNRS,Podium presentation,2013-03-07 00:00:00.000,Mariann Harding,0,Predicting distress associated with the breast diagnostic evaluation: A pilot study.,Regional,Submitted,Chicago,IL,US,"Harding, M. (2013, March). Predicting distress associated with the breast diagnostic evaluation: A pilot study. Podium presentation at the MNRS conference, Chicago, IL."
700940460,14,NULL,SNRS,Poster,2011-02-01 00:00:00.000,Mariann Harding,NULL,Health promotion behaviors and psychological distress in cancer survivors.,Regional,Submitted,Jacksonville,FL,US,NULL
700940460,15,NULL,SNRS,Poster,2009-02-01 00:00:00.000,Mariann Harding,NULL,Structuring uncertainty during the breast diagnostic period.,Regional,Submitted,Baltimore,MD,US,NULL
