"Name","Enabled","PasswordLastSet","OperatingSystem","distinguishedName"
"ISE5","True","12/31/1600 7:00:00 PM","Cisco Identity Services Engine","CN=ISE5,OU=Infrastructure Servers,OU=HS Servers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSPSC2","True","12/31/1600 7:00:00 PM","unknown","CN=HSPSC2,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HS-DEVEL-6ECCF","False","1/15/2009 11:00:09 AM","Windows XP Professional","CN=HS-DEVEL-6ECCF,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"ETRU-CART2","False","4/14/2009 10:40:23 AM","Windows XP Professional","CN=ETRU-CART2,OU=ETRU Classrooms,OU=Student,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"ETRU-1905","False","6/26/2009 8:16:30 AM","Windows XP Professional","CN=ETRU-1905,OU=ETRU Classrooms,OU=Student,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"ETRU--4080","False","7/16/2009 11:56:28 AM","Windows XP Professional","CN=ETRU--4080,OU=ETRU Classrooms,OU=Student,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"ETRU-HOSAUD","False","8/10/2009 2:26:33 PM","Windows XP Professional","CN=ETRU-HOSAUD,OU=ETRU Classrooms,OU=Student,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSCRECPB1285","False","8/26/2009 1:15:14 AM","Windows XP Professional","CN=HSCRECPB1285,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"ETRU-3084","False","8/31/2009 10:19:54 AM","Windows XP Professional","CN=ETRU-3084,OU=ETRU Classrooms,OU=Student,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"ETRU-G14","False","10/27/2009 10:18:38 PM","Windows XP Professional","CN=ETRU-G14,OU=ETRU Classrooms,OU=Student,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"hsc-mbrcc-d160","True","2/15/2010 10:57:28 AM","Mac OS X","CN=hsc-mbrcc-d160,OU=MBRCC,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSC-RAD-218B28","False","3/17/2010 4:59:02 PM","Windows XP Professional","CN=HSC-RAD-218B28,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"VENUS","False","4/27/2010 12:53:00 AM","Windows Server® 2008 Standard","CN=VENUS,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"CMS3","False","5/19/2010 8:45:26 AM","Windows Server® 2008 Standard","CN=CMS3,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"CMS2","False","5/21/2010 8:13:36 AM","Windows Server® 2008 Standard","CN=CMS2,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"CMS1","False","6/3/2010 6:55:35 AM","Windows Server® 2008 Standard","CN=CMS1,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"riedelbds_macb","False","7/16/2010 2:44:31 PM","Mac OS X","CN=riedelbds_macb,OU=Biochemistry,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SOLEPROXYOLD","False","7/19/2010 7:33:52 PM","Windows Server 2003","CN=SOLEPROXYOLD,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSC-MICRO-D585","False","11/3/2010 3:16:28 PM","Windows XP Professional","CN=HSC-MICRO-D585,OU=XP,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
