"PrinterName","whenCreated","whenChanged","SamAccountName","distinguishedName"
"119-hpc410","7/14/2011 11:32:14 AM","2/18/2021 9:29:05 AM","119-hpc410","CN=119-hpc410,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"1128-lexmarkc543n Group","4/11/2012 9:06:24 AM","2/18/2021 9:29:05 AM","1128-lexmarkc543n Group","CN=1128-lexmarkc543n Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"2278-ricoh-im5000 Group","5/10/2018 9:05:10 AM","7/28/2021 10:44:22 AM","2278-ricoh-im5000 Group","CN=2278-ricoh-im5000 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"g301-hplj4250dn Group","10/21/2014 3:01:38 PM","2/18/2021 9:29:06 AM","g301-hplj4250dn Group","CN=g301-hplj4250dn Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"1144-hp5000 Group","9/3/2008 3:02:52 PM","2/18/2021 9:29:05 AM","1144-hp5000 Group","CN=1144-hp5000 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"3152-minolta-c224e Group","1/11/2011 7:55:22 AM","2/18/2021 9:29:05 AM","3152-minolta-c224e Group","CN=3152-minolta-c224e Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"lc-color Group","11/5/2009 10:41:43 AM","2/18/2021 9:29:06 AM","lc-color Group","CN=lc-color Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"2095-hp4700 Group","5/11/2009 11:15:13 AM","2/18/2021 9:29:05 AM","2095-hp4700 Group","CN=2095-hp4700 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"2095-hplj9050 Group","5/11/2009 11:15:02 AM","2/18/2021 9:29:05 AM","2095-hplj9050 Group","CN=2095-hplj9050 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"2088-hp1100 Group","9/3/2008 3:02:52 PM","2/18/2021 9:29:05 AM","2088-hp1100","CN=2088-hp1100 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"4096-hp2015 Group","9/3/2008 3:02:53 PM","2/18/2021 9:29:05 AM","4096-hp2015","CN=4096-hp2015 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"2172-minolta-c258 Group","11/27/2018 8:56:44 AM","4/1/2021 10:47:37 AM","2172-minolta-c258 Group","CN=2172-minolta-c258 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"4422-minolta-b363 Group","4/25/2019 12:44:51 PM","9/21/2021 2:38:43 PM","4422-minolta-b363 Group","CN=4422-minolta-b363 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"5540-lex-t630 Group","9/3/2008 3:02:53 PM","2/18/2021 9:29:05 AM","5540-lex-t630","CN=5540-lex-t630 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"2350-hp3500","10/4/2011 2:06:20 PM","2/18/2021 9:29:05 AM","2350-hp3500","CN=2350-hp3500,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"5304-HPLJ3330 Group","9/3/2008 3:02:53 PM","2/18/2021 9:29:05 AM","5304-HPLJ3330","CN=5304-HPLJ3330 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
