"PrinterName","whenCreated","whenChanged","SamAccountName","distinguishedName","Error"
"2278-ricoh-im5000 Group","5/10/2018 9:05:10 AM","7/28/2021 10:44:22 AM","2278-ricoh-im5000 Group","CN=2278-ricoh-im5000 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","An unspecified error has occurred"
"RNI2-minolta-c224-CubeFarm Group","8/22/2019 2:44:11 PM","9/8/2021 12:31:31 PM","RNI2-minolta-c224-CubeFarm Group","CN=RNI2-minolta-c224-CubeFarm Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","An unspecified error has occurred"
"H-CRH1-MAILRM Group","1/19/2021 8:48:23 AM","8/17/2021 11:14:48 AM","H-CRH1-MAILRM Group","CN=H-CRH1-MAILRM Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","An unspecified error has occurred"
"4094-bizhub223 Group","9/15/2011 11:14:56 AM","3/8/2021 7:40:43 AM","4094-bizhub223","CN=4094-bizhub223 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","An unspecified error has occurred"
"b848-ricoh-c4500 Group","5/20/2015 10:42:51 AM","9/14/2021 11:04:06 AM","b848-ricoh-c4500 Group","CN=b848-ricoh-c4500 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","An unspecified error has occurred"
"4422-minolta-b363 Group","4/25/2019 12:44:51 PM","9/21/2021 2:38:43 PM","4422-minolta-b363 Group","CN=4422-minolta-b363 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","An unspecified error has occurred"
"rni2-back-C368 Group","5/7/2019 2:22:22 PM","8/20/2021 12:38:26 PM","rni2-back-c368 Group","CN=rni2-back-C368 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","An unspecified error has occurred"
"4092-minolta-c3100 Group","3/18/2019 11:13:44 AM","2/18/2021 9:29:05 AM","4092-minolta-c3100 Group","CN=4092-minolta-c3100 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","An unspecified error has occurred"
"b26-ricoh-mp-c3504ex Group","3/22/2012 2:18:25 PM","8/2/2021 9:05:18 AM","b26-ricoh-mp-c3504ex Group","CN=b26-ricoh-mp-c3504ex Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","An unspecified error has occurred"
"4055-minolta-c258 Group","11/29/2017 8:51:13 AM","9/21/2021 8:43:47 AM","4055-minolta-c258 Group","CN=4055-minolta-c258 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","An unspecified error has occurred"
"4076a-minolta-c224e Group","5/18/2016 9:23:50 AM","7/8/2021 1:53:56 PM","4076a-minolta-c224e Group","CN=4076a-minolta-c224e Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","An unspecified error has occurred"
