"TargetOUDN",Groups,HomeDirectoryPath
"OU=BILLING,OU=MED,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",$Billing,\\hs.wvu-ad.wvu.edu\public\som\med\billing\
"OU=BUSINESS,OU=MED,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",$Business,\\hs.wvu-ad.wvu.edu\public\som\med\business\
"OU=CARD,OU=MED,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",$Card;Cardiology,\\hs.wvu-ad.wvu.edu\public\som\med\card\
"OU=DERM,OU=MED,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",$Derm;Dermatology,\\hs.wvu-ad.wvu.edu\public\som\med\derm\
"OU=ENDO,OU=MED,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",$SOMEndo;Endocrinology,\\hs.wvu-ad.wvu.edu\public\som\med\endo\
"OU=FELLOWS,OU=MED,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",$Fellows;Fellows,\\hs.wvu-ad.wvu.edu\public\som\med\Fellows\
"OU=GERI,OU=MED,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",$Geri;Geriatrics,\\hs.wvu-ad.wvu.edu\public\som\med\geri\
"OU=GI,OU=MED,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",$GI;Gastroenterology,\\hs.wvu-ad.wvu.edu\public\som\med\gi\
"OU=GUEST,OU=MED,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",$Guest;Guest,NoHomeDirectory
"OU=HEMONC,OU=MED,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",$SOMHemonc;Oncology,\\hs.wvu-ad.wvu.edu\public\som\med\hemonc\
"OU=HMR,OU=MED,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",$HMR;HMR,\\hs.wvu-ad.wvu.edu\public\som\med\hmr\
"OU=HOUSESTAFF,OU=MED,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",$HOUSESTAFF;HOUSESTAFF,\\hs.wvu-ad.wvu.edu\public\som\med\housestaff\
"OU=ICM,OU=MED,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",$ICM;ICM,\\hs.wvu-ad.wvu.edu\public\som\med\icm\
"OU=INFDIS,OU=MED,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",$INFDIS,\\hs.wvu-ad.wvu.edu\public\som\med\infdis\
"OU=MGMT,OU=MED,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",$MEDMGMT;MGMT,\\hs.wvu-ad.wvu.edu\public\som\med\mgmt\
"OU=MGP,OU=MED,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",$MGP;MGP,\\hs.wvu-ad.wvu.edu\public\som\med\mgp\
"OU=NEPH,OU=MED,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",$NEPH;NEPHROLOGY,\\hs.wvu-ad.wvu.edu\public\som\med\neph\
"OU=PA,OU=MED,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",$PA;PA,\\hs.wvu-ad.wvu.edu\public\som\med\pa\
"OU=PULM,OU=MED,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",$PULM;Pulmonary,\\hs.wvu-ad.wvu.edu\public\som\med\pulm\
"OU=RHEUM,OU=MED,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",$RHEUM;Rheumatology,\\hs.wvu-ad.wvu.edu\public\som\med\rheum\
"OU=WORKSTUDY,OU=MED,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",$WORKSTUDY;WORKSTUDY,\\hs.wvu-ad.wvu.edu\public\som\med\workstudy\
