Name,Last export start time,Exported by,Searches
Phishing capi1vv@gmail.comm_ReportsOnly,2019-01-22T14:55:15.650Z,"Rodney, Kim",Phishing capi1vv@gmail.comm
Phishing capi1vv@gmail.comm_Export,2019-01-22T14:56:00.637Z,"Rodney, Kim",Phishing capi1vv@gmail.comm
Ngan to debiase_Export,2019-01-22T15:14:41.097Z,"Nesselrodt, Jackie",Ngan to debiase
Ngan SOD_Export,2019-01-22T15:18:41.697Z,"Nesselrodt, Jackie",Ngan SOD
Ngan to AlSaty_Export,2019-01-22T15:20:47.697Z,"Nesselrodt, Jackie",Ngan to AlSaty
Ngan to Sarraj_Export,2019-01-22T15:21:41.307Z,"Nesselrodt, Jackie",Ngan to Sarraj
confirm@amazon.com_ReportsOnly,2019-01-22T17:40:33.650Z,"Rodney, Kim",confirm@amazon.com
confirm@amazon.com_Export,2019-01-22T17:40:50.450Z,"Rodney, Kim",confirm@amazon.com
twoody1_Export,2019-01-31T18:23:15.557Z,kjr Admin,twoody1
twoody1_ReportsOnly,2019-01-31T18:23:35.453Z,kjr Admin,twoody1
SOD_Export,2019-02-22T18:04:04.023Z,"Nesselrodt, Jackie",SOD
Dr Ngan_Export,2019-02-28T13:32:18.060Z,"Nesselrodt, Jackie",Dr Ngan
Extended SOD search_Export,2019-03-04T14:16:32.960Z,"Nesselrodt, Jackie",Extended SOD search
racurtis-full_Export,2019-04-02T13:01:02.050Z,Mkondrla Admin,racurtis-full
ssdanley_Export,2019-04-03T13:43:08.687Z,"Godwin, Lawrence",ssdanley
o365signups@microsoftcie.com_ReportsOnly,2019-04-09T00:43:35.580Z,kjr Admin,o365signups@microsoftcie.com
o365signups@microsoftcie.com_Export,2019-04-09T00:45:08.940Z,kjr Admin,o365signups@microsoftcie.com
OBGYN litigation hold - Archer_Export,2019-04-18T12:19:34.077Z,JNesselrodt Admin,OBGYN litigation hold - Archer
Brandon.lucke-wold@neurosurgery.ufl.edu_Export,2019-05-01T13:07:42.293Z,Mkondrla Admin,Brandon.lucke-wold@neurosurgery.ufl.edu
Has been hacked_Export,2019-05-30T13:31:42.573Z,kjr Admin,Has been hacked
Has been hacked_ReportsOnly,2019-05-30T13:32:14.487Z,kjr Admin,Has been hacked
Onedrive & SharePoint exe files_Export,2019-08-28T17:31:21.803Z,JNesselrodt Admin,Onedrive & SharePoint exe files
"wvu\schneider - emails davisson, higgins, goldberg, schneider_Export",2019-10-25T13:12:51.387Z,JNesselrodt Admin,"wvu\schneider - emails davisson, higgins, goldberg, schneider"
James Fugett purge_Export,2019-10-28T18:37:14.760Z,kjr Admin,James Fugett purge
10-29-2019_Export,2019-10-29T15:50:04.557Z,Mkondrla Admin,10-29-2019
Omiros search_Export,2019-11-04T16:44:16.920Z,JNesselrodt Admin,Omiros search
pdavis full export_Export,2019-11-07T14:04:17.917Z,"Nesselrodt, Jackie",pdavis full export
bbertus_Export,2019-11-07T16:44:36.790Z,Mkondrla Admin,bbertus
ars0049(Ashley Scholl)_Export,2019-11-07T16:55:52.327Z,Mkondrla Admin,ars0049(Ashley Scholl)
