#TYPE System.IO.DirectoryInfo
"PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","PSIsContainer","Mode","BaseName","Target","LinkType","Name","FullName","Parent","Exists","Root","Extension","CreationTime","CreationTimeUtc","LastAccessTime","LastAccessTimeUtc","LastWriteTime","LastWriteTimeUtc","Attributes"
"Microsoft.PowerShell.Core\FileSystem::Y:\dco10003\backup 4-6-2020","Microsoft.PowerShell.Core\FileSystem::Y:\dco10003","backup 4-6-2020","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","backup 4-6-2020",,,"backup 4-6-2020","Y:\dco10003\backup 4-6-2020","dco10003","True","Y:\","","4/6/2020 6:39:58 AM","4/6/2020 10:39:58 AM","4/6/2020 6:44:16 AM","4/6/2020 10:44:16 AM","4/6/2020 6:44:16 AM","4/6/2020 10:44:16 AM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\dco10003\Chrome Bookmarks","Microsoft.PowerShell.Core\FileSystem::Y:\dco10003","Chrome Bookmarks","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","Chrome Bookmarks",,,"Chrome Bookmarks","Y:\dco10003\Chrome Bookmarks","dco10003","True","Y:\","","4/3/2020 11:56:34 AM","4/3/2020 3:56:34 PM","4/3/2020 11:56:43 AM","4/3/2020 3:56:43 PM","4/3/2020 11:56:43 AM","4/3/2020 3:56:43 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\dco10003\Custom Office Templates","Microsoft.PowerShell.Core\FileSystem::Y:\dco10003","Custom Office Templates","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","Custom Office Templates",,,"Custom Office Templates","Y:\dco10003\Custom Office Templates","dco10003","True","Y:\","","7/10/2019 10:12:58 AM","7/10/2019 2:12:58 PM","4/3/2020 11:55:23 AM","4/3/2020 3:55:23 PM","7/10/2019 10:12:58 AM","7/10/2019 2:12:58 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\dco10003\GI Medical School Course Material","Microsoft.PowerShell.Core\FileSystem::Y:\dco10003","GI Medical School Course Material","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","GI Medical School Course Material",,,"GI Medical School Course Material","Y:\dco10003\GI Medical School Course Material","dco10003","True","Y:\","","12/2/2019 5:00:33 PM","12/2/2019 10:00:33 PM","4/2/2020 11:59:11 AM","4/2/2020 3:59:11 PM","4/2/2020 11:59:11 AM","4/2/2020 3:59:11 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\dco10003\M Drive, 06-28-19","Microsoft.PowerShell.Core\FileSystem::Y:\dco10003","M Drive, 06-28-19","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","M Drive, 06-28-19",,,"M Drive, 06-28-19","Y:\dco10003\M Drive, 06-28-19","dco10003","True","Y:\","","7/10/2019 5:11:16 PM","7/10/2019 9:11:16 PM","4/2/2020 11:59:35 AM","4/2/2020 3:59:35 PM","4/2/2020 11:59:35 AM","4/2/2020 3:59:35 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\dco10003\WVU Demo","Microsoft.PowerShell.Core\FileSystem::Y:\dco10003","WVU Demo","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","WVU Demo",,,"WVU Demo","Y:\dco10003\WVU Demo","dco10003","True","Y:\","","4/2/2020 12:03:23 PM","4/2/2020 4:03:23 PM","4/2/2020 12:03:26 PM","4/2/2020 4:03:26 PM","4/2/2020 12:03:26 PM","4/2/2020 4:03:26 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\dco10003\8106.jpg","Microsoft.PowerShell.Core\FileSystem::Y:\dco10003","8106.jpg","Y","Microsoft.PowerShell.Core\FileSystem","False","-a----","8106",,,"8106.jpg","Y:\dco10003\8106.jpg",,"True",,".jpg","4/14/2020 10:27:58 AM","4/14/2020 2:27:58 PM","4/14/2020 10:28:22 AM","4/14/2020 2:28:22 PM","4/14/2020 10:28:24 AM","4/14/2020 2:28:24 PM","Archive, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\dco10003\AHN Review, Kakar, 2018.pdf","Microsoft.PowerShell.Core\FileSystem::Y:\dco10003","AHN Review, Kakar, 2018.pdf","Y","Microsoft.PowerShell.Core\FileSystem","False","-a----","AHN Review, Kakar, 2018",,,"AHN Review, Kakar, 2018.pdf","Y:\dco10003\AHN Review, Kakar, 2018.pdf",,"True",,".pdf","7/16/2020 4:23:28 PM","7/16/2020 8:23:28 PM","7/16/2020 4:23:52 PM","7/16/2020 8:23:52 PM","7/16/2020 4:23:52 PM","7/16/2020 8:23:52 PM","Archive, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\dco10003\CancerTypeID Requisition.pdf","Microsoft.PowerShell.Core\FileSystem::Y:\dco10003","CancerTypeID Requisition.pdf","Y","Microsoft.PowerShell.Core\FileSystem","False","-a----","CancerTypeID Requisition",,,"CancerTypeID Requisition.pdf","Y:\dco10003\CancerTypeID Requisition.pdf",,"True",,".pdf","4/2/2020 12:01:10 PM","4/2/2020 4:01:10 PM","4/2/2020 12:01:10 PM","4/2/2020 4:01:10 PM","3/18/2020 10:22:33 AM","3/18/2020 2:22:33 PM","Archive, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\dco10003\Clinical, Educational, and Research Activities.xlsx","Microsoft.PowerShell.Core\FileSystem::Y:\dco10003","Clinical, Educational, and Research Activities.xlsx","Y","Microsoft.PowerShell.Core\FileSystem","False","-a----","Clinical, Educational, and Research Activities",,,"Clinical, Educational, and Research Activities.xlsx","Y:\dco10003\Clinical, Educational, and Research Activities.xlsx",,"True",,".xlsx","4/2/2020 12:01:04 PM","4/2/2020 4:01:04 PM","4/2/2020 12:01:04 PM","4/2/2020 4:01:04 PM","12/6/2019 2:10:58 PM","12/6/2019 7:10:58 PM","Archive, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\dco10003\Consigment Agreement, Keith Pyles, 12-02-19, Signed.pdf","Microsoft.PowerShell.Core\FileSystem::Y:\dco10003","Consigment Agreement, Keith Pyles, 12-02-19, Signed.pdf","Y","Microsoft.PowerShell.Core\FileSystem","False","-a----","Consigment Agreement, Keith Pyles, 12-02-19, Signed",,,"Consigment Agreement, Keith Pyles, 12-02-19, Signed.pdf","Y:\dco10003\Consigment Agreement, Keith Pyles, 12-02-19, Signed.pdf",,"True",,".pdf","12/2/2019 4:37:41 PM","12/2/2019 9:37:41 PM","4/3/2020 11:55:22 AM","4/3/2020 3:55:22 PM","12/2/2019 4:37:42 PM","12/2/2019 9:37:42 PM","Archive, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\dco10003\Consult Specialty List 2019.doc","Microsoft.PowerShell.Core\FileSystem::Y:\dco10003","Consult Specialty List 2019.doc","Y","Microsoft.PowerShell.Core\FileSystem","False","-a----","Consult Specialty List 2019",,,"Consult Specialty List 2019.doc","Y:\dco10003\Consult Specialty List 2019.doc",,"True",,".doc","10/16/2019 1:35:26 PM","10/16/2019 5:35:26 PM","10/16/2019 1:35:26 PM","10/16/2019 5:35:26 PM","9/26/2019 9:53:19 AM","9/26/2019 1:53:19 PM","Archive, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\dco10003\Dane Olevian NIH Biosketch, 05-14-20.docx","Microsoft.PowerShell.Core\FileSystem::Y:\dco10003","Dane Olevian NIH Biosketch, 05-14-20.docx","Y","Microsoft.PowerShell.Core\FileSystem","False","-a----","Dane Olevian NIH Biosketch, 05-14-20",,,"Dane Olevian NIH Biosketch, 05-14-20.docx","Y:\dco10003\Dane Olevian NIH Biosketch, 05-14-20.docx",,"True",,".docx","5/14/2020 5:01:03 PM","5/14/2020 9:01:03 PM","5/14/2020 5:02:38 PM","5/14/2020 9:02:38 PM","5/14/2020 5:02:38 PM","5/14/2020 9:02:38 PM","Archive, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\dco10003\Dane Olevian NIH Biosketch, 05-14-20.docx.pdf","Microsoft.PowerShell.Core\FileSystem::Y:\dco10003","Dane Olevian NIH Biosketch, 05-14-20.docx.pdf","Y","Microsoft.PowerShell.Core\FileSystem","False","-a----","Dane Olevian NIH Biosketch, 05-14-20.docx",,,"Dane Olevian NIH Biosketch, 05-14-20.docx.pdf","Y:\dco10003\Dane Olevian NIH Biosketch, 05-14-20.docx.pdf",,"True",,".pdf","5/14/2020 5:02:48 PM","5/14/2020 9:02:48 PM","5/14/2020 5:02:48 PM","5/14/2020 9:02:48 PM","5/14/2020 5:02:48 PM","5/14/2020 9:02:48 PM","Archive, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\dco10003\Dane Olevian NIH Biosketch, 05-14-20.pdf","Microsoft.PowerShell.Core\FileSystem::Y:\dco10003","Dane Olevian NIH Biosketch, 05-14-20.pdf","Y","Microsoft.PowerShell.Core\FileSystem","False","-a----","Dane Olevian NIH Biosketch, 05-14-20",,,"Dane Olevian NIH Biosketch, 05-14-20.pdf","Y:\dco10003\Dane Olevian NIH Biosketch, 05-14-20.pdf",,"True",,".pdf","5/14/2020 5:01:52 PM","5/14/2020 9:01:52 PM","5/14/2020 5:01:52 PM","5/14/2020 9:01:52 PM","5/14/2020 5:01:52 PM","5/14/2020 9:01:52 PM","Archive, NotContentIndexed"
