#TYPE System.IO.DirectoryInfo
"PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","PSIsContainer","Mode","BaseName","Target","LinkType","Name","FullName","Parent","Exists","Root","Extension","CreationTime","CreationTimeUtc","LastAccessTime","LastAccessTimeUtc","LastWriteTime","LastWriteTimeUtc","Attributes"
"Microsoft.PowerShell.Core\FileSystem::Y:\derm-DIF\2014","Microsoft.PowerShell.Core\FileSystem::Y:\derm-DIF","2014","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","2014",,,"2014","Y:\derm-DIF\2014","derm-DIF","True","Y:\","","11/12/2015 11:22:26 AM","11/12/2015 4:22:26 PM","9/26/2018 3:06:39 PM","9/26/2018 7:06:39 PM","9/26/2018 3:06:39 PM","9/26/2018 7:06:39 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\derm-DIF\2015","Microsoft.PowerShell.Core\FileSystem::Y:\derm-DIF","2015","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","2015",,,"2015","Y:\derm-DIF\2015","derm-DIF","True","Y:\","","1/11/2016 6:53:22 PM","1/11/2016 11:53:22 PM","9/26/2018 3:07:29 PM","9/26/2018 7:07:29 PM","9/26/2018 3:07:29 PM","9/26/2018 7:07:29 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\derm-DIF\2016","Microsoft.PowerShell.Core\FileSystem::Y:\derm-DIF","2016","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","2016",,,"2016","Y:\derm-DIF\2016","derm-DIF","True","Y:\","","1/5/2017 1:40:15 PM","1/5/2017 6:40:15 PM","9/26/2018 3:09:03 PM","9/26/2018 7:09:03 PM","9/26/2018 3:09:03 PM","9/26/2018 7:09:03 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\derm-DIF\2017","Microsoft.PowerShell.Core\FileSystem::Y:\derm-DIF","2017","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","2017",,,"2017","Y:\derm-DIF\2017","derm-DIF","True","Y:\","","1/5/2018 4:18:28 PM","1/5/2018 9:18:28 PM","9/26/2018 3:06:25 PM","9/26/2018 7:06:25 PM","9/26/2018 3:06:25 PM","9/26/2018 7:06:25 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\derm-DIF\2018","Microsoft.PowerShell.Core\FileSystem::Y:\derm-DIF","2018","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","2018",,,"2018","Y:\derm-DIF\2018","derm-DIF","True","Y:\","","1/8/2018 1:01:25 PM","1/8/2018 6:01:25 PM","2/14/2019 7:35:13 AM","2/14/2019 12:35:13 PM","2/14/2019 7:35:13 AM","2/14/2019 12:35:13 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\derm-DIF\2019","Microsoft.PowerShell.Core\FileSystem::Y:\derm-DIF","2019","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","2019",,,"2019","Y:\derm-DIF\2019","derm-DIF","True","Y:\","","1/4/2019 3:57:33 PM","1/4/2019 8:57:33 PM","1/23/2020 3:39:56 PM","1/23/2020 8:39:56 PM","1/23/2020 3:39:56 PM","1/23/2020 8:39:56 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\derm-DIF\2020","Microsoft.PowerShell.Core\FileSystem::Y:\derm-DIF","2020","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","2020",,,"2020","Y:\derm-DIF\2020","derm-DIF","True","Y:\","","2/3/2020 2:03:24 PM","2/3/2020 7:03:24 PM","8/24/2020 4:40:40 PM","8/24/2020 8:40:40 PM","8/24/2020 4:40:40 PM","8/24/2020 8:40:40 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\derm-DIF\non-DIF","Microsoft.PowerShell.Core\FileSystem::Y:\derm-DIF","non-DIF","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","non-DIF",,,"non-DIF","Y:\derm-DIF\non-DIF","derm-DIF","True","Y:\","","8/23/2016 5:55:40 PM","8/23/2016 9:55:40 PM","9/26/2018 3:09:30 PM","9/26/2018 7:09:30 PM","9/26/2018 3:09:30 PM","9/26/2018 7:09:30 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\derm-DIF\2014\sp14-10047","Microsoft.PowerShell.Core\FileSystem::Y:\derm-DIF\2014","sp14-10047","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","sp14-10047",,,"sp14-10047","Y:\derm-DIF\2014\sp14-10047","2014","True","Y:\","","11/12/2015 11:22:26 AM","11/12/2015 4:22:26 PM","9/26/2018 3:06:27 PM","9/26/2018 7:06:27 PM","9/26/2018 3:06:27 PM","9/26/2018 7:06:27 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\derm-DIF\2014\sp14-10429","Microsoft.PowerShell.Core\FileSystem::Y:\derm-DIF\2014","sp14-10429","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","sp14-10429",,,"sp14-10429","Y:\derm-DIF\2014\sp14-10429","2014","True","Y:\","","11/12/2015 11:22:27 AM","11/12/2015 4:22:27 PM","9/26/2018 3:06:27 PM","9/26/2018 7:06:27 PM","9/26/2018 3:06:27 PM","9/26/2018 7:06:27 PM","Directory, NotContentIndexed"
