#TYPE System.IO.DirectoryInfo
"PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","PSIsContainer","Mode","BaseName","Target","LinkType","Name","FullName","Parent","Exists","Root","Extension","CreationTime","CreationTimeUtc","LastAccessTime","LastAccessTimeUtc","LastWriteTime","LastWriteTimeUtc","Attributes"
"Microsoft.PowerShell.Core\FileSystem::Y:\ag10198\backup 10-8-2019","Microsoft.PowerShell.Core\FileSystem::Y:\ag10198","backup 10-8-2019","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","backup 10-8-2019",,,"backup 10-8-2019","Y:\ag10198\backup 10-8-2019","ag10198","True","Y:\","","10/8/2019 6:53:05 AM","10/8/2019 10:53:05 AM","10/8/2019 7:09:29 AM","10/8/2019 11:09:29 AM","10/8/2019 7:09:29 AM","10/8/2019 11:09:29 AM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\ag10198\backup 4-23-2020","Microsoft.PowerShell.Core\FileSystem::Y:\ag10198","backup 4-23-2020","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","backup 4-23-2020",,,"backup 4-23-2020","Y:\ag10198\backup 4-23-2020","ag10198","True","Y:\","","4/23/2020 1:39:37 PM","4/23/2020 5:39:37 PM","4/27/2020 6:38:27 AM","4/27/2020 10:38:27 AM","4/27/2020 6:38:27 AM","4/27/2020 10:38:27 AM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\ag10198\backup 10-8-2019\Contacts","Microsoft.PowerShell.Core\FileSystem::Y:\ag10198\backup 10-8-2019","Contacts","Y","Microsoft.PowerShell.Core\FileSystem","True","d-r---","Contacts",,,"Contacts","Y:\ag10198\backup 10-8-2019\Contacts","backup 10-8-2019","True","Y:\","","10/8/2019 7:09:29 AM","10/8/2019 11:09:29 AM","10/8/2019 7:09:29 AM","10/8/2019 11:09:29 AM","10/8/2019 7:09:29 AM","10/8/2019 11:09:29 AM","ReadOnly, Directory"
"Microsoft.PowerShell.Core\FileSystem::Y:\ag10198\backup 10-8-2019\Desktop","Microsoft.PowerShell.Core\FileSystem::Y:\ag10198\backup 10-8-2019","Desktop","Y","Microsoft.PowerShell.Core\FileSystem","True","d-r---","Desktop",,,"Desktop","Y:\ag10198\backup 10-8-2019\Desktop","backup 10-8-2019","True","Y:\","","10/8/2019 6:53:39 AM","10/8/2019 10:53:39 AM","10/8/2019 7:33:33 AM","10/8/2019 11:33:33 AM","10/8/2019 7:33:33 AM","10/8/2019 11:33:33 AM","ReadOnly, Directory"
"Microsoft.PowerShell.Core\FileSystem::Y:\ag10198\backup 10-8-2019\Documents","Microsoft.PowerShell.Core\FileSystem::Y:\ag10198\backup 10-8-2019","Documents","Y","Microsoft.PowerShell.Core\FileSystem","True","d-r---","Documents",,,"Documents","Y:\ag10198\backup 10-8-2019\Documents","backup 10-8-2019","True","Y:\","","10/8/2019 7:09:29 AM","10/8/2019 11:09:29 AM","10/8/2019 7:09:29 AM","10/8/2019 11:09:29 AM","10/8/2019 7:09:29 AM","10/8/2019 11:09:29 AM","ReadOnly, Directory"
"Microsoft.PowerShell.Core\FileSystem::Y:\ag10198\backup 10-8-2019\Favorites","Microsoft.PowerShell.Core\FileSystem::Y:\ag10198\backup 10-8-2019","Favorites","Y","Microsoft.PowerShell.Core\FileSystem","True","d-r---","Favorites",,,"Favorites","Y:\ag10198\backup 10-8-2019\Favorites","backup 10-8-2019","True","Y:\","","10/8/2019 7:09:29 AM","10/8/2019 11:09:29 AM","10/8/2019 7:09:29 AM","10/8/2019 11:09:29 AM","10/8/2019 7:09:29 AM","10/8/2019 11:09:29 AM","ReadOnly, Directory"
"Microsoft.PowerShell.Core\FileSystem::Y:\ag10198\backup 10-8-2019\Pictures","Microsoft.PowerShell.Core\FileSystem::Y:\ag10198\backup 10-8-2019","Pictures","Y","Microsoft.PowerShell.Core\FileSystem","True","d-r---","Pictures",,,"Pictures","Y:\ag10198\backup 10-8-2019\Pictures","backup 10-8-2019","True","Y:\","","10/8/2019 7:09:29 AM","10/8/2019 11:09:29 AM","10/8/2019 7:09:29 AM","10/8/2019 11:09:29 AM","10/8/2019 7:09:29 AM","10/8/2019 11:09:29 AM","ReadOnly, Directory"
"Microsoft.PowerShell.Core\FileSystem::Y:\ag10198\backup 10-8-2019\Videos","Microsoft.PowerShell.Core\FileSystem::Y:\ag10198\backup 10-8-2019","Videos","Y","Microsoft.PowerShell.Core\FileSystem","True","d-r---","Videos",,,"Videos","Y:\ag10198\backup 10-8-2019\Videos","backup 10-8-2019","True","Y:\","","10/8/2019 7:09:29 AM","10/8/2019 11:09:29 AM","10/8/2019 7:09:29 AM","10/8/2019 11:09:29 AM","10/8/2019 7:09:29 AM","10/8/2019 11:09:29 AM","ReadOnly, Directory"
"Microsoft.PowerShell.Core\FileSystem::Y:\ag10198\backup 10-8-2019\Desktop\Documents","Microsoft.PowerShell.Core\FileSystem::Y:\ag10198\backup 10-8-2019\Desktop","Documents","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","Documents",,,"Documents","Y:\ag10198\backup 10-8-2019\Desktop\Documents","Desktop","True","Y:\","","10/8/2019 6:53:40 AM","10/8/2019 10:53:40 AM","10/8/2019 6:53:40 AM","10/8/2019 10:53:40 AM","10/8/2019 6:53:40 AM","10/8/2019 10:53:40 AM","Directory"
"Microsoft.PowerShell.Core\FileSystem::Y:\ag10198\backup 10-8-2019\Desktop\Hem templates","Microsoft.PowerShell.Core\FileSystem::Y:\ag10198\backup 10-8-2019\Desktop","Hem templates","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","Hem templates",,,"Hem templates","Y:\ag10198\backup 10-8-2019\Desktop\Hem templates","Desktop","True","Y:\","","10/8/2019 6:53:40 AM","10/8/2019 10:53:40 AM","10/8/2019 6:53:41 AM","10/8/2019 10:53:41 AM","10/8/2019 6:53:41 AM","10/8/2019 10:53:41 AM","Directory"
