#TYPE System.IO.DirectoryInfo
"PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","PSIsContainer","Mode","BaseName","Target","LinkType","Name","FullName","Parent","Exists","Root","Extension","CreationTime","CreationTimeUtc","LastAccessTime","LastAccessTimeUtc","LastWriteTime","LastWriteTimeUtc","Attributes"
"Microsoft.PowerShell.Core\FileSystem::Y:\ACGME\A. Program Requirements  3","Microsoft.PowerShell.Core\FileSystem::Y:\ACGME","A. Program Requirements  3","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","A. Program Requirements  3",,,"A. Program Requirements  3","Y:\ACGME\A. Program Requirements  3","ACGME","True","Y:\",". Program Requirements  3","11/11/2015 2:35:26 PM","11/11/2015 7:35:26 PM","3/29/2018 9:30:54 AM","3/29/2018 1:30:54 PM","3/29/2018 9:30:54 AM","3/29/2018 1:30:54 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\ACGME\Accrediation Letters","Microsoft.PowerShell.Core\FileSystem::Y:\ACGME","Accrediation Letters","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","Accrediation Letters",,,"Accrediation Letters","Y:\ACGME\Accrediation Letters","ACGME","True","Y:\","","11/11/2015 2:35:26 PM","11/11/2015 7:35:26 PM","4/21/2020 11:38:05 AM","4/21/2020 3:38:05 PM","4/21/2020 11:38:05 AM","4/21/2020 3:38:05 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\ACGME\ACGME surveys","Microsoft.PowerShell.Core\FileSystem::Y:\ACGME","ACGME surveys","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","ACGME surveys",,,"ACGME surveys","Y:\ACGME\ACGME surveys","ACGME","True","Y:\","","9/5/2019 7:45:11 AM","9/5/2019 11:45:11 AM","9/5/2019 7:45:33 AM","9/5/2019 11:45:33 AM","9/5/2019 7:45:33 AM","9/5/2019 11:45:33 AM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\ACGME\PIFS","Microsoft.PowerShell.Core\FileSystem::Y:\ACGME","PIFS","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","PIFS",,,"PIFS","Y:\ACGME\PIFS","ACGME","True","Y:\","","11/11/2015 2:35:36 PM","11/11/2015 7:35:36 PM","9/15/2016 1:40:10 PM","9/15/2016 5:40:10 PM","9/15/2016 1:40:10 PM","9/15/2016 5:40:10 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\ACGME\Resident Manual","Microsoft.PowerShell.Core\FileSystem::Y:\ACGME","Resident Manual","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","Resident Manual",,,"Resident Manual","Y:\ACGME\Resident Manual","ACGME","True","Y:\","","3/29/2018 9:38:26 AM","3/29/2018 1:38:26 PM","3/29/2018 9:38:52 AM","3/29/2018 1:38:52 PM","3/29/2018 9:38:52 AM","3/29/2018 1:38:52 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\ACGME\Site Visit docs 2013","Microsoft.PowerShell.Core\FileSystem::Y:\ACGME","Site Visit docs 2013","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","Site Visit docs 2013",,,"Site Visit docs 2013","Y:\ACGME\Site Visit docs 2013","ACGME","True","Y:\","","11/11/2015 2:35:39 PM","11/11/2015 7:35:39 PM","3/29/2018 9:39:22 AM","3/29/2018 1:39:22 PM","3/29/2018 9:39:22 AM","3/29/2018 1:39:22 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\ACGME\Yearly meeting w_DIO","Microsoft.PowerShell.Core\FileSystem::Y:\ACGME","Yearly meeting w_DIO","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","Yearly meeting w_DIO",,,"Yearly meeting w_DIO","Y:\ACGME\Yearly meeting w_DIO","ACGME","True","Y:\","","2/6/2020 8:44:44 AM","2/6/2020 1:44:44 PM","2/6/2020 8:45:47 AM","2/6/2020 1:45:47 PM","2/6/2020 8:45:47 AM","2/6/2020 1:45:47 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\ACGME\A. Program Requirements  3\2016","Microsoft.PowerShell.Core\FileSystem::Y:\ACGME\A. Program Requirements  3","2016","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","2016",,,"2016","Y:\ACGME\A. Program Requirements  3\2016","A. Program Requirements  3","True","Y:\","","3/29/2018 9:30:46 AM","3/29/2018 1:30:46 PM","3/29/2018 9:30:54 AM","3/29/2018 1:30:54 PM","3/29/2018 9:30:54 AM","3/29/2018 1:30:54 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\ACGME\A. Program Requirements  3\2016\ACGME Common Program Requirements.pdf","Microsoft.PowerShell.Core\FileSystem::Y:\ACGME\A. Program Requirements  3\2016","ACGME Common Program Requirements.pdf","Y","Microsoft.PowerShell.Core\FileSystem","False","-a----","ACGME Common Program Requirements",,,"ACGME Common Program Requirements.pdf","Y:\ACGME\A. Program Requirements  3\2016\ACGME Common Program Requirements.pdf",,"True",,".pdf","8/25/2014 11:45:30 AM","8/25/2014 3:45:30 PM","8/25/2014 11:45:30 AM","8/25/2014 3:45:30 PM","8/25/2014 11:41:11 AM","8/25/2014 3:41:11 PM","Archive, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\ACGME\A. Program Requirements  3\2016\ACGME Institutional Requirements.pdf","Microsoft.PowerShell.Core\FileSystem::Y:\ACGME\A. Program Requirements  3\2016","ACGME Institutional Requirements.pdf","Y","Microsoft.PowerShell.Core\FileSystem","False","-a----","ACGME Institutional Requirements",,,"ACGME Institutional Requirements.pdf","Y:\ACGME\A. Program Requirements  3\2016\ACGME Institutional Requirements.pdf",,"True",,".pdf","4/5/2016 10:26:56 AM","4/5/2016 2:26:56 PM","4/5/2016 10:26:56 AM","4/5/2016 2:26:56 PM","4/5/2016 10:26:49 AM","4/5/2016 2:26:49 PM","Archive, NotContentIndexed"
