#TYPE System.IO.DirectoryInfo
"PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","PSIsContainer","Mode","BaseName","Target","LinkType","Name","FullName","Parent","Exists","Root","Extension","CreationTime","CreationTimeUtc","LastAccessTime","LastAccessTimeUtc","LastWriteTime","LastWriteTimeUtc","Attributes"
"Microsoft.PowerShell.Core\FileSystem::Y:\Chief-Resident-Andrea\2015-2016","Microsoft.PowerShell.Core\FileSystem::Y:\Chief-Resident-Andrea","2015-2016","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","2015-2016",,,"2015-2016","Y:\Chief-Resident-Andrea\2015-2016","Chief-Resident-Andrea","True","Y:\","","5/29/2020 11:10:49 AM","5/29/2020 3:10:49 PM","5/29/2020 11:10:49 AM","5/29/2020 3:10:49 PM","5/29/2020 11:10:49 AM","5/29/2020 3:10:49 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\Chief-Resident-Andrea\2016-2017","Microsoft.PowerShell.Core\FileSystem::Y:\Chief-Resident-Andrea","2016-2017","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","2016-2017",,,"2016-2017","Y:\Chief-Resident-Andrea\2016-2017","Chief-Resident-Andrea","True","Y:\","","5/29/2020 11:10:49 AM","5/29/2020 3:10:49 PM","5/29/2020 11:10:50 AM","5/29/2020 3:10:50 PM","5/29/2020 11:10:50 AM","5/29/2020 3:10:50 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\Chief-Resident-Andrea\2017-2018","Microsoft.PowerShell.Core\FileSystem::Y:\Chief-Resident-Andrea","2017-2018","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","2017-2018",,,"2017-2018","Y:\Chief-Resident-Andrea\2017-2018","Chief-Resident-Andrea","True","Y:\","","5/29/2020 11:10:50 AM","5/29/2020 3:10:50 PM","5/29/2020 11:10:51 AM","5/29/2020 3:10:51 PM","5/29/2020 11:10:51 AM","5/29/2020 3:10:51 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\Chief-Resident-Andrea\2019-2020","Microsoft.PowerShell.Core\FileSystem::Y:\Chief-Resident-Andrea","2019-2020","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","2019-2020",,,"2019-2020","Y:\Chief-Resident-Andrea\2019-2020","Chief-Resident-Andrea","True","Y:\","","8/5/2020 2:24:36 PM","8/5/2020 6:24:36 PM","8/5/2020 2:24:54 PM","8/5/2020 6:24:54 PM","8/5/2020 2:24:54 PM","8/5/2020 6:24:54 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\Chief-Resident-Andrea\2020-2021","Microsoft.PowerShell.Core\FileSystem::Y:\Chief-Resident-Andrea","2020-2021","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","2020-2021",,,"2020-2021","Y:\Chief-Resident-Andrea\2020-2021","Chief-Resident-Andrea","True","Y:\","","8/5/2020 2:27:14 PM","8/5/2020 6:27:14 PM","8/6/2020 1:41:09 PM","8/6/2020 5:41:09 PM","8/6/2020 1:41:09 PM","8/6/2020 5:41:09 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\Chief-Resident-Andrea\Call Log and Critical Value Training Docs","Microsoft.PowerShell.Core\FileSystem::Y:\Chief-Resident-Andrea","Call Log and Critical Value Training Docs","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","Call Log and Critical Value Training Docs",,,"Call Log and Critical Value Training Docs","Y:\Chief-Resident-Andrea\Call Log and Critical Value Training Docs","Chief-Resident-Andrea","True","Y:\","","5/29/2020 11:10:51 AM","5/29/2020 3:10:51 PM","5/29/2020 11:10:51 AM","5/29/2020 3:10:51 PM","5/29/2020 11:10:51 AM","5/29/2020 3:10:51 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\Chief-Resident-Andrea\Call Schedules","Microsoft.PowerShell.Core\FileSystem::Y:\Chief-Resident-Andrea","Call Schedules","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","Call Schedules",,,"Call Schedules","Y:\Chief-Resident-Andrea\Call Schedules","Chief-Resident-Andrea","True","Y:\","","5/29/2020 11:10:52 AM","5/29/2020 3:10:52 PM","5/29/2020 11:10:52 AM","5/29/2020 3:10:52 PM","5/29/2020 11:10:52 AM","5/29/2020 3:10:52 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\Chief-Resident-Andrea\COVID-19 Related","Microsoft.PowerShell.Core\FileSystem::Y:\Chief-Resident-Andrea","COVID-19 Related","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","COVID-19 Related",,,"COVID-19 Related","Y:\Chief-Resident-Andrea\COVID-19 Related","Chief-Resident-Andrea","True","Y:\","","5/29/2020 11:10:53 AM","5/29/2020 3:10:53 PM","5/29/2020 11:10:54 AM","5/29/2020 3:10:54 PM","5/29/2020 11:10:54 AM","5/29/2020 3:10:54 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\Chief-Resident-Andrea\Grand Rounds","Microsoft.PowerShell.Core\FileSystem::Y:\Chief-Resident-Andrea","Grand Rounds","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","Grand Rounds",,,"Grand Rounds","Y:\Chief-Resident-Andrea\Grand Rounds","Chief-Resident-Andrea","True","Y:\","","5/29/2020 11:10:54 AM","5/29/2020 3:10:54 PM","5/29/2020 11:10:54 AM","5/29/2020 3:10:54 PM","5/29/2020 11:10:54 AM","5/29/2020 3:10:54 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\Chief-Resident-Andrea\Gross Room Rotations","Microsoft.PowerShell.Core\FileSystem::Y:\Chief-Resident-Andrea","Gross Room Rotations","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","Gross Room Rotations",,,"Gross Room Rotations","Y:\Chief-Resident-Andrea\Gross Room Rotations","Chief-Resident-Andrea","True","Y:\","","5/29/2020 11:10:54 AM","5/29/2020 3:10:54 PM","5/29/2020 11:10:57 AM","5/29/2020 3:10:57 PM","5/29/2020 11:10:57 AM","5/29/2020 3:10:57 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\Chief-Resident-Andrea\Journal Club","Microsoft.PowerShell.Core\FileSystem::Y:\Chief-Resident-Andrea","Journal Club","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","Journal Club",,,"Journal Club","Y:\Chief-Resident-Andrea\Journal Club","Chief-Resident-Andrea","True","Y:\","","5/29/2020 11:10:58 AM","5/29/2020 3:10:58 PM","5/29/2020 11:10:58 AM","5/29/2020 3:10:58 PM","5/29/2020 11:10:58 AM","5/29/2020 3:10:58 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\Chief-Resident-Andrea\MS Pathology Rotations","Microsoft.PowerShell.Core\FileSystem::Y:\Chief-Resident-Andrea","MS Pathology Rotations","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","MS Pathology Rotations",,,"MS Pathology Rotations","Y:\Chief-Resident-Andrea\MS Pathology Rotations","Chief-Resident-Andrea","True","Y:\","","5/29/2020 11:10:58 AM","5/29/2020 3:10:58 PM","5/29/2020 11:10:59 AM","5/29/2020 3:10:59 PM","5/29/2020 11:10:59 AM","5/29/2020 3:10:59 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\Chief-Resident-Andrea\Past Call Logs","Microsoft.PowerShell.Core\FileSystem::Y:\Chief-Resident-Andrea","Past Call Logs","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","Past Call Logs",,,"Past Call Logs","Y:\Chief-Resident-Andrea\Past Call Logs","Chief-Resident-Andrea","True","Y:\","","5/29/2020 11:10:59 AM","5/29/2020 3:10:59 PM","5/29/2020 11:10:59 AM","5/29/2020 3:10:59 PM","5/29/2020 11:10:59 AM","5/29/2020 3:10:59 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\Chief-Resident-Andrea\Residents Year PG Level Pictures","Microsoft.PowerShell.Core\FileSystem::Y:\Chief-Resident-Andrea","Residents Year PG Level Pictures","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","Residents Year PG Level Pictures",,,"Residents Year PG Level Pictures","Y:\Chief-Resident-Andrea\Residents Year PG Level Pictures","Chief-Resident-Andrea","True","Y:\","","5/29/2020 11:10:59 AM","5/29/2020 3:10:59 PM","5/29/2020 11:11:08 AM","5/29/2020 3:11:08 PM","5/29/2020 11:11:08 AM","5/29/2020 3:11:08 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\Chief-Resident-Andrea\Rotation Schedules","Microsoft.PowerShell.Core\FileSystem::Y:\Chief-Resident-Andrea","Rotation Schedules","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","Rotation Schedules",,,"Rotation Schedules","Y:\Chief-Resident-Andrea\Rotation Schedules","Chief-Resident-Andrea","True","Y:\","","5/29/2020 11:11:08 AM","5/29/2020 3:11:08 PM","5/29/2020 11:11:09 AM","5/29/2020 3:11:09 PM","5/29/2020 11:11:09 AM","5/29/2020 3:11:09 PM","Directory, NotContentIndexed"
