#TYPE System.IO.DirectoryInfo
"PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","PSIsContainer","Mode","BaseName","Target","LinkType","Name","FullName","Parent","Exists","Root","Extension","CreationTime","CreationTimeUtc","LastAccessTime","LastAccessTimeUtc","LastWriteTime","LastWriteTimeUtc","Attributes"
"Microsoft.PowerShell.Core\FileSystem::Y:\Division Newsletter\2019","Microsoft.PowerShell.Core\FileSystem::Y:\Division Newsletter","2019","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","2019",,,"2019","Y:\Division Newsletter\2019","Division Newsletter","True","Y:\","","8/29/2019 11:23:21 AM","8/29/2019 3:23:21 PM","6/10/2020 1:29:40 PM","6/10/2020 5:29:40 PM","6/10/2020 1:29:40 PM","6/10/2020 5:29:40 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\Division Newsletter\2020","Microsoft.PowerShell.Core\FileSystem::Y:\Division Newsletter","2020","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","2020",,,"2020","Y:\Division Newsletter\2020","Division Newsletter","True","Y:\","","8/29/2019 11:25:05 AM","8/29/2019 3:25:05 PM","7/6/2020 1:57:31 PM","7/6/2020 5:57:31 PM","7/6/2020 1:57:31 PM","7/6/2020 5:57:31 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\Division Newsletter\2021","Microsoft.PowerShell.Core\FileSystem::Y:\Division Newsletter","2021","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","2021",,,"2021","Y:\Division Newsletter\2021","Division Newsletter","True","Y:\","","6/1/2020 3:46:23 PM","6/1/2020 7:46:23 PM","6/1/2020 3:46:23 PM","6/1/2020 7:46:23 PM","6/1/2020 3:46:23 PM","6/1/2020 7:46:23 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\Division Newsletter\2019\2019_PinningCeremony","Microsoft.PowerShell.Core\FileSystem::Y:\Division Newsletter\2019","2019_PinningCeremony","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","2019_PinningCeremony",,,"2019_PinningCeremony","Y:\Division Newsletter\2019\2019_PinningCeremony","2019","True","Y:\","","7/25/2019 3:04:58 PM","7/25/2019 7:04:58 PM","5/15/2020 11:45:48 AM","5/15/2020 3:45:48 PM","5/15/2020 11:45:48 AM","5/15/2020 3:45:48 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\Division Newsletter\2019\70thAnniversary","Microsoft.PowerShell.Core\FileSystem::Y:\Division Newsletter\2019","70thAnniversary","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","70thAnniversary",,,"70thAnniversary","Y:\Division Newsletter\2019\70thAnniversary","2019","True","Y:\","","7/25/2019 3:04:30 PM","7/25/2019 7:04:30 PM","8/8/2019 3:04:13 PM","8/8/2019 7:04:13 PM","8/8/2019 3:04:13 PM","8/8/2019 7:04:13 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\Division Newsletter\2019\AlumniNotes","Microsoft.PowerShell.Core\FileSystem::Y:\Division Newsletter\2019","AlumniNotes","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","AlumniNotes",,,"AlumniNotes","Y:\Division Newsletter\2019\AlumniNotes","2019","True","Y:\","","7/25/2019 3:46:37 PM","7/25/2019 7:46:37 PM","8/8/2019 3:07:49 PM","8/8/2019 7:07:49 PM","8/8/2019 3:07:49 PM","8/8/2019 7:07:49 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\Division Newsletter\2019\FacultyAward","Microsoft.PowerShell.Core\FileSystem::Y:\Division Newsletter\2019","FacultyAward","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","FacultyAward",,,"FacultyAward","Y:\Division Newsletter\2019\FacultyAward","2019","True","Y:\","","7/30/2019 11:16:13 AM","7/30/2019 3:16:13 PM","8/8/2019 3:06:12 PM","8/8/2019 7:06:12 PM","8/8/2019 3:06:12 PM","8/8/2019 7:06:12 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\Division Newsletter\2019\HTL","Microsoft.PowerShell.Core\FileSystem::Y:\Division Newsletter\2019","HTL","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","HTL",,,"HTL","Y:\Division Newsletter\2019\HTL","2019","True","Y:\","","7/25/2019 3:03:45 PM","7/25/2019 7:03:45 PM","8/8/2019 3:05:34 PM","8/8/2019 7:05:34 PM","8/8/2019 3:05:34 PM","8/8/2019 7:05:34 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\Division Newsletter\2019\Meeting","Microsoft.PowerShell.Core\FileSystem::Y:\Division Newsletter\2019","Meeting","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","Meeting",,,"Meeting","Y:\Division Newsletter\2019\Meeting","2019","True","Y:\","","8/7/2019 11:20:56 AM","8/7/2019 3:20:56 PM","8/7/2019 11:21:14 AM","8/7/2019 3:21:14 PM","8/7/2019 11:21:14 AM","8/7/2019 3:21:14 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\Division Newsletter\2019\NewFaculty","Microsoft.PowerShell.Core\FileSystem::Y:\Division Newsletter\2019","NewFaculty","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","NewFaculty",,,"NewFaculty","Y:\Division Newsletter\2019\NewFaculty","2019","True","Y:\","","7/25/2019 3:04:00 PM","7/25/2019 7:04:00 PM","8/8/2019 3:41:16 PM","8/8/2019 7:41:16 PM","8/8/2019 3:41:16 PM","8/8/2019 7:41:16 PM","Directory, NotContentIndexed"
