#TYPE Selected.Microsoft.ActiveDirectory.Management.ADUser
"SamAccountName","Enabled","LastLogonDate","EndAccessDate"
"sgiles","False","7/8/2020 6:14:47 PM","12/31/2020"
"pcourtney","False","8/14/2019 9:23:59 AM","12/31/2000"
"dzeh","False","10/15/2021 8:22:15 AM","10/19/2021"
"gandreas","False","7/8/2017 7:40:14 PM","12/31/2000"
"creed","False","7/6/2021 10:47:57 AM","12/31/2000"
"sstephens","False","10/12/2020 2:47:35 PM","12/31/2000"
"sniederriter","False","10/16/2020 2:38:05 PM","12/31/2000"
"rclise","False","11/11/2018 3:42:36 PM","12/31/2000"
"tjackson","False","9/1/2019 9:57:59 PM","12/31/2000"
"mijames","False","1/17/2020 3:08:55 PM","12/31/2000"
"vwhite","False","2/23/2020 5:27:38 AM","12/31/2000"
"rcosby","False","8/25/2020 9:50:41 PM","1/6/2021"
"epetsonk","False","9/24/2020 8:44:22 PM","12/31/2000"
"djacobs","False","9/7/2019 3:00:08 PM","12/31/2000"
"lsamsell","False","11/28/2019 10:51:00 PM","12/31/2000"
"lix","False","8/9/2017 7:13:12 PM","12/31/2000"
"rgmiller","False","1/1/2020 6:15:31 PM","1/7/2021"
"jsbarnett","False","2/20/2016 9:30:01 PM","12/31/2000"
"mselensky","False","6/14/2018 6:25:18 AM","12/31/2000"
"saheywood","False","8/1/2019 1:48:56 PM","12/31/2000"
"pastout","False","12/12/2016 3:33:03 PM","12/31/2000"
"pmchase","False","3/20/2019 7:11:25 AM","12/31/2000"
"nwatson","False","12/12/2019 12:32:52 PM","12/31/2000"
"adaudiffret","False","8/19/2019 5:21:17 PM","12/31/2000"
"dmclaughlin","False","1/26/2021 2:47:11 PM","1/7/2021"
"mfizer","False","5/7/2020 10:58:40 AM","12/31/2020"
"mnovacich","False","1/20/2020 2:28:25 AM","12/31/2020"
"csholtis","False","1/23/2020 7:55:10 AM","12/31/2000"
"vlopuch","False","11/14/2016 5:18:49 PM","12/31/2000"
"kyost","False","12/23/2019 11:53:58 AM","1/7/2021"
"gneely","False","12/19/2019 11:31:03 AM","12/31/2000"
"dmolisee","False","1/3/2020 7:02:51 AM","12/31/2000"
"lmaczko","False","12/26/2019 10:30:11 AM","12/31/2000"
"bmancino","False","7/22/2019 7:00:14 AM","12/31/2000"
"baarnold","False","8/5/2020 7:30:08 AM","3/31/2021"
"lsbraham","False","1/23/2020 1:10:19 PM","12/31/2000"
"wedeng","False","12/15/2020 10:24:45 AM","12/31/2000"
"mhissa","False","10/25/2019 8:02:26 AM","12/31/2000"
"kpacilli","False","7/26/2019 12:44:50 PM","12/31/2000"
"bweaner","False","12/28/2016 9:39:27 AM","12/31/2000"
"lohardy","False","12/1/2019 6:39:28 PM","12/2/2020"
"cmyers","False","12/23/2019 12:08:49 PM","12/31/2000"
"ccook","False","5/17/2019 10:13:58 PM","12/31/2000"
"japalmer","False","7/8/2013 8:51:31 AM","12/31/2000"
"dksharp","False","10/21/2019 3:38:12 AM","12/31/2000"
"kkrhodes","False","10/21/2019 8:08:56 PM","12/31/2000"
"dlwilliams","False","4/4/2018 5:45:33 PM","12/31/2000"
"jthunsucker","False","8/13/2019 11:41:27 AM","12/31/2000"
"rasingh","False","8/11/2019 9:19:23 PM","12/31/2000"
"ksstauffer","False","9/4/2018 4:17:37 PM","12/31/2000"
"abenderheine","False","7/24/2019 5:21:08 PM","12/31/2000"
