#TYPE System.IO.DirectoryInfo
"PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","PSIsContainer","Mode","BaseName","Target","LinkType","Name","FullName","Parent","Exists","Root","Extension","CreationTime","CreationTimeUtc","LastAccessTime","LastAccessTimeUtc","LastWriteTime","LastWriteTimeUtc","Attributes"
"Microsoft.PowerShell.Core\FileSystem::Y:\arg0048\Clinical microbiology","Microsoft.PowerShell.Core\FileSystem::Y:\arg0048","Clinical microbiology","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","Clinical microbiology",,,"Clinical microbiology","Y:\arg0048\Clinical microbiology","arg0048","True","Y:\","","7/7/2019 11:39:43 AM","7/7/2019 3:39:43 PM","8/11/2019 7:48:28 PM","8/11/2019 11:48:28 PM","8/11/2019 7:48:28 PM","8/11/2019 11:48:28 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\arg0048\Antibiotic resistance working.pptx","Microsoft.PowerShell.Core\FileSystem::Y:\arg0048","Antibiotic resistance working.pptx","Y","Microsoft.PowerShell.Core\FileSystem","False","-a----","Antibiotic resistance working",,,"Antibiotic resistance working.pptx","Y:\arg0048\Antibiotic resistance working.pptx",,"True",,".pptx","7/25/2019 9:53:42 AM","7/25/2019 1:53:42 PM","7/25/2019 1:18:41 PM","7/25/2019 5:18:41 PM","7/25/2019 1:18:41 PM","7/25/2019 5:18:41 PM","Archive, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\arg0048\Antibiotic resistance.pptx","Microsoft.PowerShell.Core\FileSystem::Y:\arg0048","Antibiotic resistance.pptx","Y","Microsoft.PowerShell.Core\FileSystem","False","-a----","Antibiotic resistance",,,"Antibiotic resistance.pptx","Y:\arg0048\Antibiotic resistance.pptx",,"True",,".pptx","7/24/2019 7:46:59 AM","7/24/2019 11:46:59 AM","7/25/2019 5:30:57 PM","7/25/2019 9:30:57 PM","7/25/2019 5:30:57 PM","7/25/2019 9:30:57 PM","Archive, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\arg0048\Clinical microbiology\Accelerate Hypothetical Gram Negative Michigan.pdf","Microsoft.PowerShell.Core\FileSystem::Y:\arg0048\Clinical microbiology","Accelerate Hypothetical Gram Negative Michigan.pdf","Y","Microsoft.PowerShell.Core\FileSystem","False","-a----","Accelerate Hypothetical Gram Negative Michigan",,,"Accelerate Hypothetical Gram Negative Michigan.pdf","Y:\arg0048\Clinical microbiology\Accelerate Hypothetical Gram Negative Michigan.pdf",,"True",,".pdf","8/11/2019 7:48:28 PM","8/11/2019 11:48:28 PM","8/11/2019 7:48:28 PM","8/11/2019 11:48:28 PM","8/11/2019 7:48:28 PM","8/11/2019 11:48:28 PM","Archive, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\arg0048\Clinical microbiology\Antimicrobial Resistance and Respiratory Infections _ Elsevier Enhanced Reader.pdf","Microsoft.PowerShell.Core\FileSystem::Y:\arg0048\Clinical microbiology","Antimicrobial Resistance and Respiratory Infections _ Elsevier Enhanced Reader.pdf","Y","Microsoft.PowerShell.Core\FileSystem","False","-a----","Antimicrobial Resistance and Respiratory Infections _ Elsevier Enhanced Reader",,,"Antimicrobial Resistance and Respiratory Infections _ Elsevier Enhanced Reader.pdf","Y:\arg0048\Clinical microbiology\Antimicrobial Resistance and Respiratory Infections _ Elsevier Enhanced Reader.pdf",,"True",,".pdf","7/24/2019 7:33:03 AM","7/24/2019 11:33:03 AM","7/24/2019 7:33:03 AM","7/24/2019 11:33:03 AM","7/24/2019 7:33:03 AM","7/24/2019 11:33:03 AM","Archive, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\arg0048\Clinical microbiology\Dx of nosocomial Bac PNA in INtubated FRENCH.pdf","Microsoft.PowerShell.Core\FileSystem::Y:\arg0048\Clinical microbiology","Dx of nosocomial Bac PNA in INtubated FRENCH.pdf","Y","Microsoft.PowerShell.Core\FileSystem","False","-a----","Dx of nosocomial Bac PNA in INtubated FRENCH",,,"Dx of nosocomial Bac PNA in INtubated FRENCH.pdf","Y:\arg0048\Clinical microbiology\Dx of nosocomial Bac PNA in INtubated FRENCH.pdf",,"True",,".pdf","8/11/2019 7:43:45 PM","8/11/2019 11:43:45 PM","8/11/2019 7:43:46 PM","8/11/2019 11:43:46 PM","8/11/2019 7:43:46 PM","8/11/2019 11:43:46 PM","Archive, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\arg0048\Clinical microbiology\Gram Stain 101.ppt","Microsoft.PowerShell.Core\FileSystem::Y:\arg0048\Clinical microbiology","Gram Stain 101.ppt","Y","Microsoft.PowerShell.Core\FileSystem","False","-a----","Gram Stain 101",,,"Gram Stain 101.ppt","Y:\arg0048\Clinical microbiology\Gram Stain 101.ppt",,"True",,".ppt","7/7/2019 11:39:56 AM","7/7/2019 3:39:56 PM","7/7/2019 11:39:56 AM","7/7/2019 3:39:56 PM","2/22/2013 6:45:54 AM","2/22/2013 11:45:54 AM","Archive, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\arg0048\Clinical microbiology\Multicenter Accelerate PhenoTest MorphoKiner Michigan.pdf","Microsoft.PowerShell.Core\FileSystem::Y:\arg0048\Clinical microbiology","Multicenter Accelerate PhenoTest MorphoKiner Michigan.pdf","Y","Microsoft.PowerShell.Core\FileSystem","False","-a----","Multicenter Accelerate PhenoTest MorphoKiner Michigan",,,"Multicenter Accelerate PhenoTest MorphoKiner Michigan.pdf","Y:\arg0048\Clinical microbiology\Multicenter Accelerate PhenoTest MorphoKiner Michigan.pdf",,"True",,".pdf","8/11/2019 7:46:30 PM","8/11/2019 11:46:30 PM","8/11/2019 7:46:31 PM","8/11/2019 11:46:31 PM","8/11/2019 7:46:32 PM","8/11/2019 11:46:32 PM","Archive, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\arg0048\Clinical microbiology\T2Bcteria Panel for bloodstream infections.pdf","Microsoft.PowerShell.Core\FileSystem::Y:\arg0048\Clinical microbiology","T2Bcteria Panel for bloodstream infections.pdf","Y","Microsoft.PowerShell.Core\FileSystem","False","-a----","T2Bcteria Panel for bloodstream infections",,,"T2Bcteria Panel for bloodstream infections.pdf","Y:\arg0048\Clinical microbiology\T2Bcteria Panel for bloodstream infections.pdf",,"True",,".pdf","8/11/2019 7:44:35 PM","8/11/2019 11:44:35 PM","8/11/2019 7:44:35 PM","8/11/2019 11:44:35 PM","8/11/2019 7:44:35 PM","8/11/2019 11:44:35 PM","Archive, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\arg0048\Clinical microbiology\WHO-PPL-Short_Summary_25Feb-ET_NM_WHO.pdf","Microsoft.PowerShell.Core\FileSystem::Y:\arg0048\Clinical microbiology","WHO-PPL-Short_Summary_25Feb-ET_NM_WHO.pdf","Y","Microsoft.PowerShell.Core\FileSystem","False","-a----","WHO-PPL-Short_Summary_25Feb-ET_NM_WHO",,,"WHO-PPL-Short_Summary_25Feb-ET_NM_WHO.pdf","Y:\arg0048\Clinical microbiology\WHO-PPL-Short_Summary_25Feb-ET_NM_WHO.pdf",,"True",,".pdf","7/24/2019 7:32:33 AM","7/24/2019 11:32:33 AM","7/24/2019 7:32:33 AM","7/24/2019 11:32:33 AM","7/24/2019 7:32:33 AM","7/24/2019 11:32:33 AM","Archive, NotContentIndexed"
